Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vassif Aliev,Claire-Emmanuelle Beaulieu,Suzanne Brunelle,Rima El-Helou,Annie Koutrakis,Faiza R'Guiba,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24078,"Vimy/Vimy"," 96","Laval",15,51,0,17,99,6,2,190,441
24078,"Vimy/Vimy"," 97","Laval",35,71,3,10,90,6,7,222,416
24078,"Vimy/Vimy"," 98","Laval",29,59,1,25,110,14,2,240,340
24078,"Vimy/Vimy"," 99A","Laval",30,46,7,18,106,8,3,218,476
24078,"Vimy/Vimy"," 99B","Laval",Merged with No./Fusionné avec le n°97,,,,,,,,80
24078,"Vimy/Vimy"," 100A","Laval",22,66,1,14,106,20,5,234,468
24078,"Vimy/Vimy"," 100B","Laval",Merged with No./Fusionné avec le n°98,,,,,,,,117
24078,"Vimy/Vimy"," 101","Laval",19,31,7,27,73,5,4,166,453
24078,"Vimy/Vimy"," 102A","Laval",7,59,0,21,72,5,2,166,462
24078,"Vimy/Vimy"," 102B","Laval",Merged with No./Fusionné avec le n°106,,,,,,,,110
24078,"Vimy/Vimy"," 103A","Laval",11,39,3,15,118,8,3,197,484
24078,"Vimy/Vimy"," 103B","Laval",Merged with No./Fusionné avec le n°105,,,,,,,,101
24078,"Vimy/Vimy"," 104A","Laval",18,30,5,42,115,5,0,215,500
24078,"Vimy/Vimy"," 104B","Laval",Merged with No./Fusionné avec le n°142,,,,,,,,67
24078,"Vimy/Vimy"," 105","Laval",13,44,1,30,90,5,5,188,410
24078,"Vimy/Vimy"," 106","Laval",15,38,4,28,90,10,4,189,351
24078,"Vimy/Vimy"," 107","Laval",20,48,7,28,76,10,5,194,421
24078,"Vimy/Vimy"," 108","Laval",30,60,1,10,62,7,0,170,376
24078,"Vimy/Vimy"," 109","Laval",22,48,2,25,85,7,0,189,398
24078,"Vimy/Vimy"," 110","Laval",24,90,12,22,112,9,5,274,453
24078,"Vimy/Vimy"," 111A","Laval",12,65,2,46,105,13,3,246,527
24078,"Vimy/Vimy"," 111B","Laval",Merged with No./Fusionné avec le n°116,,,,,,,,82
24078,"Vimy/Vimy"," 112","Laval",19,40,1,33,123,9,6,231,444
24078,"Vimy/Vimy"," 113A","Laval",3,47,2,23,75,0,3,153,340
24078,"Vimy/Vimy"," 113B","Laval",4,40,1,20,83,3,0,151,316
24078,"Vimy/Vimy"," 114A","Laval",16,87,5,28,141,5,4,286,530
24078,"Vimy/Vimy"," 114B","Laval",Merged with No./Fusionné avec le n°117,,,,,,,,59
24078,"Vimy/Vimy"," 115","Laval",9,106,0,29,129,0,6,279,579
24078,"Vimy/Vimy"," 116","Laval",22,49,1,28,148,5,2,255,430
24078,"Vimy/Vimy"," 117","Laval",16,58,2,25,88,7,1,197,436
24078,"Vimy/Vimy"," 118","Laval",33,42,1,21,76,10,3,186,360
24078,"Vimy/Vimy"," 119","Laval",23,72,3,20,100,12,0,230,466
24078,"Vimy/Vimy"," 120","Laval",21,50,2,16,82,2,4,177,330
24078,"Vimy/Vimy"," 121","Laval",32,57,1,15,110,14,0,229,450
24078,"Vimy/Vimy"," 122","Laval",21,39,3,33,111,24,3,234,413
24078,"Vimy/Vimy"," 123","Laval",24,57,1,24,98,8,1,213,414
24078,"Vimy/Vimy"," 124","Laval",17,42,1,13,96,9,4,182,433
24078,"Vimy/Vimy"," 125A","Laval",18,63,4,25,97,2,14,223,450
24078,"Vimy/Vimy"," 125B","Laval",Merged with No./Fusionné avec le n°126,,,,,,,,156
24078,"Vimy/Vimy"," 126","Laval",17,48,5,29,92,11,4,206,335
24078,"Vimy/Vimy"," 127","Laval",31,46,3,9,67,15,2,173,341
24078,"Vimy/Vimy"," 128","Laval",16,76,1,12,82,21,4,212,446
24078,"Vimy/Vimy"," 129","Laval",20,55,2,17,64,5,8,171,402
24078,"Vimy/Vimy"," 130","Laval",25,59,1,13,110,7,6,221,430
24078,"Vimy/Vimy"," 131","Laval",21,55,0,15,48,9,3,151,355
24078,"Vimy/Vimy"," 132A","Laval",21,49,0,17,67,6,3,163,323
24078,"Vimy/Vimy"," 132B","Laval",Merged with No./Fusionné avec le n°408,,,,,,,,69
24078,"Vimy/Vimy"," 133","Laval",10,47,1,29,61,9,6,163,415
24078,"Vimy/Vimy"," 134","Laval",26,40,3,29,105,11,5,219,426
24078,"Vimy/Vimy"," 135A","Laval",16,27,3,21,94,5,1,167,411
24078,"Vimy/Vimy"," 135B","Laval",Merged with No./Fusionné avec le n°412,,,,,,,,162
24078,"Vimy/Vimy"," 136","Laval",12,26,1,28,113,7,3,190,436
24078,"Vimy/Vimy"," 137A","Laval",16,29,1,27,129,7,1,210,478
24078,"Vimy/Vimy"," 137B","Laval",Merged with No./Fusionné avec le n°136,,,,,,,,41
