Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mavis Erickson,Catharine Kendall,Marcia Luccock,Ron Vaillant,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 604","Fort St. John",46,32,47,27,530,0,682,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 605","Fort St. John",44,23,37,17,619,0,740,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 606","Fort St. John",37,18,29,23,556,3,666,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 607","Fort St. John",46,27,34,19,793,3,922,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 608","Taylor--Fort St. John",10,12,9,14,400,0,445,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 609","Dawson Creek",20,17,26,14,512,3,592,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 610","Dawson Creek",77,45,88,33,865,6,1114,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 611","Dawson Creek",60,29,50,40,547,13,739,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 612","Pouce Coupe",7,10,6,10,198,0,231,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 613","Tumbler Ridge",32,12,29,63,225,3,364,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 614","Chetwynd",35,27,30,31,510,5,638,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 615","Nukko Lake",57,50,57,13,373,2,552,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 616","Prince George",240,95,131,52,703,4,1225,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 617","Prince George",157,61,85,25,446,1,775,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 618","Prince George",46,28,43,7,157,0,281,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 619","Prince George",155,102,139,12,239,6,653,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 620","Prince George",100,57,50,10,122,1,340,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 621","Pineview",104,73,65,35,396,3,676,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 622","McBride",45,41,18,7,149,2,262,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 623","Valemount ",54,41,38,11,204,2,350,
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies",,Group 1/Groupe 1, 54,14,15,5,32,6,126,143
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies",,Group 2/Groupe 2, 195,110,120,75,1882,31,2413,
