Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mavis Erickson,Catharine Kendall,Marcia Luccock,Ron Vaillant,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 60","Fort St. John",13,5,11,4,128,0,161,373
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 61","Fort St. John",10,6,14,3,109,0,142,379
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 62","Fort St. John",9,3,14,5,97,0,128,355
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 63","Fort St. John",14,6,6,5,154,0,185,418
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 64","Fort St. John",15,10,28,4,187,0,244,578
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 65","Fort St. John",17,9,10,3,190,0,229,464
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 66","Fort St. John",11,2,14,1,127,1,156,423
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 67","Fort St. John",14,4,20,5,184,0,227,546
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 68","Moberly Lake",47,36,54,6,102,1,246,450
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 69","Baldonnel",13,8,13,6,272,0,312,579
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 70","Flatrock",2,2,3,7,214,1,229,311
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 71","Fort St. John",11,9,7,6,129,1,163,354
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 72","Taylor",7,3,8,5,132,0,155,313
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 73","Taylor",8,3,6,3,130,1,151,345
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 74","Taylor",3,2,3,9,157,0,174,373
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 75","Tower Lake",3,6,12,2,143,0,166,365
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 76","Sunset Prairie",Merged with No./Fusionné avec le n°78,,,,,,,135
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 77","Sunset Prairie",Merged with No./Fusionné avec le n°78,,,,,,,141
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 78","Sunset Prairie",4,11,13,11,269,0,308,209
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 79","Farmington",4,23,9,4,163,0,203,323
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 80","Doe River",4,9,4,4,75,0,96,172
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 81","Bessborough",8,9,9,5,136,1,168,310
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 82","Rolla",10,12,8,1,139,0,170,255
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 83","McLeod Lake",22,10,12,1,22,1,68,123
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 84","Dawson Creek",15,4,20,13,224,0,276,606
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 85","Dawson Creek",26,12,28,2,297,1,366,751
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 86","Dawson Creek",22,5,13,5,142,3,190,397
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 87","Dawson Creek",12,6,17,3,144,4,186,428
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 88","Dawson Creek",12,2,8,3,127,1,153,357
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 89","Dawson Creek",22,5,18,7,92,1,145,393
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 90","Dawson Creek",15,10,19,3,127,0,174,430
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 91","Dawson Creek",18,10,14,8,150,2,202,419
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 92","Dawson Creek",23,15,26,11,147,1,223,521
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 93","Dawson Creek",4,6,15,4,128,0,157,374
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 94","Dawson Creek",21,5,14,6,85,1,132,346
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 95","Dawson Creek",8,6,10,6,148,1,179,362
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 96","Dawson Creek",6,3,10,5,125,1,150,379
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 97","Dawson Creek",8,4,9,3,94,2,120,407
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 98","Dawson Creek",14,6,20,7,165,1,213,475
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 99","Dawson Creek",9,5,10,4,96,0,124,347
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 100","Dawson Creek",15,7,10,0,82,0,114,359
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 101","Dawson Creek",17,7,11,4,90,0,129,330
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 102","Dawson Creek",7,6,7,1,126,3,150,383
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 103","Dawson Creek",15,5,12,6,109,2,149,376
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 104","Dawson Creek",16,9,15,6,103,1,150,405
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 105","Dawson Creek",19,15,19,2,207,7,269,563
