Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert M Bowers,Andrew MacGregor,Maryam Monsef,Alexander Murphy,Ken Ranney,Candace Shaw,Michael Skinner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 217","Peterborough",0,19,65,1,1,65,99,2,252,514
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 218","Peterborough",0,7,65,1,0,27,32,0,132,337
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 219","Peterborough",1,11,73,1,0,34,59,1,180,391
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 220","Cavan-Millbrook-North Monaghan",0,9,65,3,0,23,70,0,170,396
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 221","Peterborough",1,11,53,2,0,41,56,0,164,378
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 222","Peterborough",1,12,64,2,0,51,52,1,183,408
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 223","Peterborough",0,8,103,0,0,25,52,0,188,477
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 224","Peterborough",0,10,51,3,0,38,67,0,169,391
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 225","Peterborough",3,12,66,1,0,28,55,0,165,392
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 226","Peterborough",0,7,73,0,1,22,43,1,147,281
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 227","Peterborough",0,6,51,2,0,15,55,1,130,326
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 228","Peterborough",1,9,60,0,0,14,92,0,176,308
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 229","Peterborough",1,22,70,5,1,24,68,3,194,389
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 230","Peterborough",1,15,39,8,0,36,77,1,177,497
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 231","Peterborough",2,25,81,6,0,53,111,0,278,508
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 232","Peterborough",2,21,67,3,1,45,68,0,207,432
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 233","Otonabee-South Monaghan",3,15,83,3,1,54,86,0,245,563
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 234","Peterborough",1,12,72,3,0,34,96,1,219,474
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 235","Peterborough",0,7,88,2,0,29,75,0,201,460
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 236","Peterborough",0,12,68,2,0,24,68,4,178,312
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 237","Peterborough",0,18,99,1,1,48,78,2,247,499
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 238","Peterborough",0,16,90,1,0,39,81,0,227,429
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 400","Peterborough",2,8,45,1,0,25,38,4,123,168
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 401","Peterborough",0,11,49,0,0,21,47,0,128,180
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 402","Peterborough",1,5,26,0,0,10,54,3,99,134
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 500A","Mobile poll/Bureau itinérant",0,5,44,0,0,8,33,0,90,97
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 500B","Mobile poll/Bureau itinérant",3,12,65,2,3,26,40,3,154,247
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 501","Mobile poll/Bureau itinérant",4,9,41,4,2,9,31,7,107,228
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 502","Mobile poll/Bureau itinérant",0,12,51,3,1,14,29,5,115,194
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 503","Mobile poll/Bureau itinérant",1,4,54,1,2,12,24,2,100,147
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 504","Mobile poll/Bureau itinérant",1,6,42,1,2,5,17,0,74,86
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 505","Mobile poll/Bureau itinérant",2,12,56,0,1,6,34,3,114,178
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 506","Mobile poll/Bureau itinérant",1,10,55,2,0,14,41,3,126,194
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 507","Mobile poll/Bureau itinérant",0,7,16,1,1,5,12,4,46,233
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 508A","Mobile poll/Bureau itinérant",0,8,75,6,1,9,48,0,147,121
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 508B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,,133
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 509","Mobile poll/Bureau itinérant",1,8,91,1,1,4,69,4,179,250
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 510","Mobile poll/Bureau itinérant",1,7,62,0,1,10,27,1,109,280
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 600","Trent Lakes",1,26,192,11,1,50,286,1,568,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 601","Apsley",0,24,148,5,1,37,239,2,456,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 602","Trent Lakes",1,25,195,7,2,33,197,1,461,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 603","Ennismore",0,42,226,10,1,67,407,5,758,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 604","Curve Lake First Nation",0,12,69,2,0,20,91,2,196,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 605","Youngs Point",1,32,224,6,2,42,294,1,602,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 606","Lakefield",3,54,385,10,1,88,372,6,919,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 607","Bridgenorth",2,38,265,7,3,69,366,2,752,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 608","Peterborough",3,58,456,10,2,108,435,3,1075,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 609","Peterborough",3,61,434,5,1,141,330,7,982,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 610","Peterborough",1,54,243,8,2,117,92,0,517,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 611","Peterborough",0,61,483,5,3,148,217,4,921,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 612","Peterborough",3,82,676,6,0,113,557,10,1447,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 613","Peterborough",3,109,548,15,2,157,501,15,1350,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 614","Peterborough",3,27,211,4,0,95,255,6,601,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 615","Peterborough",0,54,323,7,0,110,171,4,669,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 616","Peterborough",2,34,233,5,3,101,183,7,568,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 617","Peterborough",0,45,323,12,1,119,265,3,768,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 618","Peterborough",2,64,450,12,1,124,216,6,875,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 619","Peterborough",1,35,338,5,1,86,235,7,708,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 620","Peterborough",0,44,429,4,0,106,323,5,911,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 621","Warsaw",0,23,197,10,0,51,232,3,516,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 622","Havelock-Belmont-Methuen",0,27,100,9,1,32,189,3,361,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 623","Havelock-Belmont-Methuen",1,28,97,5,4,52,229,4,420,
35084,"Peterborough--Kawartha/Peterborough--Kawartha",,Group 1/Groupe 1, 2,12,114,2,0,24,34,8,196,227
35084,"Peterborough--Kawartha/Peterborough--Kawartha",,Group 2/Groupe 2, 3,399,1326,39,11,666,884,56,3384,
