Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert M Bowers,Andrew MacGregor,Maryam Monsef,Alexander Murphy,Ken Ranney,Candace Shaw,Michael Skinner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 51","Lakefield",0,7,100,4,0,24,58,0,193,390
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 52","Douro",0,20,78,2,0,25,85,0,210,416
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 53","Lakefield",0,8,50,2,0,21,56,1,138,264
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 54A","Lakefield",0,11,81,4,0,22,50,0,168,342
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 54B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,70
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 55","Lakefield",1,16,79,2,0,20,50,4,172,381
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 56","Lakefield",0,10,73,3,0,27,60,0,173,348
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 57","Lakefield",2,12,55,1,0,43,56,0,169,347
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 58","Lakefield",1,10,65,4,0,26,46,0,152,310
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 59","Selwyn",0,12,46,3,0,18,64,3,146,297
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 60","Selwyn",1,10,77,4,0,38,93,1,224,439
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 61","Selwyn",1,8,79,3,0,25,90,0,206,411
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 62","Ennismore",0,16,70,2,1,20,112,2,223,450
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 63","Ennismore",0,20,69,1,0,30,108,1,229,441
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 64","Ennismore",0,19,86,2,0,22,85,0,214,398
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 65","Ennismore",2,11,56,2,1,30,99,1,202,428
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 66","Ennismore",0,20,79,2,0,24,121,0,246,462
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 67","Douro",0,8,53,4,0,22,75,1,163,278
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 68","Douro",0,9,62,2,0,23,54,2,152,268
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 69","Donwood",0,10,56,5,0,23,79,1,174,291
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 70","Donwood",0,11,77,2,2,40,98,1,231,371
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 71","Smith-Ennismore-Lakefield",1,22,71,1,1,24,111,2,233,418
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 72","Bridgenorth",0,14,88,2,1,17,79,2,203,378
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 73","Bridgenorth",0,13,58,2,0,24,96,1,194,361
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 74","Bridgenorth",0,10,73,1,0,25,56,1,166,372
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 75","Peterborough",0,7,55,5,1,29,85,1,183,337
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 76","Peterborough",0,17,83,5,1,44,98,1,249,442
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 77","Peterborough",1,12,77,4,0,37,76,0,207,334
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 78","Peterborough",0,17,50,3,0,26,53,2,151,288
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 79","Peterborough",0,11,89,0,0,55,60,1,216,663
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 80","Peterborough",0,12,80,1,0,22,87,2,204,444
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 81","Ennismore",0,7,53,3,1,24,105,5,198,437
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 82","Ennismore",0,13,78,4,0,35,116,0,246,428
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 83","Smith-Ennismore-Lakefield",0,16,68,1,0,34,134,0,253,462
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 84","Ennismore",0,9,77,0,0,25,111,1,223,397
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 85","Fowlers Corners",0,17,75,1,1,30,82,0,206,437
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 86","Fowlers Corners",0,7,71,0,0,23,78,0,179,365
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 87","Fowlers Corners",1,10,62,4,0,31,91,2,201,411
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 88","Peterborough",0,6,149,4,0,20,76,1,256,519
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 89A","Peterborough",1,8,68,2,0,26,78,1,184,329
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 89B","Peterborough",0,14,56,1,0,36,52,3,162,308
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 90","Peterborough",1,14,87,1,0,30,54,0,187,335
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 91","Peterborough",0,16,145,2,3,64,105,3,338,530
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 92","Peterborough",0,19,94,2,0,55,81,2,253,481
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 93","Peterborough",1,14,138,3,0,33,92,5,286,460
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 94","Peterborough",2,12,148,6,1,48,87,1,305,534
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 95","Peterborough",2,30,132,2,2,52,74,3,297,561
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 96","Peterborough",0,21,137,1,2,21,92,0,274,470
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 97","Peterborough",1,11,100,0,0,44,66,1,223,429
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 98","Peterborough",1,23,102,1,0,34,74,0,235,398
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 99","Peterborough",0,12,90,1,1,25,74,3,206,404
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 100","Peterborough",1,11,72,5,0,39,79,1,208,401
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 101","Peterborough",1,26,79,2,0,46,67,0,221,442
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 102","Donwood",0,22,87,5,0,46,101,2,263,434
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 103","Donwood",0,16,59,3,1,29,64,1,173,256
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 104","Donwood",0,11,52,2,0,20,49,1,135,235
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 105A","Peterborough",0,10,75,1,0,36,64,1,187,326
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 105B","Peterborough",1,10,49,1,1,21,38,1,122,300
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 106","Peterborough",1,10,60,3,0,29,67,0,170,380
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 107","Peterborough",0,11,89,2,0,30,60,1,193,475
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 108","Peterborough",0,11,84,0,0,42,52,1,190,370
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 109","Peterborough",0,24,79,4,0,47,47,1,202,433
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 110","Peterborough",1,12,99,1,1,48,44,2,208,506
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 111","Peterborough",0,30,72,3,1,53,59,4,222,431
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 112","Peterborough",2,18,91,2,0,43,39,0,195,368
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 113","Peterborough",0,25,79,6,0,66,26,2,204,374
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 114","Peterborough",0,11,61,0,0,31,69,1,173,466
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 115","Peterborough",0,16,76,5,0,33,70,1,201,500
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 116","Peterborough",1,14,77,5,1,51,37,1,187,372
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 117","Peterborough",0,10,108,1,1,49,69,0,238,456
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 118","Peterborough",1,23,104,2,0,51,53,0,234,410
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 119","Peterborough",0,14,95,5,0,43,43,2,202,370
