Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patrick Clune,Ellen Comeau,Éric Ferland,Pierre-Luc Filion,Réjean Hébert,Pierre Nantel,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 162B","Longueuil",7,0,12,2,26,11,57,2,117,299
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 163","Longueuil",11,0,40,2,92,14,83,3,245,525
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 164","Longueuil",12,0,22,0,81,8,64,4,191,475
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 165","Longueuil",21,0,11,0,59,9,44,8,152,418
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 166","Longueuil",9,1,16,0,42,6,82,4,160,363
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 167","Longueuil",15,0,26,0,101,17,58,2,219,488
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 168A","Longueuil",10,0,12,0,20,9,56,1,108,341
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 168B","Longueuil",8,1,9,0,29,12,58,4,121,378
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 169","Longueuil",9,0,42,1,95,21,63,6,237,544
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 170","Longueuil",16,1,23,2,57,12,66,7,184,463
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 171","Longueuil",20,4,26,0,61,22,76,4,213,478
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 172","Longueuil",23,3,18,0,70,16,76,5,211,427
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 173","Longueuil",20,0,21,1,63,16,50,1,172,415
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 174","Longueuil",22,1,18,0,87,14,85,2,229,436
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 175","Longueuil",22,1,21,1,111,24,69,6,255,435
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 176","Longueuil",4,2,17,3,70,15,63,1,175,399
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 177","Longueuil",14,1,19,1,59,13,113,1,221,461
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 178","Longueuil",8,2,22,2,69,24,83,2,212,498
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 179","Longueuil",20,1,22,0,86,19,96,3,247,470
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 180","Longueuil",16,2,19,3,50,10,77,3,180,412
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 181","Longueuil",21,0,22,0,57,10,81,2,193,387
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 182","Longueuil",7,1,23,0,65,22,66,4,188,384
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 183","Longueuil",23,1,22,0,64,25,115,0,250,503
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 184","Longueuil",5,5,24,0,71,8,53,3,169,434
