Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chloé Bernard,Yves-François Blanchet,Michel Blondin,Pierre Carrier,Matthew Dubé,Marie-Chantal Hamel,Véronique Laprise,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24011,"Beloeil--Chambly/Beloeil--Chambly"," 1","Mont-Saint-Hilaire",1,47,0,15,13,35,17,2,130,284
24011,"Beloeil--Chambly/Beloeil--Chambly"," 2","Mont-Saint-Hilaire",0,56,1,5,23,32,9,0,126,308
24011,"Beloeil--Chambly/Beloeil--Chambly"," 3","Mont-Saint-Hilaire",1,72,1,11,14,52,15,5,171,338
24011,"Beloeil--Chambly/Beloeil--Chambly"," 4","Mont-Saint-Hilaire",2,132,0,9,32,67,5,0,247,446
24011,"Beloeil--Chambly/Beloeil--Chambly"," 5","Mont-Saint-Hilaire",2,94,2,5,28,51,7,2,191,413
24011,"Beloeil--Chambly/Beloeil--Chambly"," 6","Mont-Saint-Hilaire",3,108,0,16,50,52,9,1,239,480
24011,"Beloeil--Chambly/Beloeil--Chambly"," 7","Beloeil",2,91,0,13,35,42,13,4,200,446
24011,"Beloeil--Chambly/Beloeil--Chambly"," 8","Beloeil",0,163,0,16,35,52,10,8,284,498
24011,"Beloeil--Chambly/Beloeil--Chambly"," 9","Beloeil",3,134,0,11,43,71,19,5,286,577
24011,"Beloeil--Chambly/Beloeil--Chambly"," 10","Beloeil",1,135,1,11,41,81,18,1,289,515
24011,"Beloeil--Chambly/Beloeil--Chambly"," 11","Beloeil",1,95,0,10,24,45,14,2,191,362
24011,"Beloeil--Chambly/Beloeil--Chambly"," 12","Beloeil",5,144,0,7,40,76,16,6,294,543
24011,"Beloeil--Chambly/Beloeil--Chambly"," 13","Beloeil",4,116,0,7,29,62,16,1,235,428
24011,"Beloeil--Chambly/Beloeil--Chambly"," 14","Beloeil",1,150,0,15,43,68,11,2,290,517
24011,"Beloeil--Chambly/Beloeil--Chambly"," 15","Beloeil",2,117,0,11,29,39,15,5,218,356
24011,"Beloeil--Chambly/Beloeil--Chambly"," 16","Beloeil",1,158,0,16,31,76,19,2,303,614
24011,"Beloeil--Chambly/Beloeil--Chambly"," 17","Beloeil",0,115,0,11,33,51,12,4,226,418
24011,"Beloeil--Chambly/Beloeil--Chambly"," 18","Mont-Saint-Hilaire",2,111,2,12,37,39,16,0,219,455
24011,"Beloeil--Chambly/Beloeil--Chambly"," 19","Mont-Saint-Hilaire",1,107,1,12,34,48,7,1,211,457
24011,"Beloeil--Chambly/Beloeil--Chambly"," 20","Mont-Saint-Hilaire",0,137,0,15,33,74,16,2,277,517
24011,"Beloeil--Chambly/Beloeil--Chambly"," 21","Mont-Saint-Hilaire",0,99,1,13,29,48,11,1,202,397
24011,"Beloeil--Chambly/Beloeil--Chambly"," 22","Mont-Saint-Hilaire",1,99,0,11,41,29,9,1,191,425
24011,"Beloeil--Chambly/Beloeil--Chambly"," 23","Mont-Saint-Hilaire",1,69,1,7,24,42,6,0,150,305
