Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jerome Adamo,Anita Anand,James Elwick,JD Meaney,Sushila Pereira,Terence Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35072,"Oakville/Oakville"," 1","Oakville",9,98,6,2,2,92,4,213,489
35072,"Oakville/Oakville"," 2","Oakville",6,61,3,2,0,86,0,158,352
35072,"Oakville/Oakville"," 3","Oakville",14,69,10,1,0,151,2,247,557
35072,"Oakville/Oakville"," 4","Oakville",24,103,9,0,0,142,1,279,563
35072,"Oakville/Oakville"," 5","Oakville",15,73,5,1,0,121,0,215,486
35072,"Oakville/Oakville"," 6","Oakville",22,124,9,3,1,87,2,248,459
35072,"Oakville/Oakville"," 7","Oakville",21,68,5,3,0,99,1,197,399
35072,"Oakville/Oakville"," 8","Oakville",11,76,11,1,0,74,2,175,369
35072,"Oakville/Oakville"," 9","Oakville",11,95,8,1,0,68,0,183,378
35072,"Oakville/Oakville"," 10","Oakville",25,108,4,2,0,49,1,189,417
35072,"Oakville/Oakville"," 11","Oakville",16,86,4,4,0,78,1,189,368
35072,"Oakville/Oakville"," 12","Oakville",11,111,6,2,0,47,3,180,433
35072,"Oakville/Oakville"," 13","Oakville",14,70,11,2,0,72,2,171,368
35072,"Oakville/Oakville"," 14","Oakville",11,78,8,0,0,76,2,175,357
35072,"Oakville/Oakville"," 15","Oakville",6,71,6,3,0,56,1,143,308
35072,"Oakville/Oakville"," 16","Oakville",19,64,7,2,0,80,0,172,368
35072,"Oakville/Oakville"," 17","Oakville",14,68,8,3,0,86,1,180,349
35072,"Oakville/Oakville"," 18","Oakville",15,57,4,0,0,47,0,123,246
35072,"Oakville/Oakville"," 19","Oakville",14,74,5,1,0,34,1,129,306
35072,"Oakville/Oakville"," 20","Oakville",6,77,1,3,0,89,4,180,454
35072,"Oakville/Oakville"," 21","Oakville",19,98,13,1,1,77,0,209,334
35072,"Oakville/Oakville"," 22","Oakville",11,77,8,2,0,99,1,198,446
35072,"Oakville/Oakville"," 23","Oakville",8,62,4,3,0,49,1,127,241
35072,"Oakville/Oakville"," 24","Oakville",3,40,5,3,0,30,2,83,234
35072,"Oakville/Oakville"," 25","Oakville",9,65,6,0,0,54,5,139,351
