Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Khalis Ahmed,Ghada Alatrash,Christina Bassett,Garry Dirk,Ron Liepert,Marco Reid,Gord Squire,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Calgary Signal Hill/Calgary Signal Hill"," 1","Calgary",15,28,1,1,193,4,4,0,246,460
48012,"Calgary Signal Hill/Calgary Signal Hill"," 2","Rocky View No. 44",5,9,1,0,102,1,1,0,119,247
48012,"Calgary Signal Hill/Calgary Signal Hill"," 3","Rocky View No. 44",18,51,1,0,203,8,3,1,285,567
48012,"Calgary Signal Hill/Calgary Signal Hill"," 4","Calgary",4,21,2,0,132,1,4,0,164,340
48012,"Calgary Signal Hill/Calgary Signal Hill"," 5","Calgary",17,42,1,1,118,2,8,0,189,393
48012,"Calgary Signal Hill/Calgary Signal Hill"," 6","Calgary",15,42,3,0,122,3,3,0,188,411
48012,"Calgary Signal Hill/Calgary Signal Hill"," 7","Calgary",23,57,3,1,211,3,3,0,301,552
48012,"Calgary Signal Hill/Calgary Signal Hill"," 8","Calgary",22,35,2,3,166,4,4,1,237,406
48012,"Calgary Signal Hill/Calgary Signal Hill"," 9","Calgary",12,11,0,1,188,7,2,0,221,432
48012,"Calgary Signal Hill/Calgary Signal Hill"," 10","Calgary",20,29,3,0,205,6,6,1,270,556
48012,"Calgary Signal Hill/Calgary Signal Hill"," 11","Calgary",11,25,0,0,97,6,4,0,143,393
48012,"Calgary Signal Hill/Calgary Signal Hill"," 12","Calgary",12,30,0,0,134,8,5,0,189,374
48012,"Calgary Signal Hill/Calgary Signal Hill"," 13","Calgary",15,23,1,5,144,6,2,1,197,439
48012,"Calgary Signal Hill/Calgary Signal Hill"," 14A","Calgary",16,14,2,1,106,10,5,0,154,449
48012,"Calgary Signal Hill/Calgary Signal Hill"," 14B","Calgary",16,12,3,2,96,5,5,0,139,352
48012,"Calgary Signal Hill/Calgary Signal Hill"," 15","Calgary",24,31,0,1,115,15,6,0,192,414
48012,"Calgary Signal Hill/Calgary Signal Hill"," 16","Calgary",21,30,3,2,106,10,4,0,176,372
48012,"Calgary Signal Hill/Calgary Signal Hill"," 17","Calgary",25,37,3,0,105,19,7,4,200,462
48012,"Calgary Signal Hill/Calgary Signal Hill"," 18","Calgary",33,22,2,0,114,12,1,1,185,378
48012,"Calgary Signal Hill/Calgary Signal Hill"," 19","Calgary",21,24,1,0,88,10,9,0,153,413
48012,"Calgary Signal Hill/Calgary Signal Hill"," 20","Calgary",39,25,1,1,112,16,9,0,203,425
48012,"Calgary Signal Hill/Calgary Signal Hill"," 21","Calgary",33,27,3,1,134,15,5,1,219,515
48012,"Calgary Signal Hill/Calgary Signal Hill"," 22","Calgary",35,29,3,0,61,9,2,0,139,425
48012,"Calgary Signal Hill/Calgary Signal Hill"," 23","Calgary",32,30,1,1,119,5,6,2,196,448
48012,"Calgary Signal Hill/Calgary Signal Hill"," 24","Calgary",22,36,3,2,130,10,6,1,210,447
48012,"Calgary Signal Hill/Calgary Signal Hill"," 25","Calgary",21,25,2,1,104,13,6,0,172,396
48012,"Calgary Signal Hill/Calgary Signal Hill"," 26","Calgary",32,29,2,1,99,13,6,2,184,375
48012,"Calgary Signal Hill/Calgary Signal Hill"," 27","Calgary",36,22,1,3,98,13,5,0,178,390
