Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Riani De Wet,Stephanie Goertz,Tim Louis,Koltyn Wallar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 1","Floradale",64,7,8,33,1,1,114,312
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 2","Woolwich",55,5,7,29,1,1,98,343
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 3","Woolwich",81,30,13,62,5,0,191,367
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 4","Woolwich",77,13,32,59,1,1,183,375
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 5","Woolwich",97,23,17,68,4,0,209,378
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 6","Woolwich",69,23,17,49,2,0,160,281
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 7","Woolwich",66,17,18,48,2,1,152,297
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 8","Woolwich",85,10,20,61,2,1,179,317
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 9","Woolwich",74,29,20,79,1,0,203,331
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 10","Woolwich",72,20,20,44,1,1,158,315
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 11","West Montrose",65,5,14,50,1,0,135,316
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 12","Woolwich",74,18,23,57,6,5,183,381
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 13","Woolwich",49,25,23,65,3,0,165,320
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 14","Woolwich",69,18,19,64,4,1,175,384
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 15","Woolwich",79,22,26,57,4,0,188,377
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 16","Woolwich",76,12,12,34,0,2,136,409
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 17","Woolwich",61,15,16,63,2,0,157,281
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 18","Woolwich",57,25,19,73,4,1,179,294
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 19","Woolwich",74,18,5,41,5,3,146,265
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 20","Woolwich",102,27,16,45,3,0,193,378
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 21","Woolwich",104,6,15,62,7,2,196,374
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 22","Woolwich",62,13,24,54,3,0,156,303
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 23","Woolwich",71,10,10,46,4,1,142,286
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 24","Woolwich",95,22,12,73,1,3,206,412
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 25","Woolwich",69,14,10,43,2,0,138,277
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 26","Woolwich",46,10,10,47,1,0,114,238
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 27","Woolwich",69,14,21,57,0,0,161,321
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 28","Woolwich",128,17,23,95,1,2,266,477
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 29","West Montrose",84,11,21,81,2,0,199,341
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 30","Winterbourne",101,20,26,73,1,1,222,390
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 31","Winterbourne",107,8,12,71,2,0,200,336
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 32","Woolwich",63,17,18,52,3,1,154,276
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 33","Woolwich",82,23,16,43,9,3,176,281
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 34","Wellesley",11,1,0,4,0,0,16,313
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 35","Wellesley",122,14,13,39,8,0,196,491
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 36","Winterbourne",88,15,34,57,4,0,198,359
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 37","Maryhill",71,21,16,51,3,0,162,304
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 38","Maryhill",66,21,29,44,6,0,166,320
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 39","Maryhill",73,11,25,45,2,4,160,295
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 40","Bloomingdale",85,12,18,44,4,1,164,343
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 41","Linwood",84,16,11,36,0,1,148,378
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 42","Linwood",78,14,19,74,5,1,191,373
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 43","Wellesley",42,3,1,20,0,1,67,408
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 44","Woolwich",48,7,19,78,1,2,155,285
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 45","St. Jacobs",88,25,36,78,2,0,229,418
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 46","St. Jacobs",40,9,34,72,1,0,156,286
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 47","St. Jacobs",84,19,33,72,4,3,215,368
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 48","Woolwich",107,10,17,80,2,1,217,483
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 49","Woolwich",35,8,6,34,3,1,87,232
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 50","Breslau",90,15,23,83,0,2,213,443
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 51","Breslau",83,12,18,74,1,1,189,354
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 52","Breslau",79,17,10,65,3,0,174,335
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 53","Breslau",70,22,25,64,6,2,189,368
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 54","Wellesley",102,10,18,47,4,1,182,376
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 55","Wellesley",97,22,16,104,2,0,241,430
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 56","St. Clements",72,22,18,48,8,0,168,297
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 57","Wellesley",96,13,20,22,2,2,155,310
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 58","Wellesley",123,38,30,50,5,5,251,503
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 59","Wellesley",67,1,8,26,4,0,106,411
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 60","Wellesley",74,6,9,63,1,2,155,328
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 61","Breslau",59,13,13,66,0,1,152,271
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 62","Breslau",72,27,15,61,2,2,179,292
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 63","Breslau",55,25,18,85,6,1,190,359
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 64","Breslau",81,28,24,113,4,3,253,455
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 65","Wellesley",80,3,4,18,0,0,105,322
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 66","Wellesley",96,11,17,70,2,1,197,352
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 67","Wellesley",104,9,23,66,3,0,205,370
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 68","Wellesley",74,18,17,51,3,1,164,315
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 69","Wellesley",106,18,25,67,7,1,224,410
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 70","Wellesley",58,15,6,67,1,1,148,320
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 71","Wellesley",97,19,27,79,5,0,227,452
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 72","Wellesley",93,21,22,58,6,0,200,336
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 73","Wilmot",89,14,30,40,7,0,180,311
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 74","Kitchener",54,18,24,104,3,1,204,375
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 75","Kitchener",53,16,18,127,2,0,216,407
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 76","Kitchener",101,12,12,109,2,1,237,445
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 77","Kitchener",62,23,10,94,2,2,193,350
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 78","Kitchener",78,30,22,167,4,1,302,557
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 79","Kitchener",59,24,17,108,3,0,211,429
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 80","Kitchener",76,23,22,94,6,1,222,475
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 81","Kitchener",80,31,22,152,1,2,288,548
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 82","Kitchener",67,34,20,111,4,1,237,545
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 83","Kitchener",68,19,12,94,2,0,195,424
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 84","Kitchener",46,30,20,143,2,1,242,479
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 85","Kitchener",56,29,15,100,2,0,202,500
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 86","Kitchener",38,27,14,49,0,0,128,300
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 87","Kitchener",63,15,19,78,8,1,184,376
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 88","Kitchener",46,33,36,80,0,5,200,408
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 89","Kitchener",60,43,41,99,7,4,254,514
