Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Erin Alyward,Douglas Gordon Burchill,Kenneth Munro,Shelley Termuende,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 611","Grande Prairie",71,32,45,21,916,5,1090,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 612","Grande Prairie",115,53,73,22,1580,3,1846,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 613","Grande Prairie",105,27,50,26,847,0,1055,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 614","Grande Prairie",65,22,49,16,1070,5,1227,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 615","Grande Prairie",115,48,81,28,1339,6,1617,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 616","Grande Prairie",34,19,30,15,806,4,908,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 617","Clairmont",43,29,26,11,1465,10,1584,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 618","Grande Prairie--Wapiti",6,2,4,1,107,1,121,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 619","Greenview--DeBolt",6,7,3,5,214,0,235,
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie",,Group 1/Groupe 1, 19,5,37,11,44,8,124,135
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie",,Group 2/Groupe 2, 158,44,67,54,1776,37,2136,
