Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Erin Alyward,Douglas Gordon Burchill,Kenneth Munro,Shelley Termuende,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 102","Grande Prairie",25,3,13,1,118,2,162,200
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 103","Grande Prairie",23,3,9,5,164,1,205,429
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 104","Hermit Lake",Merged with No./Fusionné avec le n°102,,,,,,,221
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 105","Grande Prairie",13,1,7,3,96,4,124,384
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 106","Grande Prairie",19,5,10,1,181,0,216,470
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 107","Grande Prairie",23,5,13,4,165,2,212,442
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 108","Grande Prairie",13,2,2,0,108,2,127,267
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 109","Grande Prairie",13,3,7,3,134,0,160,316
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 110","Grande Prairie",17,2,4,3,146,0,172,366
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 111","Grande Prairie",11,2,14,6,120,2,155,389
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 112","Grande Prairie",19,6,9,9,119,1,163,405
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 113","Grande Prairie",29,6,9,11,121,1,177,436
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 114","Grande Prairie",35,6,24,10,151,0,226,525
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 115","Grande Prairie",34,8,15,8,142,0,207,553
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 116","Grande Prairie",28,2,7,4,173,0,214,392
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 117","Grande Prairie",22,7,10,4,124,0,167,499
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 118","Grande Prairie",18,8,6,5,103,1,141,358
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 119","Grande Prairie",12,7,7,4,106,0,136,396
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 120","Grande Prairie",10,3,9,3,163,0,188,408
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 121","Grande Prairie",20,5,16,0,158,1,200,498
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 122","Grande Prairie",28,3,14,0,195,0,240,564
