Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kristine Bowman,Gordon Francey,Douglas Galavan,Jeremy Hoefsloot,Cory Lystang,Angelena Satdeo,Gerald Soroka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48034,"Yellowhead/Yellowhead"," 23","Hinton",16,0,7,13,0,14,167,0,217,432
48034,"Yellowhead/Yellowhead"," 24","Hinton",13,0,5,8,1,1,129,4,161,319
48034,"Yellowhead/Yellowhead"," 25A","Hinton",17,0,3,12,2,2,89,0,125,275
48034,"Yellowhead/Yellowhead"," 25B","Hinton",12,0,5,9,0,4,82,1,113,248
48034,"Yellowhead/Yellowhead"," 26","Hinton",28,1,5,19,0,10,131,0,194,394
48034,"Yellowhead/Yellowhead"," 27","Hinton",23,0,6,27,1,5,162,3,227,449
48034,"Yellowhead/Yellowhead"," 28","Bickerdike",6,0,6,3,0,5,145,0,165,314
48034,"Yellowhead/Yellowhead"," 29","Yates",3,0,3,1,0,1,102,0,110,219
48034,"Yellowhead/Yellowhead"," 30","Marlboro",12,0,2,2,2,1,131,0,150,367
48034,"Yellowhead/Yellowhead"," 31","Bickerdike",0,0,3,2,1,2,88,1,97,208
48034,"Yellowhead/Yellowhead"," 32","Bickerdike",4,0,0,2,0,2,95,0,103,235
48034,"Yellowhead/Yellowhead"," 33","Bickerdike",7,0,3,3,0,2,125,0,140,303
48034,"Yellowhead/Yellowhead"," 34","Edson",7,0,0,1,1,5,115,0,129,320
48034,"Yellowhead/Yellowhead"," 35","Yates",4,0,1,6,0,0,103,0,114,288
48034,"Yellowhead/Yellowhead"," 36","Edson",7,1,3,4,0,2,139,0,156,396
48034,"Yellowhead/Yellowhead"," 37","Edson",10,0,3,1,0,5,112,0,131,340
48034,"Yellowhead/Yellowhead"," 38","Edson",12,0,5,1,1,3,139,0,161,358
48034,"Yellowhead/Yellowhead"," 39","Edson",9,1,2,10,0,2,135,1,160,365
48034,"Yellowhead/Yellowhead"," 40","Edson",12,1,4,15,0,2,179,1,214,492
48034,"Yellowhead/Yellowhead"," 41","Edson",11,0,4,15,0,1,120,0,151,360
48034,"Yellowhead/Yellowhead"," 42","Edson",16,0,7,7,0,6,111,3,150,395
48034,"Yellowhead/Yellowhead"," 43","Edson",11,0,5,11,0,1,133,0,161,383
48034,"Yellowhead/Yellowhead"," 44A","Edson",13,0,3,9,0,2,113,0,140,255
48034,"Yellowhead/Yellowhead"," 44B","Edson",8,0,1,5,2,1,88,0,105,272
48034,"Yellowhead/Yellowhead"," 45","Edson",4,0,1,4,0,2,63,0,74,199
48034,"Yellowhead/Yellowhead"," 46","Edson",12,0,4,6,1,4,109,2,138,311
48034,"Yellowhead/Yellowhead"," 47","Edson",12,2,8,6,0,6,150,1,185,406
48034,"Yellowhead/Yellowhead"," 48","Edson",8,0,6,4,0,2,100,2,122,273
48034,"Yellowhead/Yellowhead"," 49","Edson",9,0,1,6,1,1,98,0,116,301
48034,"Yellowhead/Yellowhead"," 50","Edson",9,1,2,2,0,2,122,0,138,377
48034,"Yellowhead/Yellowhead"," 51","Edson",8,0,4,3,0,1,154,2,172,367
