Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bianca Boutin,Tommy Bureau,Sébastien CoRhino,Bruno Dabiré,Jean-Yves Duclos,Christiane Gagnon,Luc Joli-Coeur,Luc Paquin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24059,"Québec/Québec"," 1","Québec",57,34,2,4,98,126,18,1,12,352,559
24059,"Québec/Québec"," 2","Québec",26,27,1,2,91,117,17,0,2,283,454
24059,"Québec/Québec"," 3","Québec",10,24,0,1,67,71,16,0,2,191,394
24059,"Québec/Québec"," 4","Québec",12,9,0,2,60,68,14,0,0,165,352
24059,"Québec/Québec"," 5","Québec",18,33,1,0,53,50,11,0,4,170,378
24059,"Québec/Québec"," 6","Québec",9,17,0,4,66,54,13,1,1,165,375
24059,"Québec/Québec"," 7","Québec",22,24,2,0,63,72,24,2,0,209,433
24059,"Québec/Québec"," 8","Québec",12,28,1,3,55,45,10,1,0,155,308
24059,"Québec/Québec"," 9","Québec",7,15,0,1,39,36,6,0,1,105,370
24059,"Québec/Québec"," 10","Québec",14,21,2,0,74,84,18,0,3,216,385
24059,"Québec/Québec"," 11","Québec",38,10,0,1,52,78,6,0,2,187,526
24059,"Québec/Québec"," 12","Québec",7,47,3,1,36,42,14,1,1,152,341
24059,"Québec/Québec"," 13","Québec",3,28,0,1,42,26,6,0,2,108,294
24059,"Québec/Québec"," 14","Québec",20,13,0,1,50,38,6,1,0,129,467
24059,"Québec/Québec"," 15","Québec",14,16,1,2,42,38,9,0,2,124,331
24059,"Québec/Québec"," 16","Québec",61,17,0,3,49,36,8,1,4,179,509
24059,"Québec/Québec"," 17","Québec",58,15,2,3,36,56,5,0,6,181,361
24059,"Québec/Québec"," 18","Québec",49,8,0,5,38,48,3,0,5,156,308
24059,"Québec/Québec"," 19","Québec",32,15,0,3,46,35,2,0,2,135,357
24059,"Québec/Québec"," 20","Québec",39,10,2,3,50,40,1,0,6,151,349
24059,"Québec/Québec"," 21","Québec",56,10,2,0,39,27,6,3,6,149,373
24059,"Québec/Québec"," 22","Québec",30,16,0,2,29,39,8,1,3,128,442
24059,"Québec/Québec"," 23","Québec",14,3,0,2,37,37,3,0,1,97,314
24059,"Québec/Québec"," 24","Québec",34,14,0,0,46,33,3,1,4,135,394
24059,"Québec/Québec"," 25","Québec",8,34,1,3,61,42,17,1,3,170,369
24059,"Québec/Québec"," 26","Québec",5,46,2,0,44,38,10,0,0,145,339
24059,"Québec/Québec"," 27","Québec",6,20,2,3,39,39,5,0,3,117,320
24059,"Québec/Québec"," 28","Québec",6,29,2,2,40,37,5,0,1,122,322
24059,"Québec/Québec"," 29","Québec",20,49,2,4,82,87,13,0,1,258,474
24059,"Québec/Québec"," 30","Québec",9,54,2,4,56,60,16,0,6,207,386
24059,"Québec/Québec"," 31","Québec",9,33,1,1,40,51,17,0,4,156,329
24059,"Québec/Québec"," 32","Québec",5,44,4,1,51,62,26,0,3,196,355
24059,"Québec/Québec"," 33","Québec",25,15,1,5,89,114,10,1,3,263,454
24059,"Québec/Québec"," 34","Québec",33,25,0,6,87,95,13,1,5,265,454
24059,"Québec/Québec"," 35","Québec",13,30,2,3,60,54,17,0,2,181,548
24059,"Québec/Québec"," 36","Québec",10,19,1,1,43,46,10,0,0,130,398
24059,"Québec/Québec"," 37","Québec",8,24,0,1,43,68,11,0,0,155,371
24059,"Québec/Québec"," 38","Québec",5,18,0,0,49,28,16,0,0,116,326
24059,"Québec/Québec"," 39","Québec",44,30,0,4,76,86,13,0,1,254,497
24059,"Québec/Québec"," 40","Québec",45,8,0,1,23,30,3,0,1,111,352
24059,"Québec/Québec"," 41","Québec",39,15,1,4,39,40,3,0,2,143,409
24059,"Québec/Québec"," 42","Québec",33,12,1,6,31,44,4,0,4,135,444
24059,"Québec/Québec"," 43","Québec",26,6,0,1,45,39,3,1,5,126,371
24059,"Québec/Québec"," 44","Québec",38,17,2,1,43,40,8,1,6,156,401
24059,"Québec/Québec"," 45","Québec",31,12,0,2,39,33,5,0,5,127,365
24059,"Québec/Québec"," 46","Québec",50,5,0,5,32,22,9,0,3,126,368
24059,"Québec/Québec"," 47","Québec",7,47,2,1,43,75,24,1,0,200,387
24059,"Québec/Québec"," 48","Québec",15,36,0,2,75,66,15,0,2,211,448
24059,"Québec/Québec"," 49","Québec",8,32,3,1,38,64,17,0,2,165,383
24059,"Québec/Québec"," 50","Québec",8,44,3,1,55,65,11,1,2,190,378
24059,"Québec/Québec"," 51","Québec",6,47,2,0,49,68,27,0,0,199,391
24059,"Québec/Québec"," 52","Québec",4,35,1,1,46,52,17,0,1,157,346
24059,"Québec/Québec"," 53","Québec",8,19,1,1,59,62,14,0,1,165,368
24059,"Québec/Québec"," 54","Québec",5,50,3,0,56,54,21,0,2,191,405
24059,"Québec/Québec"," 55","Québec",6,45,3,1,54,47,19,0,4,179,362
24059,"Québec/Québec"," 56","Québec",2,24,2,1,34,43,14,0,0,120,262
24059,"Québec/Québec"," 57","Québec",7,21,3,1,40,46,12,1,5,136,353
24059,"Québec/Québec"," 58","Notre-Dame-des-Anges",18,33,2,4,64,47,19,0,1,188,325
24059,"Québec/Québec"," 59","Québec",19,27,0,5,74,53,19,1,4,202,369
24059,"Québec/Québec"," 60","Québec",13,29,0,1,45,48,19,0,0,155,331
24059,"Québec/Québec"," 61","Québec",19,37,1,2,41,57,30,0,2,189,411
24059,"Québec/Québec"," 62","Québec",23,35,0,2,62,70,20,0,2,214,407
24059,"Québec/Québec"," 63","Québec",12,54,2,2,58,53,18,0,1,200,458
24059,"Québec/Québec"," 64","Québec",11,26,5,2,49,68,18,1,0,180,424
24059,"Québec/Québec"," 65","Québec",19,52,5,1,69,67,20,1,1,235,417
24059,"Québec/Québec"," 66","Québec",20,42,1,6,53,54,15,0,3,194,387
24059,"Québec/Québec"," 67","Québec",15,49,4,2,53,44,21,2,1,191,411
24059,"Québec/Québec"," 68","Québec",14,60,6,0,63,73,20,2,7,245,386
24059,"Québec/Québec"," 69","Québec",14,56,5,6,38,44,18,0,2,183,454
24059,"Québec/Québec"," 70","Québec",14,56,2,1,69,62,29,0,0,233,416
24059,"Québec/Québec"," 71","Québec",22,62,3,6,72,72,10,1,3,251,447
24059,"Québec/Québec"," 72","Québec",25,43,2,0,48,50,13,0,2,183,402
24059,"Québec/Québec"," 73","Québec",11,52,2,3,47,47,14,0,4,180,388
24059,"Québec/Québec"," 74","Québec",12,14,1,1,26,33,13,2,1,103,293
24059,"Québec/Québec"," 75","Québec",13,51,5,4,40,50,19,0,1,183,384
24059,"Québec/Québec"," 76","Québec",26,40,2,1,53,47,7,1,2,179,402
24059,"Québec/Québec"," 77","Québec",16,20,1,3,32,43,10,1,1,127,326
24059,"Québec/Québec"," 78","Québec",28,23,2,1,38,49,10,1,1,153,385
24059,"Québec/Québec"," 79","Québec",13,29,2,2,46,73,12,0,2,179,370
24059,"Québec/Québec"," 80","Québec",29,29,1,5,43,53,8,0,3,171,408
24059,"Québec/Québec"," 81","Québec",26,12,1,3,101,97,11,0,0,251,513
24059,"Québec/Québec"," 82","Québec",20,6,1,1,102,87,4,0,0,221,461
24059,"Québec/Québec"," 83","Québec",13,12,0,0,79,64,11,0,1,180,434
24059,"Québec/Québec"," 84","Québec",9,11,0,0,59,54,10,0,1,144,343
24059,"Québec/Québec"," 85","Québec",17,10,2,2,80,57,4,0,0,172,441
24059,"Québec/Québec"," 86","Québec",12,19,3,4,78,63,14,0,2,195,477
24059,"Québec/Québec"," 87","Québec",8,69,3,2,56,70,25,0,0,233,432
24059,"Québec/Québec"," 88","Québec",7,51,2,0,102,64,22,0,2,250,476
24059,"Québec/Québec"," 89","Québec",6,35,0,2,61,70,19,0,1,194,416
24059,"Québec/Québec"," 90","Québec",6,28,1,1,47,53,13,0,0,149,383
24059,"Québec/Québec"," 91","Québec",16,22,0,1,90,100,25,0,2,256,473
24059,"Québec/Québec"," 92","Québec",11,40,4,0,92,85,18,1,1,252,458
24059,"Québec/Québec"," 93A","Québec",9,25,2,2,62,60,16,0,2,178,390
24059,"Québec/Québec"," 93B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°513,,,,,,,,,,19
