Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Christina Gower,Nicholas Insley,Dan Iova,Ron McKinnon,Brad Nickason,Roland Spornicu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 1","Coquitlam",39,54,0,40,9,4,0,146,359
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 2","Coquitlam",31,33,0,74,11,3,0,152,426
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 3","Coquitlam",37,90,1,65,13,0,0,206,468
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 4","Coquitlam",17,79,0,36,6,3,1,142,385
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 5","Coquitlam",26,59,0,51,12,1,2,151,377
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 6","Coquitlam",20,45,0,54,12,1,0,132,349
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 7","Coquitlam",33,68,0,71,16,0,2,190,428
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 8","Coquitlam",12,68,0,51,3,3,3,140,411
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 9","Coquitlam",37,104,0,78,11,0,0,230,554
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 10","Coquitlam",26,73,0,69,7,3,2,180,432
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 11","Coquitlam",29,85,0,61,9,1,0,185,484
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 12","Coquitlam",35,78,0,73,7,1,0,194,545
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 13","Coquitlam",40,78,0,81,11,3,3,216,486
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 14","Coquitlam",41,49,0,65,12,3,0,170,389
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 15","Coquitlam",52,58,1,64,8,3,2,188,519
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 16","Coquitlam",52,22,1,49,11,0,0,135,407
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 17","Coquitlam",36,53,0,64,5,1,0,159,436
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 18","Coquitlam",34,45,0,45,12,3,1,140,433
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 19","Coquitlam",26,83,0,93,15,3,3,223,464
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 20","Coquitlam",22,73,0,70,9,2,0,176,422
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 21","Coquitlam",21,73,0,61,7,0,0,162,337
