Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pam Damoff,Nicolas Dion,Michael Houghton,Gilbert Joseph Jubinville,Sean Weir,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 53","Oakville",93,19,11,2,94,2,221,446
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 54","Oakville",116,13,12,1,67,0,209,431
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 55","Oakville",102,10,12,3,108,2,237,528
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 56","Oakville",121,20,13,1,66,0,221,529
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 57","Oakville",63,12,11,1,126,0,213,479
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 58","Oakville",125,9,10,1,102,2,249,483
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 59","Oakville",148,17,14,3,114,2,298,548
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 60","Oakville",114,33,10,6,78,1,242,478
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 61","Oakville",98,13,14,1,87,3,216,393
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 62","Oakville",124,16,14,4,79,0,237,471
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 63","Oakville",128,16,18,2,79,1,244,553
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 64","Oakville",111,21,8,3,75,0,218,509
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 65","Oakville",124,19,7,2,82,1,235,517
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 66","Oakville",104,20,12,5,48,2,191,423
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 67","Oakville",123,29,20,4,76,0,252,534
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 68","Oakville",112,9,2,2,110,0,235,536
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 69","Oakville",113,15,17,3,90,0,238,497
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 70","Oakville",108,15,7,2,93,1,226,532
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 71","Oakville",158,36,8,0,113,0,315,629
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 72","Oakville",126,16,12,2,91,1,248,520
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 73","Oakville",110,14,9,2,119,3,257,621
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 74","Oakville",99,24,10,2,67,1,203,519
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 75","Oakville",90,10,10,0,62,6,178,430
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 76","Oakville",127,13,10,3,111,1,265,496
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 77","Oakville",94,12,12,2,95,3,218,465
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 78","Oakville",114,26,4,2,88,1,235,530
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 79","Oakville",131,11,8,6,75,0,231,514
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 80","Oakville",122,13,9,1,84,0,229,516
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 81","Oakville",105,19,8,1,76,1,210,491
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 82","Oakville",87,24,4,1,64,0,180,382
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 83","Oakville",90,18,16,2,83,0,209,489
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 84","Oakville",122,19,5,3,107,0,256,501
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 85","Oakville",96,10,9,5,97,1,218,524
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 86","Oakville",123,17,18,1,104,2,265,523
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 87","Oakville",128,26,10,3,75,1,243,502
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 88","Oakville",116,18,17,4,79,0,234,498
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 89","Oakville",125,27,8,4,123,4,291,535
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 90","Oakville",117,8,10,4,96,4,239,514
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 91","Oakville",101,18,12,1,96,0,228,514
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 92","Oakville",103,34,12,1,81,0,231,446
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 93","Oakville",110,14,6,6,90,1,227,463
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 94","Oakville",117,19,3,3,156,4,302,616
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 95","Oakville",109,21,15,6,91,0,242,459
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 96","Oakville",91,17,5,1,113,0,227,507
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 97","Oakville",149,17,14,4,95,3,282,526
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 98","Oakville",128,30,16,2,115,0,291,603
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 99","Oakville",175,36,12,5,103,0,331,785
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 100","Oakville",152,29,9,4,62,2,258,511
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 101","Oakville",127,16,10,1,98,0,252,586
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 102","Oakville",131,14,9,1,104,1,260,551
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 103","Oakville",107,20,3,0,94,0,224,478
