Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dustin Innes,Steven Kou,Ivan Pak,Françoise Raunet,Alice Wong,Zhe Zhang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59025,"Richmond Centre/Richmond-Centre"," 60","Richmond",11,35,0,4,36,1,1,88,379
59025,"Richmond Centre/Richmond-Centre"," 61","Richmond",10,35,1,3,48,0,0,97,392
59025,"Richmond Centre/Richmond-Centre"," 62","Richmond",16,52,2,13,62,3,0,148,410
59025,"Richmond Centre/Richmond-Centre"," 63","Richmond",37,56,6,12,76,3,3,193,452
59025,"Richmond Centre/Richmond-Centre"," 64","Richmond",25,30,0,13,67,1,1,137,314
59025,"Richmond Centre/Richmond-Centre"," 65","Richmond",32,47,3,8,62,0,3,155,364
59025,"Richmond Centre/Richmond-Centre"," 66","Richmond",9,13,1,3,37,0,0,63,276
59025,"Richmond Centre/Richmond-Centre"," 67","Richmond",20,42,1,9,60,0,2,134,490
59025,"Richmond Centre/Richmond-Centre"," 68","Richmond",21,43,3,3,62,1,2,135,473
59025,"Richmond Centre/Richmond-Centre"," 69","Richmond",6,9,0,2,27,1,0,45,279
59025,"Richmond Centre/Richmond-Centre"," 70","Richmond",13,21,2,5,51,1,0,93,343
59025,"Richmond Centre/Richmond-Centre"," 71","Richmond",26,53,4,4,86,0,1,174,574
59025,"Richmond Centre/Richmond-Centre"," 72","Richmond",32,43,1,4,58,1,1,140,526
59025,"Richmond Centre/Richmond-Centre"," 73","Richmond",30,53,2,15,44,0,6,150,561
59025,"Richmond Centre/Richmond-Centre"," 74","Richmond",37,26,2,7,46,3,3,124,431
59025,"Richmond Centre/Richmond-Centre"," 75","Richmond",37,45,2,6,95,2,2,189,491
59025,"Richmond Centre/Richmond-Centre"," 76","Richmond",24,37,2,4,105,0,0,172,484
59025,"Richmond Centre/Richmond-Centre"," 77","Richmond",24,62,0,12,90,1,1,190,452
59025,"Richmond Centre/Richmond-Centre"," 78","Richmond",89,107,9,20,177,5,9,416,953
59025,"Richmond Centre/Richmond-Centre"," 79","Richmond",40,36,2,14,47,2,3,144,315
59025,"Richmond Centre/Richmond-Centre"," 80","Richmond",24,53,4,9,66,1,4,161,439
59025,"Richmond Centre/Richmond-Centre"," 81","Richmond",36,40,0,7,93,0,3,179,411
59025,"Richmond Centre/Richmond-Centre"," 82","Richmond",26,42,3,10,122,1,4,208,524
59025,"Richmond Centre/Richmond-Centre"," 83","Richmond",23,34,1,10,66,0,1,135,325
59025,"Richmond Centre/Richmond-Centre"," 84","Richmond",17,37,3,8,60,0,0,125,351
59025,"Richmond Centre/Richmond-Centre"," 85","Richmond",19,35,5,12,81,4,2,158,475
59025,"Richmond Centre/Richmond-Centre"," 86","Richmond",9,14,4,4,58,1,1,91,376
59025,"Richmond Centre/Richmond-Centre"," 87","Richmond",33,60,0,4,88,2,2,189,859
59025,"Richmond Centre/Richmond-Centre"," 88","Richmond",16,27,1,5,52,0,0,101,543
59025,"Richmond Centre/Richmond-Centre"," 89","Richmond",17,29,2,6,110,2,7,173,561
59025,"Richmond Centre/Richmond-Centre"," 90","Richmond",13,30,1,5,60,1,0,110,509
59025,"Richmond Centre/Richmond-Centre"," 91","Richmond",13,53,4,7,53,1,1,132,400
59025,"Richmond Centre/Richmond-Centre"," 92","Richmond",27,65,2,10,92,1,2,199,549
59025,"Richmond Centre/Richmond-Centre"," 93","Richmond",17,27,1,5,64,0,3,117,349
59025,"Richmond Centre/Richmond-Centre"," 94","Richmond",6,25,0,7,65,0,0,103,332
59025,"Richmond Centre/Richmond-Centre"," 95","Richmond",10,41,3,5,70,0,1,130,455
59025,"Richmond Centre/Richmond-Centre"," 96","Richmond",17,35,2,2,76,1,0,133,495
59025,"Richmond Centre/Richmond-Centre"," 97","Richmond",10,28,4,7,66,2,0,117,334
59025,"Richmond Centre/Richmond-Centre"," 98","Richmond",29,45,5,5,59,0,0,143,330
59025,"Richmond Centre/Richmond-Centre"," 99","Richmond",28,47,9,10,92,3,5,194,404
59025,"Richmond Centre/Richmond-Centre"," 100A","Richmond",38,52,4,16,73,3,3,189,414
59025,"Richmond Centre/Richmond-Centre"," 100B","Richmond",36,48,2,11,80,3,3,183,419
59025,"Richmond Centre/Richmond-Centre"," 101","Richmond",22,64,3,12,76,2,1,180,459
59025,"Richmond Centre/Richmond-Centre"," 102","Richmond",7,9,2,2,25,1,2,48,132
59025,"Richmond Centre/Richmond-Centre"," 103","Richmond",21,38,2,11,69,0,1,142,394
59025,"Richmond Centre/Richmond-Centre"," 104","Richmond",24,42,3,5,88,0,2,164,467
59025,"Richmond Centre/Richmond-Centre"," 105","Richmond",48,73,5,24,81,2,1,234,408
59025,"Richmond Centre/Richmond-Centre"," 106","Richmond",25,32,0,7,75,1,2,142,267
59025,"Richmond Centre/Richmond-Centre"," 107","Richmond",19,43,2,8,78,0,0,150,327
59025,"Richmond Centre/Richmond-Centre"," 108","Richmond",33,54,0,12,119,1,0,219,451
59025,"Richmond Centre/Richmond-Centre"," 109","Richmond",28,53,1,2,53,0,2,139,344
59025,"Richmond Centre/Richmond-Centre"," 110","Richmond",24,38,0,8,82,0,2,154,520
59025,"Richmond Centre/Richmond-Centre"," 111","Richmond",25,53,0,11,100,1,2,192,507
59025,"Richmond Centre/Richmond-Centre"," 112","Richmond",14,36,1,4,90,0,2,147,484
59025,"Richmond Centre/Richmond-Centre"," 113","Richmond",27,42,1,6,29,0,5,110,346
59025,"Richmond Centre/Richmond-Centre"," 114","Richmond",21,51,0,14,72,2,1,161,432
59025,"Richmond Centre/Richmond-Centre"," 115","Richmond",21,45,1,5,79,1,2,154,381
59025,"Richmond Centre/Richmond-Centre"," 116","Richmond",26,81,2,12,95,1,1,218,476
59025,"Richmond Centre/Richmond-Centre"," 117","Richmond",42,83,8,20,116,3,1,273,715
59025,"Richmond Centre/Richmond-Centre"," 118","Richmond",41,102,4,25,96,3,1,272,592
59025,"Richmond Centre/Richmond-Centre"," 119","Richmond",15,35,3,7,69,0,1,130,298
59025,"Richmond Centre/Richmond-Centre"," 120","Richmond",36,59,0,12,100,1,1,209,473
59025,"Richmond Centre/Richmond-Centre"," 121","Richmond",40,58,2,15,89,3,1,208,474
59025,"Richmond Centre/Richmond-Centre"," 122","Richmond",33,41,1,11,107,1,1,195,523
59025,"Richmond Centre/Richmond-Centre"," 123","Richmond",27,41,2,7,102,1,1,181,578
59025,"Richmond Centre/Richmond-Centre"," 124","Richmond",12,24,1,2,62,0,0,101,333
59025,"Richmond Centre/Richmond-Centre"," 125","Richmond",15,41,3,8,108,0,0,175,571
