Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aino Laamanen,Casey Lalonde,Mikko Paavola,Stef Paquette,Marc G Serré,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35069,"Nickel Belt/Nickel Belt"," 1","Mattagami 71",4,3,0,46,8,0,61,105
35069,"Nickel Belt/Nickel Belt"," 2","Gogama",6,1,0,26,20,0,53,163
35069,"Nickel Belt/Nickel Belt"," 3","Gogama",22,2,5,19,34,0,82,189
35069,"Nickel Belt/Nickel Belt"," 4","Westree/Shining Tree",16,5,1,6,18,0,46,74
35069,"Nickel Belt/Nickel Belt"," 5","Capreol",44,9,6,66,55,0,180,427
35069,"Nickel Belt/Nickel Belt"," 6","Capreol",32,9,2,89,57,0,189,525
35069,"Nickel Belt/Nickel Belt"," 7","Capreol",40,5,4,76,53,4,182,471
35069,"Nickel Belt/Nickel Belt"," 8","Capreol",41,14,4,91,29,2,181,452
35069,"Nickel Belt/Nickel Belt"," 9","Capreol",48,8,2,74,59,0,191,463
35069,"Nickel Belt/Nickel Belt"," 10","Capreol",37,19,1,99,51,0,207,432
35069,"Nickel Belt/Nickel Belt"," 11","Biscotasing",4,0,1,8,7,0,20,27
35069,"Nickel Belt/Nickel Belt"," 12","River Valley",19,8,6,24,69,2,128,238
35069,"Nickel Belt/Nickel Belt"," 13","Wahnapitei 11",5,2,0,28,24,1,60,94
35069,"Nickel Belt/Nickel Belt"," 14","Cartier",27,19,4,69,41,0,160,303
35069,"Nickel Belt/Nickel Belt"," 15","Wahnapitae",49,26,6,65,56,0,202,501
35069,"Nickel Belt/Nickel Belt"," 16","Wahnapitae",43,11,7,86,66,1,214,486
35069,"Nickel Belt/Nickel Belt"," 17","Wahnapitae",37,10,5,67,47,0,166,428
35069,"Nickel Belt/Nickel Belt"," 18","Wahnapitae",47,14,3,72,81,1,218,511
35069,"Nickel Belt/Nickel Belt"," 19","Wahnapitae",46,12,0,43,41,4,146,373
35069,"Nickel Belt/Nickel Belt"," 20","Skead",67,17,3,52,77,4,220,331
35069,"Nickel Belt/Nickel Belt"," 21","Skead",51,7,5,33,45,1,142,296
35069,"Nickel Belt/Nickel Belt"," 22","Val Caron",43,12,5,70,97,1,228,489
35069,"Nickel Belt/Nickel Belt"," 23","Val Caron",34,5,6,69,60,2,176,340
35069,"Nickel Belt/Nickel Belt"," 24","Val Caron",39,16,3,51,61,2,172,374
35069,"Nickel Belt/Nickel Belt"," 25","Val Caron",24,10,11,44,76,0,165,373
35069,"Nickel Belt/Nickel Belt"," 26","Val Caron",32,6,5,67,51,2,163,323
35069,"Nickel Belt/Nickel Belt"," 27","Val Caron",41,11,6,54,64,3,179,315
35069,"Nickel Belt/Nickel Belt"," 28","Val Caron",36,8,6,74,57,1,182,421
35069,"Nickel Belt/Nickel Belt"," 29","Val Caron",57,10,4,69,63,0,203,428
35069,"Nickel Belt/Nickel Belt"," 30","Val Caron",43,8,5,86,103,0,245,492
35069,"Nickel Belt/Nickel Belt"," 31","Val Caron",47,4,10,87,90,2,240,543
35069,"Nickel Belt/Nickel Belt"," 32","Val Caron",36,9,6,58,61,1,171,368
35069,"Nickel Belt/Nickel Belt"," 33","Val Caron",42,12,3,72,55,2,186,431
35069,"Nickel Belt/Nickel Belt"," 34","Val Caron",47,5,6,64,56,2,180,422
35069,"Nickel Belt/Nickel Belt"," 35","Val Caron",42,9,5,82,89,1,228,482
35069,"Nickel Belt/Nickel Belt"," 36","Val Caron",38,12,8,78,58,1,195,456
35069,"Nickel Belt/Nickel Belt"," 37","Field",37,10,5,41,91,2,186,332
35069,"Nickel Belt/Nickel Belt"," 38","Field",39,4,7,26,77,0,153,299
35069,"Nickel Belt/Nickel Belt"," 39","Hanmer",33,11,5,84,57,2,192,436
35069,"Nickel Belt/Nickel Belt"," 40A","Hanmer",40,6,6,68,42,2,164,313
35069,"Nickel Belt/Nickel Belt"," 40B","Hanmer",42,10,4,55,55,0,166,323
35069,"Nickel Belt/Nickel Belt"," 41","Hanmer",47,15,11,79,71,0,223,460
35069,"Nickel Belt/Nickel Belt"," 42","Hanmer",40,8,7,101,64,0,220,485
35069,"Nickel Belt/Nickel Belt"," 43","Hanmer",24,11,2,40,34,0,111,266
35069,"Nickel Belt/Nickel Belt"," 44","Hanmer",56,16,1,101,91,0,265,518
