Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Campbell,Tom Cull,Mohamed Hammoud,Bela Kosoian,Lindsay Mathyssen,Michael van Holst,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"London--Fanshawe/London--Fanshawe"," 1","London",1,7,100,3,55,75,4,245,457
35051,"London--Fanshawe/London--Fanshawe"," 2","London",1,6,147,6,89,126,4,379,677
35051,"London--Fanshawe/London--Fanshawe"," 3","London",1,23,106,3,75,75,3,286,540
35051,"London--Fanshawe/London--Fanshawe"," 4","London",3,10,79,0,70,77,4,243,511
35051,"London--Fanshawe/London--Fanshawe"," 5","London",0,10,55,3,123,43,2,236,522
35051,"London--Fanshawe/London--Fanshawe"," 6","London",2,9,52,3,88,18,6,178,471
35051,"London--Fanshawe/London--Fanshawe"," 7","London",3,10,33,3,64,72,0,185,516
35051,"London--Fanshawe/London--Fanshawe"," 8","London",2,5,38,2,90,34,2,173,365
35051,"London--Fanshawe/London--Fanshawe"," 9","London",1,14,36,2,63,51,1,168,342
35051,"London--Fanshawe/London--Fanshawe"," 10","London",1,9,35,8,116,51,2,222,435
35051,"London--Fanshawe/London--Fanshawe"," 11","London",4,11,36,4,67,37,3,162,398
35051,"London--Fanshawe/London--Fanshawe"," 12","London",3,6,48,1,83,48,0,189,396
35051,"London--Fanshawe/London--Fanshawe"," 13","London",1,15,48,4,70,36,0,174,398
35051,"London--Fanshawe/London--Fanshawe"," 14","London",0,7,56,6,69,21,1,160,374
35051,"London--Fanshawe/London--Fanshawe"," 15","London",1,10,43,6,93,38,3,194,410
35051,"London--Fanshawe/London--Fanshawe"," 16","London",0,13,61,5,94,45,3,221,398
35051,"London--Fanshawe/London--Fanshawe"," 17","London",0,16,60,14,130,71,3,294,583
35051,"London--Fanshawe/London--Fanshawe"," 18","London",1,14,43,5,94,61,2,220,438
35051,"London--Fanshawe/London--Fanshawe"," 19","London",1,3,47,1,55,46,3,156,342
35051,"London--Fanshawe/London--Fanshawe"," 20","London",2,10,80,1,84,46,1,224,483
35051,"London--Fanshawe/London--Fanshawe"," 21","London",1,4,48,4,64,46,3,170,381
35051,"London--Fanshawe/London--Fanshawe"," 22","London",1,8,48,4,124,46,5,236,473
35051,"London--Fanshawe/London--Fanshawe"," 23","London",0,10,48,5,89,44,0,196,490
35051,"London--Fanshawe/London--Fanshawe"," 24","London",0,11,51,15,100,50,0,227,543
35051,"London--Fanshawe/London--Fanshawe"," 25","London",4,7,44,4,58,24,0,141,357
35051,"London--Fanshawe/London--Fanshawe"," 26","London",1,9,55,4,104,49,0,222,477
35051,"London--Fanshawe/London--Fanshawe"," 27","London",1,11,33,0,69,16,3,133,407
35051,"London--Fanshawe/London--Fanshawe"," 28","London",0,6,44,5,71,41,2,169,348
35051,"London--Fanshawe/London--Fanshawe"," 29","London",3,13,27,6,58,42,0,149,329
35051,"London--Fanshawe/London--Fanshawe"," 30","London",4,15,37,7,96,34,0,193,558
35051,"London--Fanshawe/London--Fanshawe"," 31","London",1,12,45,2,84,36,0,180,426
35051,"London--Fanshawe/London--Fanshawe"," 32","London",2,10,27,3,96,33,1,172,382
35051,"London--Fanshawe/London--Fanshawe"," 33","London",1,15,40,6,73,37,1,173,418
35051,"London--Fanshawe/London--Fanshawe"," 34","London",1,20,27,2,80,34,0,164,360
35051,"London--Fanshawe/London--Fanshawe"," 35","London",5,11,52,4,85,53,0,210,417
35051,"London--Fanshawe/London--Fanshawe"," 36","London",0,11,39,7,112,69,1,239,438
35051,"London--Fanshawe/London--Fanshawe"," 37","London",3,9,36,6,108,45,0,207,401
35051,"London--Fanshawe/London--Fanshawe"," 38","London",3,10,53,1,112,65,0,244,463
35051,"London--Fanshawe/London--Fanshawe"," 39","London",0,8,44,1,89,22,3,167,418
35051,"London--Fanshawe/London--Fanshawe"," 40","London",1,9,53,2,113,48,2,228,528
35051,"London--Fanshawe/London--Fanshawe"," 41","London",0,13,40,1,89,44,3,190,374
35051,"London--Fanshawe/London--Fanshawe"," 42","London",2,11,37,11,89,46,1,197,357
35051,"London--Fanshawe/London--Fanshawe"," 43","London",2,9,47,5,85,56,5,209,428
35051,"London--Fanshawe/London--Fanshawe"," 44","London",2,8,18,1,64,24,0,117,376
35051,"London--Fanshawe/London--Fanshawe"," 45","London",1,6,33,6,81,21,2,150,441
35051,"London--Fanshawe/London--Fanshawe"," 46","London",0,7,28,3,94,34,0,166,378
35051,"London--Fanshawe/London--Fanshawe"," 47","London",1,4,52,3,66,51,3,180,457
35051,"London--Fanshawe/London--Fanshawe"," 48","London",1,12,32,4,115,50,4,218,455
35051,"London--Fanshawe/London--Fanshawe"," 49","London",1,23,48,8,128,45,4,257,582
35051,"London--Fanshawe/London--Fanshawe"," 50","London",0,9,41,2,84,55,0,191,374
35051,"London--Fanshawe/London--Fanshawe"," 51","London",1,12,30,2,71,32,0,148,429
35051,"London--Fanshawe/London--Fanshawe"," 52","London",0,7,31,4,60,21,1,124,321
35051,"London--Fanshawe/London--Fanshawe"," 53","London",0,6,50,1,75,42,1,175,469
35051,"London--Fanshawe/London--Fanshawe"," 54","London",1,7,48,6,93,52,0,207,414
35051,"London--Fanshawe/London--Fanshawe"," 55","London",0,12,30,3,107,31,1,184,470
35051,"London--Fanshawe/London--Fanshawe"," 56","London",0,2,56,1,75,56,2,192,358
35051,"London--Fanshawe/London--Fanshawe"," 57","London",3,13,47,4,82,47,0,196,510
35051,"London--Fanshawe/London--Fanshawe"," 58","London",2,11,54,1,84,54,0,206,423
35051,"London--Fanshawe/London--Fanshawe"," 59","London",1,3,27,4,75,30,0,140,372
35051,"London--Fanshawe/London--Fanshawe"," 60","London",0,3,57,2,88,55,1,206,357
35051,"London--Fanshawe/London--Fanshawe"," 61","London",3,9,36,1,72,57,1,179,360
35051,"London--Fanshawe/London--Fanshawe"," 62","London",3,13,40,3,118,52,2,231,534
35051,"London--Fanshawe/London--Fanshawe"," 63","London",2,9,40,1,90,45,1,188,401
35051,"London--Fanshawe/London--Fanshawe"," 64","London",0,14,26,5,100,48,2,195,440
35051,"London--Fanshawe/London--Fanshawe"," 65","London",0,10,53,4,82,63,2,214,402
35051,"London--Fanshawe/London--Fanshawe"," 66","London",1,9,39,2,84,56,1,192,377
35051,"London--Fanshawe/London--Fanshawe"," 67","London",0,11,29,5,105,40,1,191,378
35051,"London--Fanshawe/London--Fanshawe"," 68","London",0,3,35,9,57,50,4,158,329
35051,"London--Fanshawe/London--Fanshawe"," 69","London",1,3,33,8,92,49,4,190,506
35051,"London--Fanshawe/London--Fanshawe"," 70","London",1,16,42,1,100,42,1,203,360
35051,"London--Fanshawe/London--Fanshawe"," 71","London",4,18,31,6,85,47,2,193,379
35051,"London--Fanshawe/London--Fanshawe"," 72","London",1,15,63,2,118,34,2,235,457
35051,"London--Fanshawe/London--Fanshawe"," 73","London",0,14,38,12,90,44,2,200,385
35051,"London--Fanshawe/London--Fanshawe"," 74","London",1,12,61,5,107,67,0,253,486
35051,"London--Fanshawe/London--Fanshawe"," 75","London",1,6,44,4,107,35,2,199,484
35051,"London--Fanshawe/London--Fanshawe"," 76","London",1,10,44,0,74,52,0,181,448
35051,"London--Fanshawe/London--Fanshawe"," 77","London",0,6,32,2,106,80,1,227,432
35051,"London--Fanshawe/London--Fanshawe"," 78","London",0,10,40,3,116,75,7,251,395
35051,"London--Fanshawe/London--Fanshawe"," 79","London",2,10,57,7,94,97,3,270,473
35051,"London--Fanshawe/London--Fanshawe"," 80","London",1,11,42,8,96,72,1,231,492
35051,"London--Fanshawe/London--Fanshawe"," 81","London",1,13,49,9,106,66,4,248,497
35051,"London--Fanshawe/London--Fanshawe"," 82","London",0,4,47,3,79,45,1,179,371
35051,"London--Fanshawe/London--Fanshawe"," 83","London",0,16,45,5,106,58,0,230,397
35051,"London--Fanshawe/London--Fanshawe"," 84","London",3,9,28,4,65,42,1,152,341
35051,"London--Fanshawe/London--Fanshawe"," 85","London",1,16,35,2,62,38,0,154,391
35051,"London--Fanshawe/London--Fanshawe"," 86","London",1,12,29,3,85,42,1,173,412
35051,"London--Fanshawe/London--Fanshawe"," 87","London",1,10,34,3,119,50,0,217,503
35051,"London--Fanshawe/London--Fanshawe"," 88","London",1,15,39,5,98,49,0,207,494
35051,"London--Fanshawe/London--Fanshawe"," 89","London",2,11,31,9,84,45,3,185,412
35051,"London--Fanshawe/London--Fanshawe"," 90","London",3,13,19,4,81,40,0,160,389
35051,"London--Fanshawe/London--Fanshawe"," 91","London",0,13,61,3,75,45,0,197,528
35051,"London--Fanshawe/London--Fanshawe"," 92","London",0,20,31,5,73,61,2,192,402
35051,"London--Fanshawe/London--Fanshawe"," 93","London",0,11,60,1,74,56,1,203,402
35051,"London--Fanshawe/London--Fanshawe"," 94","London",0,11,43,9,103,55,1,222,464
35051,"London--Fanshawe/London--Fanshawe"," 95","London",0,8,69,9,94,76,3,259,486
35051,"London--Fanshawe/London--Fanshawe"," 96","London",1,11,40,6,99,63,10,230,530
35051,"London--Fanshawe/London--Fanshawe"," 97","London",1,7,37,2,84,61,1,193,388
35051,"London--Fanshawe/London--Fanshawe"," 98","London",2,13,38,5,88,31,3,180,490
35051,"London--Fanshawe/London--Fanshawe"," 99","London",2,12,41,10,80,43,1,189,517
35051,"London--Fanshawe/London--Fanshawe"," 100","London",0,7,30,4,62,25,0,128,377
35051,"London--Fanshawe/London--Fanshawe"," 101","London",1,10,36,1,73,40,1,162,490
35051,"London--Fanshawe/London--Fanshawe"," 102","London",1,8,50,8,103,39,0,209,438
35051,"London--Fanshawe/London--Fanshawe"," 103","London",0,10,43,2,77,44,1,177,388
35051,"London--Fanshawe/London--Fanshawe"," 104","London",2,16,41,4,96,69,1,229,483
35051,"London--Fanshawe/London--Fanshawe"," 105","London",0,19,47,11,88,47,3,215,418
