Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sunny Attwal,Michele Braniff,Manuel Couto,Scott Hamilton,David Haskell,Bryan May,George McMorrow,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35016,"Cambridge/Cambridge"," 1","Cambridge",75,9,2,48,6,101,0,3,244,549
35016,"Cambridge/Cambridge"," 2","Cambridge",82,21,1,57,4,120,0,2,287,584
35016,"Cambridge/Cambridge"," 3","Cambridge",69,11,0,45,1,111,0,2,239,561
35016,"Cambridge/Cambridge"," 4","Cambridge",76,12,0,49,4,100,0,0,241,510
35016,"Cambridge/Cambridge"," 5","Cambridge",48,8,0,27,7,112,0,2,204,490
35016,"Cambridge/Cambridge"," 6","Cambridge",81,15,0,44,8,95,2,0,245,530
35016,"Cambridge/Cambridge"," 7","Cambridge",67,13,0,33,4,122,0,0,239,564
35016,"Cambridge/Cambridge"," 8","Cambridge",80,16,0,43,7,123,0,2,271,603
35016,"Cambridge/Cambridge"," 9","Cambridge",64,17,0,51,3,87,0,1,223,450
35016,"Cambridge/Cambridge"," 10","Cambridge",50,24,2,43,7,54,1,1,182,433
35016,"Cambridge/Cambridge"," 11","Cambridge",54,15,0,36,5,64,0,1,175,361
35016,"Cambridge/Cambridge"," 12","Cambridge",70,12,0,38,10,82,1,6,219,439
35016,"Cambridge/Cambridge"," 13","Cambridge",65,15,0,42,3,82,0,3,210,432
35016,"Cambridge/Cambridge"," 14","Cambridge",61,11,0,55,8,68,1,0,204,481
35016,"Cambridge/Cambridge"," 15","Cambridge",83,19,2,49,3,105,1,4,266,535
35016,"Cambridge/Cambridge"," 16","Cambridge",117,17,0,29,8,139,0,0,310,616
35016,"Cambridge/Cambridge"," 17","Cambridge",92,12,0,36,5,105,0,1,251,664
35016,"Cambridge/Cambridge"," 18A","Cambridge",92,12,0,12,12,98,0,3,229,462
35016,"Cambridge/Cambridge"," 18B","Mobile poll/Bureau itinérant",26,8,0,8,4,45,0,6,97,114
35016,"Cambridge/Cambridge"," 19","Cambridge",57,11,0,36,3,78,0,1,186,439
35016,"Cambridge/Cambridge"," 20","Cambridge",56,14,0,22,10,58,0,1,161,383
35016,"Cambridge/Cambridge"," 21","Cambridge",65,12,1,46,8,86,0,1,219,401
35016,"Cambridge/Cambridge"," 22","Cambridge",19,11,0,36,6,43,0,1,116,320
35016,"Cambridge/Cambridge"," 23","Cambridge",67,30,0,61,15,64,0,0,237,499
35016,"Cambridge/Cambridge"," 24","Cambridge",63,26,0,51,8,71,4,1,224,508
35016,"Cambridge/Cambridge"," 25","Cambridge",47,17,0,62,6,91,2,2,227,550
35016,"Cambridge/Cambridge"," 26","Cambridge",63,35,0,56,10,88,1,1,254,521
35016,"Cambridge/Cambridge"," 27","Cambridge",58,7,1,39,7,123,0,1,236,499
35016,"Cambridge/Cambridge"," 28","Cambridge",68,11,1,43,12,132,0,2,269,475
35016,"Cambridge/Cambridge"," 29","Cambridge",45,17,1,44,3,96,1,8,215,337
35016,"Cambridge/Cambridge"," 30","Cambridge",44,16,1,45,6,88,0,1,201,448
35016,"Cambridge/Cambridge"," 31","Cambridge",76,20,1,45,8,91,2,0,243,521
35016,"Cambridge/Cambridge"," 32","Cambridge",48,19,0,50,10,55,1,0,183,424
35016,"Cambridge/Cambridge"," 33","Cambridge",66,17,0,59,10,71,1,0,224,490
35016,"Cambridge/Cambridge"," 34","Cambridge",30,14,0,28,8,73,7,0,160,328
35016,"Cambridge/Cambridge"," 35","Cambridge",78,13,0,25,2,100,0,2,220,397
35016,"Cambridge/Cambridge"," 36","Cambridge",106,18,0,24,4,93,0,0,245,522
35016,"Cambridge/Cambridge"," 37","Cambridge",56,16,0,23,4,103,0,2,204,582
35016,"Cambridge/Cambridge"," 38","Cambridge",66,11,0,54,7,119,1,2,260,624
35016,"Cambridge/Cambridge"," 39","Cambridge",86,15,0,27,9,112,0,0,249,461
35016,"Cambridge/Cambridge"," 40","Cambridge",73,22,1,36,10,130,0,1,273,522
35016,"Cambridge/Cambridge"," 41","Cambridge",46,19,0,60,9,66,3,0,203,477
35016,"Cambridge/Cambridge"," 42","Cambridge",50,17,0,48,7,59,0,0,181,466
