Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gene Balfour,Barbara Doyle,Judi Forbes,Elizabeth Fraser,Jamie Schmale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 1","Oxtongue Lake",1,6,25,9,36,0,77,135
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 2","Dysart and Others",3,10,38,13,66,0,130,266
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 3","Dysart and Others",5,27,60,24,74,1,191,366
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 4","Dysart and Others",2,20,51,21,87,3,184,351
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 5","Sherborne",0,21,59,20,89,0,189,397
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 6","Harcourt",5,30,36,4,98,1,174,368
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 7","Harcourt",1,13,39,7,72,2,134,291
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 8","Harburn",2,18,79,26,90,0,215,452
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 9","Harburn",5,20,53,28,62,0,168,323
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 10","Stanhope",5,18,60,21,68,1,173,338
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 11","Stanhope",3,12,48,8,55,0,126,247
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 12","Maple Lake",2,39,82,30,90,0,243,452
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 13","Dysart and Others",4,14,68,14,52,0,152,378
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 14","Dysart and Others",3,27,39,12,68,0,149,322
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 15","Dysart and Others",2,24,46,24,52,0,148,378
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 16","Dysart and Others",2,28,44,33,88,1,196,444
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 17","Haliburton",7,33,61,15,76,0,192,382
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 18","Dysart and Others",6,29,50,23,65,0,173,446
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 19","Dysart and Others",2,27,45,22,40,0,136,318
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 20","Dysart and Others",2,35,51,26,69,1,184,404
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 21","Highlands East",1,20,60,22,82,2,187,436
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 22","Minden Hills",3,20,62,18,80,3,186,475
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 23","Cardiff",9,32,71,5,116,0,233,456
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 24","Paudash Lake",5,44,106,9,141,1,306,552
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 25","Wilberforce",4,39,40,26,93,4,206,457
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 26","Monmouth",5,39,33,18,89,0,184,465
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 27","Carnarvon",3,17,65,35,98,1,219,412
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 28","Minden Hills",3,17,50,23,42,0,135,337
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 29","Minden Hills",7,17,58,21,84,0,187,409
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 30","Glamorgan",2,39,72,17,98,0,228,451
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 31","Gooderham",3,25,33,10,52,0,123,263
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 32","Snowdon",0,25,39,27,73,1,165,318
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 33","Minden Hills",0,20,33,7,53,1,114,305
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 34","Minden Hills",3,16,48,22,74,0,163,365
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 35","Minden Hills",1,13,34,19,58,0,125,306
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 36","Minden Hills",3,24,29,18,61,2,137,341
