Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Albas,Allan Duncan,Robert Mellalieu,Mary Ann Murphy,Joan Phillip,Jesse Regier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 52","Peachland",142,6,10,56,15,1,6,236,394
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 53","Peachland",111,4,18,63,30,1,1,228,537
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 54","Peachland",94,7,21,58,40,1,1,222,421
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 55","Peachland",93,0,20,48,27,0,2,190,435
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 56A","Peachland",102,2,14,47,16,1,1,183,420
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 56B","Peachland",Merged with No./Fusionné avec le n°60,,,,,,,,103
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 57","Peachland",119,3,12,43,29,1,2,209,452
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 58","Peachland",85,3,11,49,30,0,0,178,406
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 59","Peachland",115,2,15,44,38,2,0,216,473
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 60","Peachland",123,4,18,35,25,0,0,205,364
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 61","Westbank",Merged with No./Fusionné avec le n°69B,,,,,,,,99
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 62A","Westbank",148,4,10,75,27,1,0,265,531
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 62B","Westbank",Merged with No./Fusionné avec le n°63,,,,,,,,119
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 62C","Westbank",Merged with No./Fusionné avec le n°70,,,,,,,,198
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 63","Westbank",127,2,19,57,34,1,3,243,429
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 64A","Westbank",108,2,10,40,26,0,3,189,486
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 64B","Westbank",90,4,13,41,26,1,0,175,455
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 65A","Westbank",129,5,22,60,33,1,0,250,495
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 65B","Westbank",Merged with No./Fusionné avec le n°68,,,,,,,,49
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 66","Westbank",113,5,20,47,46,2,0,233,534
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 67","Westbank",147,4,28,55,39,1,0,274,554
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 68","Westbank",127,4,16,58,44,1,0,250,487
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 69A","Westbank",82,5,11,34,32,0,0,164,464
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 69B","Westbank",87,5,10,55,47,0,3,207,395
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 70","Westbank",91,4,13,42,29,1,1,181,288
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 71A","Glenrosa",98,3,13,49,28,0,1,192,475
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 71B","Glenrosa",Merged with No./Fusionné avec le n°81,,,,,,,,147
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 72","Glenrosa",105,6,10,45,44,2,1,213,436
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 73","Westbank",137,7,11,41,43,1,1,241,532
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 74","Westbank",95,0,19,53,32,0,0,199,422
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 75","Westbank",121,3,20,62,30,2,0,238,441
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 76","Westbank",92,4,21,50,36,2,1,206,305
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 77","Westbank",72,4,15,47,54,2,1,195,417
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 78","Tsinstikeptum 9",100,2,8,64,47,0,0,221,517
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 79A","Tsinstikeptum 9",119,0,14,53,39,1,1,227,575
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 79B","Tsinstikeptum 9",Merged with No./Fusionné avec le n°75,,,,,,,,82
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 80A","Tsinstikeptum 9",93,8,16,46,59,0,0,222,528
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 80B","Tsinstikeptum 9",Merged with No./Fusionné avec le n°76,,,,,,,,230
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 81","Tsinstikeptum 9",105,5,12,63,24,0,3,212,382
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 82A","Westbank",48,2,14,43,40,0,1,148,396
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 82B","Mobile poll/Bureau itinérant",95,2,15,66,13,2,1,194,128
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 83","Tsinstikeptum 9",136,3,7,57,10,0,0,213,531
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 84A","Tsinstikeptum 9",115,10,18,41,22,0,0,206,484
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 84B","Tsinstikeptum 9",Merged with No./Fusionné avec le n°77,,,,,,,,67
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 85","Kelowna",64,3,18,73,35,0,0,193,418
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 86A","Kelowna",50,3,20,70,71,0,1,215,513
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 86B","Kelowna",Merged with No./Fusionné avec le n°91,,,,,,,,165
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 86C","Kelowna",Merged with No./Fusionné avec le n°89,,,,,,,,101
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 87","Kelowna",61,3,30,74,65,1,0,234,423
