Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Albas,Allan Duncan,Robert Mellalieu,Mary Ann Murphy,Joan Phillip,Jesse Regier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 140","Westbank",113,1,11,44,11,0,0,180,300
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 141","Westbank",89,5,9,62,29,0,1,195,405
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 142","Tsinstikeptum 9",70,7,13,40,37,1,0,168,531
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 143","Westbank",164,4,9,50,28,0,2,257,509
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 144A","Westbank",89,4,15,50,46,1,0,205,512
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 144B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°82B,,,,,,,,118
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 145A","Westbank",75,2,20,45,50,2,1,195,487
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 145B","Westbank",Merged with No./Fusionné avec le n°147,,,,,,,,86
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 145C","Westbank",Merged with No./Fusionné avec le n°146,,,,,,,,87
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 145D","Westbank",Merged with No./Fusionné avec le n°149,,,,,,,,114
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 145E","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,30
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 146","Westbank",96,2,12,45,33,0,2,190,409
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 147","Tsinstikeptum 9",73,6,13,50,24,0,2,168,361
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 148","Westbank",61,3,3,37,15,0,1,120,341
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 149","Westbank",96,4,5,48,33,0,2,188,344
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 150","Tsinstikeptum 9",75,9,13,24,44,1,2,168,490
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 151","Westbank",94,8,13,42,14,1,0,172,473
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 152A","Kelowna",76,2,18,53,25,1,2,177,517
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 152B","Kelowna",Merged with No./Fusionné avec le n°156,,,,,,,,123
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 153","Kelowna",60,5,8,43,20,3,1,140,379
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 154","Kelowna",95,1,13,82,48,0,2,241,522
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 155","Kelowna",85,0,17,77,31,1,2,213,409
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 156","Kelowna",90,2,18,63,24,0,1,198,377
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 157","Osprey Lake",114,3,25,41,21,2,1,207,423
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 158","Princeton",82,1,20,59,50,1,0,213,537
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 159","Princeton",77,5,16,34,45,0,1,178,450
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 160","Princeton",61,3,20,30,39,1,2,156,325
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 161A","Princeton",97,1,18,35,42,0,0,193,444
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 161B","Princeton",Merged with No./Fusionné avec le n°160,,,,,,,,115
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 161C","Princeton",Merged with No./Fusionné avec le n°162,,,,,,,,65
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 162","Princeton",95,3,11,37,32,0,0,178,358
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 163","Princeton",132,3,10,46,45,2,0,238,500
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 164A","Summerland",88,7,27,59,49,1,0,231,477
