Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Foster,Jessika Hepburn,Bernadette Jordan,Jason Matthews,Shawn McMahon,Robert Monk,Rick Perkins,Kevin Schulthies,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 1","Stillwater Lake",1,39,71,0,1,5,57,0,24,0,198,388
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 2","Stillwater Lake",1,49,93,1,0,1,53,2,22,0,222,376
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 3","Tantallon North",2,38,97,0,0,1,33,0,16,0,187,323
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 4","Stillwater Lake",2,45,89,1,0,1,43,0,17,1,199,378
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 5","Masons Point",7,44,93,0,0,3,35,0,26,1,209,379
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 6","Masons Point",2,40,85,0,1,1,35,0,20,2,186,336
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 7","Boutiliers Point",4,46,98,1,1,6,31,1,26,2,216,398
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 8","Lewis Lake",3,44,94,1,0,3,34,1,21,0,201,387
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 9","Upper Tantallon",3,21,82,0,0,2,31,1,14,1,155,285
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 10","Lewis Lake",12,40,80,1,1,1,26,0,14,0,175,391
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 11","Allen Heights",1,30,77,0,0,1,31,0,19,0,159,343
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 12","Whynachts Point",2,30,115,1,1,2,51,0,20,0,222,381
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 13","Black Point",1,33,57,0,0,2,30,0,29,1,153,299
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 14","Boutiliers Point",5,43,73,0,0,0,27,1,29,2,180,361
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 15","Black Point",0,35,89,0,0,1,43,1,19,2,190,379
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 16","Hubley",3,37,81,0,0,0,16,0,14,1,152,352
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 17","Five Island Lake",3,35,45,0,0,2,30,0,15,1,131,271
