Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elizabeth Abbott,Ivan Byard,Zia Choudhary,Julie Dabrusin,Tara Dos Remedios,John Kladitis,Min Sook Lee,Chris Tolley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35109,"Toronto--Danforth/Toronto--Danforth"," 1","East York",1,1,45,102,3,0,39,9,0,200,398
35109,"Toronto--Danforth/Toronto--Danforth"," 2","East York",0,0,51,110,5,2,48,16,3,235,414
35109,"Toronto--Danforth/Toronto--Danforth"," 3","East York",0,0,54,116,4,1,53,10,0,238,419
35109,"Toronto--Danforth/Toronto--Danforth"," 4","East York",0,1,48,109,3,1,63,15,2,242,433
35109,"Toronto--Danforth/Toronto--Danforth"," 5","East York",0,0,66,117,5,3,46,16,0,253,463
35109,"Toronto--Danforth/Toronto--Danforth"," 6","East York",1,0,39,112,8,1,51,11,3,226,481
35109,"Toronto--Danforth/Toronto--Danforth"," 7","East York",2,1,40,121,1,2,60,8,3,238,436
35109,"Toronto--Danforth/Toronto--Danforth"," 8","East York",2,0,42,101,6,3,68,11,2,235,419
35109,"Toronto--Danforth/Toronto--Danforth"," 9","East York",3,2,41,97,3,1,64,18,4,233,444
35109,"Toronto--Danforth/Toronto--Danforth"," 10","East York",1,2,25,132,6,1,91,17,1,276,460
35109,"Toronto--Danforth/Toronto--Danforth"," 11","East York",2,0,35,106,6,2,53,8,3,215,458
35109,"Toronto--Danforth/Toronto--Danforth"," 12","East York",1,0,25,95,7,2,47,13,5,195,419
35109,"Toronto--Danforth/Toronto--Danforth"," 13","East York",0,1,45,104,2,0,31,8,0,191,379
35109,"Toronto--Danforth/Toronto--Danforth"," 14","East York",4,1,32,121,6,4,52,16,1,237,500
35109,"Toronto--Danforth/Toronto--Danforth"," 15","East York",2,1,39,101,4,2,43,12,7,211,450
35109,"Toronto--Danforth/Toronto--Danforth"," 16","East York",2,0,31,73,5,0,43,6,0,160,387
35109,"Toronto--Danforth/Toronto--Danforth"," 17","East York",3,1,34,106,0,0,51,7,2,204,444
35109,"Toronto--Danforth/Toronto--Danforth"," 18","East York",3,3,43,59,5,3,67,16,2,201,493
35109,"Toronto--Danforth/Toronto--Danforth"," 19","East York",2,0,34,84,1,2,28,13,0,164,340
35109,"Toronto--Danforth/Toronto--Danforth"," 20","East York",0,0,33,83,5,2,62,12,1,198,394
35109,"Toronto--Danforth/Toronto--Danforth"," 21","East York",0,1,17,73,2,2,43,16,1,155,384
35109,"Toronto--Danforth/Toronto--Danforth"," 22","East York",0,0,24,115,1,1,49,11,1,202,386
35109,"Toronto--Danforth/Toronto--Danforth"," 23","East York",1,3,23,97,0,0,84,6,3,217,462
35109,"Toronto--Danforth/Toronto--Danforth"," 24","East York",4,3,50,115,3,0,84,12,11,282,507
35109,"Toronto--Danforth/Toronto--Danforth"," 25","East York",3,1,40,63,1,5,50,4,3,170,439
35109,"Toronto--Danforth/Toronto--Danforth"," 26","East York",1,2,37,86,0,1,65,13,0,205,456
35109,"Toronto--Danforth/Toronto--Danforth"," 27","East York",2,0,19,74,1,0,44,5,2,147,375
35109,"Toronto--Danforth/Toronto--Danforth"," 28","East York",1,0,17,78,2,4,46,6,3,157,402
35109,"Toronto--Danforth/Toronto--Danforth"," 29","East York",0,1,31,90,4,1,54,5,1,187,517
35109,"Toronto--Danforth/Toronto--Danforth"," 30","East York",1,1,28,81,10,0,81,15,2,219,593
35109,"Toronto--Danforth/Toronto--Danforth"," 31","East York",0,0,29,81,6,1,77,5,2,201,504
35109,"Toronto--Danforth/Toronto--Danforth"," 32","East York",0,2,35,109,2,1,59,9,2,219,562
35109,"Toronto--Danforth/Toronto--Danforth"," 33","East York",0,0,21,101,0,2,70,8,0,202,416
35109,"Toronto--Danforth/Toronto--Danforth"," 34","East York",0,1,34,106,3,1,65,15,1,226,433
35109,"Toronto--Danforth/Toronto--Danforth"," 35","Toronto",1,1,19,117,1,0,59,15,1,214,427
35109,"Toronto--Danforth/Toronto--Danforth"," 36","East York",0,1,16,124,2,0,67,8,0,218,373
