Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Neelam Brar,Rex Brocki,Al Rawdah,Jay Shin,Jagmeet Singh,Brian Sproule,Brennan Wauters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby South/Burnaby-Sud"," 54","Burnaby",29,1,1,57,35,0,4,2,129,470
59003,"Burnaby South/Burnaby-Sud"," 55","Burnaby",39,0,2,49,51,0,11,1,153,548
59003,"Burnaby South/Burnaby-Sud"," 56","Burnaby",78,0,5,71,120,0,12,3,289,604
59003,"Burnaby South/Burnaby-Sud"," 57","Burnaby",43,1,1,49,56,0,9,0,159,374
59003,"Burnaby South/Burnaby-Sud"," 58","Burnaby",42,0,3,104,110,0,16,1,276,583
59003,"Burnaby South/Burnaby-Sud"," 59","Burnaby",65,1,3,75,98,1,18,0,261,709
59003,"Burnaby South/Burnaby-Sud"," 60","Burnaby",59,1,1,84,80,0,13,0,238,548
59003,"Burnaby South/Burnaby-Sud"," 61","Burnaby",38,3,2,77,69,0,15,1,205,528
59003,"Burnaby South/Burnaby-Sud"," 62","Burnaby",47,0,2,48,52,1,7,2,159,381
59003,"Burnaby South/Burnaby-Sud"," 63","Burnaby",35,1,1,78,59,0,12,2,188,421
59003,"Burnaby South/Burnaby-Sud"," 64","Burnaby",53,2,4,64,64,0,9,0,196,504
59003,"Burnaby South/Burnaby-Sud"," 65","Burnaby",65,1,2,74,76,0,6,0,224,604
59003,"Burnaby South/Burnaby-Sud"," 66","Burnaby",31,2,3,47,53,0,6,3,145,454
59003,"Burnaby South/Burnaby-Sud"," 67","Burnaby",40,0,8,51,56,0,4,2,161,513
59003,"Burnaby South/Burnaby-Sud"," 68","Burnaby",36,1,6,66,49,0,10,4,172,498
59003,"Burnaby South/Burnaby-Sud"," 69","Burnaby",38,0,1,65,63,0,9,1,177,516
59003,"Burnaby South/Burnaby-Sud"," 70","Burnaby",22,1,2,48,27,0,4,0,104,388
59003,"Burnaby South/Burnaby-Sud"," 71","Burnaby",45,0,6,69,65,1,8,0,194,490
59003,"Burnaby South/Burnaby-Sud"," 72","Burnaby",33,1,4,34,59,0,10,0,141,420
59003,"Burnaby South/Burnaby-Sud"," 73","Burnaby",28,0,0,57,40,0,7,3,135,468
59003,"Burnaby South/Burnaby-Sud"," 74","Burnaby",34,1,4,58,37,0,1,0,135,470
