Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alain Bélanger,Josée Bélanger,Ruth Ellen Brosseau,Martin Acetaria Caesar Jubinville,Éric Laferrière,Danny Légaré,Luc Massé,Yves Perron,Christine Poirier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 151","Saint-Jean-de-Matha",0,8,25,0,5,0,0,94,21,3,156,374
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 152","Saint-Jean-de-Matha",0,7,23,0,1,0,0,83,16,3,133,323
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 153","Saint-Norbert",0,8,41,0,2,0,1,61,18,4,135,219
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 154","Saint-Norbert",1,9,58,6,3,0,1,78,18,1,175,296
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 155","Saint-Norbert",0,11,87,3,5,0,1,76,13,6,202,338
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 156","Saint-Ignace-de-Loyola",0,14,62,0,1,0,0,73,24,5,179,390
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 157","La Visitation-de-l'Île-Dupas",0,4,51,0,1,0,0,30,8,1,95,253
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 158","Saint-Ignace-de-Loyola",0,15,59,1,1,0,2,76,16,5,175,344
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 159","Saint-Ignace-de-Loyola",0,16,67,1,2,0,2,72,22,1,183,340
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 160","La Visitation-de-l'Île-Dupas",0,14,48,2,5,1,0,73,13,0,156,313
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 161","Saint-Ignace-de-Loyola",0,9,71,0,4,1,0,49,16,3,153,352
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 162","Saint-Ignace-de-Loyola",0,9,70,0,2,0,1,67,7,1,157,284
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 163","Saint-Félix-de-Valois",1,12,37,3,5,0,0,83,27,5,173,379
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 164","Saint-Félix-de-Valois",0,9,29,1,4,1,3,100,17,5,169,318
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 165","Saint-Félix-de-Valois",0,16,22,0,3,1,2,47,22,4,117,317
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 166","Saint-Félix-de-Valois",1,11,18,0,4,0,0,63,9,4,110,259
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 167","Saint-Félix-de-Valois",0,9,15,0,2,0,0,56,12,1,95,274
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 168","Saint-Félix-de-Valois",2,20,25,0,5,3,1,100,24,2,182,393
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 169","Saint-Félix-de-Valois",0,7,27,0,1,0,4,75,25,2,141,399
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 170","Saint-Félix-de-Valois",0,5,12,1,0,0,3,41,9,0,71,236
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 171","Saint-Félix-de-Valois",0,12,17,0,2,1,1,58,10,1,102,276
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 172","Saint-Félix-de-Valois",1,11,29,0,3,0,0,76,13,1,134,253
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 173","Saint-Félix-de-Valois",1,12,38,0,2,0,0,79,22,3,157,278
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 174","Saint-Félix-de-Valois",0,9,15,2,1,0,0,84,21,1,133,260
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 175","Saint-Félix-de-Valois",0,22,48,5,6,2,1,132,27,6,249,593
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 176","Saint-Félix-de-Valois",0,11,26,2,3,0,1,100,24,0,167,357
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 177","Saint-Félix-de-Valois",1,17,14,0,2,0,0,79,21,2,136,344
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 178","Saint-Félix-de-Valois",0,15,32,0,6,0,0,106,37,5,201,453
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 179","Sainte-Geneviève-de-Berthier",0,12,43,1,2,0,1,52,12,3,126,359
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 180","Sainte-Geneviève-de-Berthier",0,14,61,0,6,0,2,49,16,1,149,338
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 181","Berthierville",0,12,50,0,2,2,1,37,16,0,120,314
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 182","Berthierville",0,13,32,0,3,2,0,54,21,5,130,405
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 183","Berthierville",0,8,28,0,1,0,1,22,12,6,78,281
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 184","Berthierville",0,7,27,3,2,0,0,33,6,0,78,244
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 185","Berthierville",1,17,41,0,3,1,0,48,16,8,135,379
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 186","Sainte-Élisabeth",0,12,67,0,4,0,0,80,12,5,180,289
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 187","Sainte-Élisabeth",0,13,44,1,3,0,0,49,18,0,128,242
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 188","Sainte-Élisabeth",2,17,53,0,4,0,0,53,25,3,157,272
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 189","Sainte-Élisabeth",1,26,83,2,7,0,0,76,27,1,223,345
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 190","Sainte-Geneviève-de-Berthier",2,14,94,0,6,0,0,54,19,1,190,321
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 191","Sainte-Geneviève-de-Berthier",1,23,85,0,2,1,1,53,23,2,191,344
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 192","Berthierville",0,12,59,0,0,0,0,50,16,0,137,253
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 193","Berthierville",0,16,44,0,4,0,1,50,25,0,140,327
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 194","Berthierville",0,29,85,0,3,0,0,66,20,0,203,477
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 195","Berthierville",1,6,42,0,1,0,1,34,11,2,98,311
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 196","Berthierville",0,13,51,1,2,0,0,52,19,3,141,343
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 197","Berthierville",0,10,78,0,4,0,0,47,15,3,157,341
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 198","Sainte-Geneviève-de-Berthier",0,16,61,1,3,0,0,84,22,1,188,402
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 199","Lanoraie",1,15,52,0,3,0,1,80,27,2,181,349
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 200","Lanoraie",0,5,62,0,2,1,2,68,25,2,167,360
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 201","Lanoraie",0,10,31,0,2,0,0,66,15,5,129,282
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 202","Lanoraie",2,11,37,0,6,0,3,58,11,0,128,290
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 203","Lanoraie",1,7,22,0,2,1,0,65,9,2,109,298
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 204","Lanoraie",0,15,28,0,7,0,2,45,14,1,112,326
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 205","Lanoraie",0,23,38,0,2,0,2,99,30,5,199,378
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 206","Lanoraie",0,18,53,0,7,1,0,92,38,1,210,464
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 207","Lanoraie",0,14,30,2,4,0,0,56,21,1,128,288
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 208","Lanoraie",0,25,61,2,3,2,0,117,28,5,243,483
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 209","Lanoraie",0,14,54,0,3,1,1,116,27,0,216,399
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 210","Lavaltrie",1,13,58,1,8,1,3,136,34,8,263,467
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 211","Lavaltrie",0,31,49,0,6,0,3,146,40,9,284,532
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 212","Lavaltrie",1,17,66,0,4,1,0,88,46,2,225,429
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 213","Lavaltrie",0,12,24,1,3,0,2,79,19,0,140,331
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 214","Lavaltrie",0,21,50,2,6,1,2,96,22,2,202,444
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 215","Lavaltrie",0,13,56,2,6,3,1,103,30,5,219,483
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 216","Lavaltrie",2,10,64,1,6,2,2,104,21,4,216,444
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 217","Lavaltrie",1,10,34,0,1,0,1,78,27,7,159,408
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 218","Lavaltrie",0,15,50,1,3,2,1,86,21,7,186,523
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 219","Lavaltrie",0,4,60,0,5,2,1,119,23,1,215,453
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 220","Lavaltrie",1,16,44,0,5,0,1,89,24,2,182,360
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 221","Lavaltrie",0,10,41,2,7,0,0,84,20,6,170,357
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 222","Lavaltrie",0,14,28,0,3,0,3,79,19,5,151,385
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 223","Lavaltrie",0,13,34,1,3,0,1,99,29,3,183,510
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 224","Lavaltrie",0,12,42,0,2,0,2,100,36,5,199,392
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 225","Lavaltrie",0,12,48,0,4,1,1,88,21,6,181,424
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 226","Lavaltrie",4,19,46,0,6,0,2,133,26,0,236,467
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 227","Lavaltrie",1,9,51,1,6,1,1,81,33,1,185,428
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 228","Lavaltrie",0,10,43,1,8,1,0,81,29,9,182,419
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 229","Lavaltrie",1,17,42,2,2,1,0,78,17,2,162,386
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 230","Lavaltrie",0,18,38,0,6,1,3,113,28,5,212,507
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 231","Lavaltrie",0,15,38,0,10,0,0,72,25,1,161,403
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 232","Lavaltrie",1,17,38,1,3,0,0,82,21,2,165,368
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 233","Lavaltrie",0,5,31,2,5,0,2,67,15,6,133,403
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 234","Lavaltrie",0,16,42,0,7,0,0,72,25,1,163,371
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 235","Lavaltrie",0,1,30,1,1,0,0,97,25,3,158,341
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 500","Mobile poll/Bureau itinérant",0,2,9,1,0,0,0,7,16,10,45,52
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 501","Mobile poll/Bureau itinérant",0,2,2,0,0,0,0,8,10,2,24,49
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 502","Mobile poll/Bureau itinérant",3,3,16,0,2,0,0,4,14,4,46,107
24012,"Berthier--Maskinongé/Berthier--Maskinongé"," 503","Mobile poll/Bureau itinérant",0,3,10,0,0,0,0,3,20,6,42,119
