Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Louise Boutin,Naomi Chocyk,Yvonne Hanson,Taleeb Noormohamed,Zach Segal,Jody Wilson-Raybould,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59036,"Vancouver Granville/Vancouver Granville"," 61","Vancouver",20,4,33,62,30,60,1,210,492
59036,"Vancouver Granville/Vancouver Granville"," 62","Vancouver",7,0,29,46,35,48,2,167,455
59036,"Vancouver Granville/Vancouver Granville"," 63","Vancouver",7,4,28,54,19,44,3,159,414
59036,"Vancouver Granville/Vancouver Granville"," 64","Vancouver",17,0,17,55,28,69,0,186,510
59036,"Vancouver Granville/Vancouver Granville"," 65","Vancouver",10,1,33,35,25,58,0,162,403
59036,"Vancouver Granville/Vancouver Granville"," 66","Vancouver",7,3,45,50,14,94,0,213,464
59036,"Vancouver Granville/Vancouver Granville"," 67","Vancouver",13,4,39,60,40,78,0,234,570
59036,"Vancouver Granville/Vancouver Granville"," 68","Vancouver",4,2,6,38,60,51,0,161,409
59036,"Vancouver Granville/Vancouver Granville"," 69","Vancouver",5,0,11,52,67,42,3,180,416
59036,"Vancouver Granville/Vancouver Granville"," 70","Vancouver",10,1,37,53,32,70,0,203,456
59036,"Vancouver Granville/Vancouver Granville"," 71","Vancouver",3,1,5,30,70,45,0,154,435
59036,"Vancouver Granville/Vancouver Granville"," 72","Vancouver",4,1,23,24,34,45,0,131,397
59036,"Vancouver Granville/Vancouver Granville"," 73","Vancouver",9,2,12,47,69,51,0,190,453
59036,"Vancouver Granville/Vancouver Granville"," 74","Vancouver",6,1,26,41,34,37,0,145,398
59036,"Vancouver Granville/Vancouver Granville"," 75","Vancouver",1,0,8,36,50,36,2,133,417
59036,"Vancouver Granville/Vancouver Granville"," 76","Vancouver",4,3,11,32,66,68,1,185,426
59036,"Vancouver Granville/Vancouver Granville"," 77","Vancouver",1,0,7,22,45,34,2,111,445
59036,"Vancouver Granville/Vancouver Granville"," 78","Vancouver",12,3,33,50,12,32,0,142,404
59036,"Vancouver Granville/Vancouver Granville"," 79","Vancouver",14,0,39,61,17,76,1,208,439
59036,"Vancouver Granville/Vancouver Granville"," 80","Vancouver",7,0,49,41,16,76,4,193,413
59036,"Vancouver Granville/Vancouver Granville"," 81","Vancouver",12,1,29,55,8,69,0,174,361
59036,"Vancouver Granville/Vancouver Granville"," 82","Vancouver",17,2,40,70,25,106,0,260,502
59036,"Vancouver Granville/Vancouver Granville"," 83","Vancouver",12,0,44,49,26,70,2,203,448
59036,"Vancouver Granville/Vancouver Granville"," 84","Vancouver",12,1,48,61,38,116,2,278,520
59036,"Vancouver Granville/Vancouver Granville"," 85","Vancouver",5,3,53,60,33,87,1,242,477
59036,"Vancouver Granville/Vancouver Granville"," 86","Vancouver",13,1,41,51,28,84,1,219,503
59036,"Vancouver Granville/Vancouver Granville"," 87","Vancouver",11,2,42,51,22,79,0,207,456
59036,"Vancouver Granville/Vancouver Granville"," 88","Vancouver",10,1,26,31,17,53,0,138,321
59036,"Vancouver Granville/Vancouver Granville"," 89","Vancouver",8,1,22,56,34,84,2,207,447
59036,"Vancouver Granville/Vancouver Granville"," 90","Vancouver",12,1,34,67,35,85,0,234,471
59036,"Vancouver Granville/Vancouver Granville"," 91","Vancouver",7,0,25,39,38,56,0,165,464
59036,"Vancouver Granville/Vancouver Granville"," 92","Vancouver",10,0,23,36,38,92,0,199,451
59036,"Vancouver Granville/Vancouver Granville"," 93","Vancouver",6,2,17,35,14,73,0,147,394
59036,"Vancouver Granville/Vancouver Granville"," 94","Vancouver",8,0,33,46,28,52,1,168,354
59036,"Vancouver Granville/Vancouver Granville"," 95","Vancouver",8,3,61,54,29,84,1,240,451
59036,"Vancouver Granville/Vancouver Granville"," 96","Vancouver",14,0,35,61,27,84,0,221,467
59036,"Vancouver Granville/Vancouver Granville"," 97","Vancouver",10,0,27,43,29,63,0,172,411
59036,"Vancouver Granville/Vancouver Granville"," 98","Vancouver",10,1,7,33,43,34,0,128,551
59036,"Vancouver Granville/Vancouver Granville"," 99","Vancouver",7,1,13,59,56,55,1,192,522
59036,"Vancouver Granville/Vancouver Granville"," 100","Vancouver",4,1,11,63,64,64,2,209,473
59036,"Vancouver Granville/Vancouver Granville"," 101","Vancouver",4,2,4,32,68,46,0,156,476
59036,"Vancouver Granville/Vancouver Granville"," 102","Vancouver",13,3,29,62,61,55,0,223,561
59036,"Vancouver Granville/Vancouver Granville"," 103","Vancouver",5,2,9,37,52,49,2,156,452
59036,"Vancouver Granville/Vancouver Granville"," 104","Vancouver",4,0,10,29,55,36,2,136,383
59036,"Vancouver Granville/Vancouver Granville"," 105","Vancouver",8,2,29,45,47,48,1,180,449
59036,"Vancouver Granville/Vancouver Granville"," 106","Vancouver",5,3,9,24,74,25,1,141,422
59036,"Vancouver Granville/Vancouver Granville"," 107","Vancouver",2,2,12,36,72,33,1,158,459
59036,"Vancouver Granville/Vancouver Granville"," 108","Vancouver",7,2,11,32,26,40,0,118,364
59036,"Vancouver Granville/Vancouver Granville"," 109","Vancouver",3,0,6,28,57,38,0,132,451
59036,"Vancouver Granville/Vancouver Granville"," 110","Vancouver",4,3,9,33,35,41,1,126,422
59036,"Vancouver Granville/Vancouver Granville"," 111","Vancouver",6,6,23,40,61,63,1,200,491
59036,"Vancouver Granville/Vancouver Granville"," 112","Vancouver",4,3,6,21,54,21,1,110,413
59036,"Vancouver Granville/Vancouver Granville"," 113","Vancouver",Merged with No./Fusionné avec le n°111,,,,,,,,131
59036,"Vancouver Granville/Vancouver Granville"," 114","Vancouver",6,0,16,31,53,42,0,148,458
59036,"Vancouver Granville/Vancouver Granville"," 115","Vancouver",7,2,20,36,68,50,2,185,513
59036,"Vancouver Granville/Vancouver Granville"," 116","Vancouver",4,1,14,20,39,31,0,109,428
59036,"Vancouver Granville/Vancouver Granville"," 117","Vancouver",16,0,20,40,43,54,0,173,492
59036,"Vancouver Granville/Vancouver Granville"," 118","Vancouver",Merged with No./Fusionné avec le n°121,,,,,,,,207
59036,"Vancouver Granville/Vancouver Granville"," 119","Vancouver",8,0,20,64,36,72,0,200,490
59036,"Vancouver Granville/Vancouver Granville"," 120","Vancouver",16,1,40,83,36,76,0,252,558
59036,"Vancouver Granville/Vancouver Granville"," 121","Vancouver",20,2,33,43,45,64,0,207,327
59036,"Vancouver Granville/Vancouver Granville"," 122","Vancouver",8,0,37,56,13,72,0,186,395
59036,"Vancouver Granville/Vancouver Granville"," 123","Vancouver",5,1,15,43,66,56,0,186,412
59036,"Vancouver Granville/Vancouver Granville"," 124","Vancouver",20,2,63,72,26,105,3,291,556
59036,"Vancouver Granville/Vancouver Granville"," 125","Vancouver",15,3,34,70,42,79,2,245,466
59036,"Vancouver Granville/Vancouver Granville"," 126","Vancouver",13,3,40,53,44,49,2,204,502
59036,"Vancouver Granville/Vancouver Granville"," 127","Vancouver",12,0,40,73,44,48,2,219,524
59036,"Vancouver Granville/Vancouver Granville"," 128","Vancouver",6,2,7,39,65,39,1,159,481
59036,"Vancouver Granville/Vancouver Granville"," 129","Vancouver",5,0,6,29,61,30,5,136,432
59036,"Vancouver Granville/Vancouver Granville"," 130","Vancouver",4,1,20,31,62,24,1,143,456
59036,"Vancouver Granville/Vancouver Granville"," 131","Vancouver",5,0,8,54,87,23,0,177,470
59036,"Vancouver Granville/Vancouver Granville"," 132","Vancouver",5,0,10,37,66,31,1,150,424
59036,"Vancouver Granville/Vancouver Granville"," 133","Vancouver",0,1,9,26,49,18,4,107,314
59036,"Vancouver Granville/Vancouver Granville"," 134","Vancouver",4,0,3,34,63,27,0,131,442
59036,"Vancouver Granville/Vancouver Granville"," 135","Vancouver",2,2,6,30,46,37,0,123,420
59036,"Vancouver Granville/Vancouver Granville"," 136","Vancouver",8,1,16,44,50,22,0,141,456
59036,"Vancouver Granville/Vancouver Granville"," 137","Vancouver",1,1,4,22,48,20,1,97,307
59036,"Vancouver Granville/Vancouver Granville"," 138","Vancouver",9,6,7,61,74,51,0,208,504
59036,"Vancouver Granville/Vancouver Granville"," 139","Vancouver",2,0,9,24,75,40,0,150,508
59036,"Vancouver Granville/Vancouver Granville"," 140","Vancouver",13,1,21,42,57,57,2,193,521
