Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Bogunovic,Arthur Green,Daniel Lamache,Heather McQuillan,Dorothy-Jean O'Donnell,Mark Strahl,Kelly Velonis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59006,"Chilliwack--Hope/Chilliwack--Hope"," 1","Chilliwack",10,17,2,23,0,98,32,1,183,420
59006,"Chilliwack--Hope/Chilliwack--Hope"," 2","Chilliwack",5,18,1,45,0,107,39,1,216,531
59006,"Chilliwack--Hope/Chilliwack--Hope"," 3","Chilliwack",7,19,0,20,0,120,29,1,196,467
59006,"Chilliwack--Hope/Chilliwack--Hope"," 4","Chilliwack",7,14,0,15,0,139,15,1,191,446
59006,"Chilliwack--Hope/Chilliwack--Hope"," 5","Chilliwack",8,30,0,54,0,106,54,0,252,496
59006,"Chilliwack--Hope/Chilliwack--Hope"," 6","Chilliwack",10,12,4,69,1,126,44,0,266,548
59006,"Chilliwack--Hope/Chilliwack--Hope"," 7","Chilliwack",8,20,0,30,0,123,66,1,248,563
59006,"Chilliwack--Hope/Chilliwack--Hope"," 8","Skway 5",8,21,0,50,0,99,21,0,199,609
59006,"Chilliwack--Hope/Chilliwack--Hope"," 9","Chilliwack",3,18,0,32,0,82,59,0,194,549
59006,"Chilliwack--Hope/Chilliwack--Hope"," 10","Chilliwack",3,22,1,24,0,77,45,1,173,363
59006,"Chilliwack--Hope/Chilliwack--Hope"," 11","Kwawkwawapilt 6",3,11,0,11,0,36,30,0,91,290
59006,"Chilliwack--Hope/Chilliwack--Hope"," 12","Chilliwack",1,19,0,45,0,96,36,0,197,466
59006,"Chilliwack--Hope/Chilliwack--Hope"," 13","Chilliwack",7,9,0,26,0,67,27,0,136,480
59006,"Chilliwack--Hope/Chilliwack--Hope"," 14","Chilliwack",10,18,1,35,0,61,25,0,150,393
59006,"Chilliwack--Hope/Chilliwack--Hope"," 15A","Chilliwack",2,13,0,54,1,66,25,1,162,517
59006,"Chilliwack--Hope/Chilliwack--Hope"," 15B","Chilliwack",3,14,0,40,0,64,43,0,164,471
59006,"Chilliwack--Hope/Chilliwack--Hope"," 16","Chilliwack",5,20,0,48,2,99,31,3,208,408
59006,"Chilliwack--Hope/Chilliwack--Hope"," 17","Chilliwack",11,35,0,71,0,90,43,3,253,511
59006,"Chilliwack--Hope/Chilliwack--Hope"," 18","Chilliwack",10,20,1,29,0,51,28,1,140,386
59006,"Chilliwack--Hope/Chilliwack--Hope"," 19","Chilliwack",7,21,0,50,1,93,41,1,214,552
59006,"Chilliwack--Hope/Chilliwack--Hope"," 20","Chilliwack",11,20,1,48,0,87,38,0,205,506
59006,"Chilliwack--Hope/Chilliwack--Hope"," 21","Chilliwack",6,12,2,44,1,53,43,1,162,458
59006,"Chilliwack--Hope/Chilliwack--Hope"," 22","Chilliwack",2,21,0,32,0,50,29,0,134,478
59006,"Chilliwack--Hope/Chilliwack--Hope"," 23","Chilliwack",10,20,0,50,0,99,44,2,225,604
59006,"Chilliwack--Hope/Chilliwack--Hope"," 24","Chilliwack",4,21,0,43,1,88,42,0,199,480
