Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Benoît,Marie-Claude Bibeau,Naomie Mathieu Chauvette,Jessy Mc Neil,Paul Reed,Jean Rousseau,Jonathan Therrien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24023,"Compton--Stanstead/Compton--Stanstead"," 1","Saint-Gérard",47,33,6,29,0,1,1,3,120,243
24023,"Compton--Stanstead/Compton--Stanstead"," 2","Saint-Gérard",46,28,5,23,1,3,1,3,110,217
24023,"Compton--Stanstead/Compton--Stanstead"," 3","Weedon",46,44,6,43,0,3,0,2,144,336
24023,"Compton--Stanstead/Compton--Stanstead"," 4","Weedon",58,21,3,36,0,2,2,2,124,326
24023,"Compton--Stanstead/Compton--Stanstead"," 5","Weedon",45,28,7,39,6,4,2,2,133,353
24023,"Compton--Stanstead/Compton--Stanstead"," 6","Weedon",59,50,6,25,4,3,2,4,153,349
24023,"Compton--Stanstead/Compton--Stanstead"," 7","Weedon",39,29,3,33,2,2,2,5,115,298
24023,"Compton--Stanstead/Compton--Stanstead"," 8","Lingwick",57,76,14,48,1,18,2,5,221,348
24023,"Compton--Stanstead/Compton--Stanstead"," 9","Dudswell",84,72,10,30,1,6,0,4,207,366
24023,"Compton--Stanstead/Compton--Stanstead"," 10","Dudswell",76,68,13,37,3,15,0,6,218,353
24023,"Compton--Stanstead/Compton--Stanstead"," 11","Hampden",72,38,7,29,2,6,1,2,157,293
24023,"Compton--Stanstead/Compton--Stanstead"," 12","Hampden",51,55,13,25,3,9,0,2,158,254
24023,"Compton--Stanstead/Compton--Stanstead"," 13","Dudswell",70,47,20,28,2,13,1,4,185,352
24023,"Compton--Stanstead/Compton--Stanstead"," 14","Dudswell",69,56,20,38,3,14,1,1,202,350
24023,"Compton--Stanstead/Compton--Stanstead"," 15","Bury",31,50,11,35,6,8,0,0,141,328
24023,"Compton--Stanstead/Compton--Stanstead"," 16","Bury",43,36,6,22,2,11,1,4,125,301
24023,"Compton--Stanstead/Compton--Stanstead"," 17","Bury",28,34,13,39,4,11,3,5,137,322
24023,"Compton--Stanstead/Compton--Stanstead"," 18","Stoke",79,37,13,21,0,17,1,4,172,341
24023,"Compton--Stanstead/Compton--Stanstead"," 19","Stoke",66,53,14,24,3,16,4,5,185,374
24023,"Compton--Stanstead/Compton--Stanstead"," 20","Stoke",63,69,20,39,2,9,2,9,213,374
24023,"Compton--Stanstead/Compton--Stanstead"," 21","Stoke",70,54,13,15,2,11,1,2,168,310
24023,"Compton--Stanstead/Compton--Stanstead"," 22","Stoke",53,35,23,23,2,12,1,1,150,304
24023,"Compton--Stanstead/Compton--Stanstead"," 23","Stoke",59,54,13,21,3,7,1,2,160,280
24023,"Compton--Stanstead/Compton--Stanstead"," 24","Stoke",65,61,11,14,2,7,2,1,163,323
24023,"Compton--Stanstead/Compton--Stanstead"," 25","Ditton",51,33,7,26,2,10,2,3,134,317
24023,"Compton--Stanstead/Compton--Stanstead"," 26","Ditton",62,52,9,23,2,8,1,3,160,342
24023,"Compton--Stanstead/Compton--Stanstead"," 27","East Angus",50,20,11,12,0,9,3,3,108,336
24023,"Compton--Stanstead/Compton--Stanstead"," 28","East Angus",48,18,10,26,1,8,1,0,112,412
