Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joel Altman,Joel E. Bernard,Paul Durst,Mona Fortier,Christian Legeais,Daniel James McHugh,Stéphanie Mercier,Derek Miller,Oriana Ngabirano,Michelle Paquette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35078,"Ottawa--Vanier/Ottawa--Vanier"," 107","Ottawa",0,18,0,76,0,0,52,0,22,1,1,170,395
35078,"Ottawa--Vanier/Ottawa--Vanier"," 108","Ottawa",0,21,1,73,0,1,46,0,14,0,6,162,491
35078,"Ottawa--Vanier/Ottawa--Vanier"," 109","Ottawa",0,33,2,82,0,0,51,2,6,0,2,178,447
35078,"Ottawa--Vanier/Ottawa--Vanier"," 110","Ottawa",0,32,4,95,0,0,65,0,13,0,2,211,547
35078,"Ottawa--Vanier/Ottawa--Vanier"," 111","Ottawa",1,32,4,119,0,0,33,1,5,0,2,197,420
35078,"Ottawa--Vanier/Ottawa--Vanier"," 112","Ottawa",1,18,1,62,0,0,23,0,2,0,1,108,230
35078,"Ottawa--Vanier/Ottawa--Vanier"," 113","Ottawa",0,41,1,122,0,0,47,0,24,0,8,243,494
35078,"Ottawa--Vanier/Ottawa--Vanier"," 114","Ottawa",1,37,3,110,0,0,39,0,11,0,1,202,418
35078,"Ottawa--Vanier/Ottawa--Vanier"," 115","Ottawa",1,25,6,66,0,0,69,2,22,1,0,192,505
35078,"Ottawa--Vanier/Ottawa--Vanier"," 116","Ottawa",0,36,3,80,0,0,47,0,12,0,4,182,431
35078,"Ottawa--Vanier/Ottawa--Vanier"," 117","Ottawa",4,35,10,75,0,1,67,1,19,0,0,212,463
35078,"Ottawa--Vanier/Ottawa--Vanier"," 118","Ottawa",0,27,3,73,0,0,43,1,12,0,1,160,405
35078,"Ottawa--Vanier/Ottawa--Vanier"," 119","Ottawa",0,32,3,67,0,0,47,1,13,0,2,165,360
35078,"Ottawa--Vanier/Ottawa--Vanier"," 120","Ottawa",0,29,1,109,0,0,78,0,25,0,5,247,500
35078,"Ottawa--Vanier/Ottawa--Vanier"," 121","Ottawa",1,20,2,79,0,0,33,0,16,0,1,152,315
35078,"Ottawa--Vanier/Ottawa--Vanier"," 122","Ottawa",1,18,10,107,0,0,54,1,21,0,1,213,499
35078,"Ottawa--Vanier/Ottawa--Vanier"," 123","Ottawa",0,26,2,135,0,0,67,0,22,0,0,252,539
35078,"Ottawa--Vanier/Ottawa--Vanier"," 124","Ottawa",1,19,2,118,0,0,35,0,29,1,7,212,447
35078,"Ottawa--Vanier/Ottawa--Vanier"," 125","Ottawa",0,20,11,121,0,1,80,0,30,2,3,268,615
35078,"Ottawa--Vanier/Ottawa--Vanier"," 126","Ottawa",0,17,1,89,0,0,31,0,11,0,1,150,363
35078,"Ottawa--Vanier/Ottawa--Vanier"," 127","Ottawa",0,45,6,98,0,0,62,1,9,1,5,227,448
35078,"Ottawa--Vanier/Ottawa--Vanier"," 128","Ottawa",1,56,5,124,0,0,38,0,8,0,5,237,422
35078,"Ottawa--Vanier/Ottawa--Vanier"," 129","Ottawa",0,40,7,99,0,0,51,1,10,1,4,213,396
35078,"Ottawa--Vanier/Ottawa--Vanier"," 130","Ottawa",0,53,1,133,0,3,37,0,12,0,2,241,482
35078,"Ottawa--Vanier/Ottawa--Vanier"," 131","Ottawa",1,58,2,96,0,1,41,1,7,0,1,208,392
35078,"Ottawa--Vanier/Ottawa--Vanier"," 132","Ottawa",1,47,3,93,1,0,60,2,15,0,1,223,437
35078,"Ottawa--Vanier/Ottawa--Vanier"," 133","Ottawa",0,16,5,78,0,0,28,0,7,0,5,139,314
35078,"Ottawa--Vanier/Ottawa--Vanier"," 134","Ottawa",1,25,1,113,0,0,77,3,27,0,0,247,635
35078,"Ottawa--Vanier/Ottawa--Vanier"," 135","Ottawa",0,18,5,94,0,0,54,1,9,0,1,182,395
35078,"Ottawa--Vanier/Ottawa--Vanier"," 136","Ottawa",0,39,10,156,0,0,69,2,26,1,4,307,647
35078,"Ottawa--Vanier/Ottawa--Vanier"," 137","Ottawa",1,15,3,86,0,0,69,1,15,0,1,191,469
35078,"Ottawa--Vanier/Ottawa--Vanier"," 138","Ottawa",1,21,3,105,0,0,74,3,32,0,3,242,502
35078,"Ottawa--Vanier/Ottawa--Vanier"," 139","Ottawa",1,20,5,90,0,2,58,0,12,1,2,191,458
35078,"Ottawa--Vanier/Ottawa--Vanier"," 140","Ottawa",0,16,2,86,0,0,72,3,15,0,7,201,438
35078,"Ottawa--Vanier/Ottawa--Vanier"," 141","Ottawa",0,22,4,105,0,0,87,1,15,0,1,235,475
35078,"Ottawa--Vanier/Ottawa--Vanier"," 142","Ottawa",0,17,0,110,0,2,59,1,16,0,2,207,465
35078,"Ottawa--Vanier/Ottawa--Vanier"," 143","Ottawa",1,18,2,103,1,0,73,1,32,0,1,232,449
35078,"Ottawa--Vanier/Ottawa--Vanier"," 144","Ottawa",1,28,6,102,0,0,74,4,21,1,3,240,472
35078,"Ottawa--Vanier/Ottawa--Vanier"," 145","Ottawa",0,26,6,111,0,0,106,0,22,1,3,275,494
35078,"Ottawa--Vanier/Ottawa--Vanier"," 146","Ottawa",0,27,2,104,0,1,38,0,13,0,3,188,418
35078,"Ottawa--Vanier/Ottawa--Vanier"," 147","Ottawa",0,25,2,101,0,1,24,0,2,0,1,156,441
35078,"Ottawa--Vanier/Ottawa--Vanier"," 148","Ottawa",1,32,6,118,1,0,35,1,2,0,6,202,490
35078,"Ottawa--Vanier/Ottawa--Vanier"," 149","Ottawa",1,21,2,140,0,0,35,1,7,0,3,210,462
