Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joel Altman,Joel E. Bernard,Paul Durst,Mona Fortier,Christian Legeais,Daniel James McHugh,Stéphanie Mercier,Derek Miller,Oriana Ngabirano,Michelle Paquette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35078,"Ottawa--Vanier/Ottawa--Vanier"," 421","Ottawa",0,19,0,38,0,0,15,0,5,0,1,78,133
35078,"Ottawa--Vanier/Ottawa--Vanier"," 422","Ottawa",1,30,1,74,0,0,18,0,12,0,0,136,199
35078,"Ottawa--Vanier/Ottawa--Vanier"," 423","Ottawa",2,28,2,76,0,1,18,1,7,0,3,138,195
35078,"Ottawa--Vanier/Ottawa--Vanier"," 424","Ottawa",1,28,1,142,1,0,31,1,23,0,1,229,299
35078,"Ottawa--Vanier/Ottawa--Vanier"," 425","Ottawa",0,26,5,86,0,0,34,0,23,0,2,176,243
35078,"Ottawa--Vanier/Ottawa--Vanier"," 426","Ottawa",0,44,6,140,0,0,44,0,19,0,4,257,370
35078,"Ottawa--Vanier/Ottawa--Vanier"," 427","Ottawa",2,80,3,249,0,3,78,0,18,2,8,443,675
35078,"Ottawa--Vanier/Ottawa--Vanier"," 428","Ottawa",0,20,1,37,0,0,21,0,0,0,6,85,171
35078,"Ottawa--Vanier/Ottawa--Vanier"," 429","Ottawa",2,32,2,84,2,2,12,1,4,0,11,152,239
35078,"Ottawa--Vanier/Ottawa--Vanier"," 430","Ottawa",0,9,1,83,1,1,19,0,7,1,6,128,269
35078,"Ottawa--Vanier/Ottawa--Vanier"," 431","Ottawa",1,23,2,110,0,0,21,0,20,0,0,177,252
35078,"Ottawa--Vanier/Ottawa--Vanier"," 432","Ottawa",1,30,5,90,0,0,44,0,6,0,0,176,287
35078,"Ottawa--Vanier/Ottawa--Vanier"," 433","Ottawa",2,23,0,62,0,0,33,0,12,0,1,133,203
35078,"Ottawa--Vanier/Ottawa--Vanier"," 434","Ottawa",1,24,3,63,0,0,19,2,7,0,0,119,177
35078,"Ottawa--Vanier/Ottawa--Vanier"," 435","Ottawa",0,20,0,62,0,0,24,2,4,0,0,112,185
35078,"Ottawa--Vanier/Ottawa--Vanier"," 436","Ottawa",0,15,0,54,0,0,17,0,6,0,0,92,134
35078,"Ottawa--Vanier/Ottawa--Vanier"," 437","Ottawa",5,66,1,155,0,1,37,2,20,0,5,292,396
35078,"Ottawa--Vanier/Ottawa--Vanier"," 438","Ottawa",0,14,2,80,0,0,44,0,6,0,0,146,253
35078,"Ottawa--Vanier/Ottawa--Vanier"," 439","Ottawa",0,23,1,75,0,0,29,0,4,0,1,133,235
35078,"Ottawa--Vanier/Ottawa--Vanier"," 500","Mobile poll/Bureau itinérant",0,42,1,83,1,2,4,2,1,0,7,143,217
35078,"Ottawa--Vanier/Ottawa--Vanier"," 501","Mobile poll/Bureau itinérant",0,13,0,53,1,0,11,1,4,0,3,86,215
35078,"Ottawa--Vanier/Ottawa--Vanier"," 502","Mobile poll/Bureau itinérant",1,13,2,138,0,0,8,0,3,0,6,171,255
35078,"Ottawa--Vanier/Ottawa--Vanier"," 503","Mobile poll/Bureau itinérant",1,6,1,96,0,0,2,0,2,1,5,114,234
35078,"Ottawa--Vanier/Ottawa--Vanier"," 504","Mobile poll/Bureau itinérant",0,7,0,69,0,0,6,0,0,0,1,83,206
35078,"Ottawa--Vanier/Ottawa--Vanier"," 505","Mobile poll/Bureau itinérant",3,10,2,81,1,0,14,0,4,0,1,116,161
35078,"Ottawa--Vanier/Ottawa--Vanier"," 506","Mobile poll/Bureau itinérant",1,18,3,42,0,0,1,0,2,0,2,69,117
35078,"Ottawa--Vanier/Ottawa--Vanier"," 507","Mobile poll/Bureau itinérant",2,33,2,74,1,0,18,0,19,1,3,153,213
35078,"Ottawa--Vanier/Ottawa--Vanier"," 508","Mobile poll/Bureau itinérant",1,40,0,87,0,0,13,0,6,0,7,154,303
35078,"Ottawa--Vanier/Ottawa--Vanier"," 509","Mobile poll/Bureau itinérant",0,20,4,74,0,1,13,0,2,2,5,121,190
35078,"Ottawa--Vanier/Ottawa--Vanier"," 510","Mobile poll/Bureau itinérant",0,10,0,93,0,0,0,0,2,0,3,108,195
35078,"Ottawa--Vanier/Ottawa--Vanier"," 600","Ottawa",1,305,23,595,0,1,178,3,70,2,7,1185,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 601","Ottawa",0,238,12,385,0,0,114,1,52,1,2,805,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 602","Ottawa",1,167,24,519,1,2,140,4,68,2,8,936,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 603","Ottawa",0,161,9,406,0,0,112,0,87,1,1,777,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 604","Ottawa",3,112,8,377,0,1,204,2,64,3,2,776,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 605","Ottawa",2,61,6,245,0,1,109,4,29,4,5,466,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 606","Ottawa",2,159,14,521,0,0,175,5,110,0,7,993,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 607","Ottawa",2,101,18,528,1,0,212,5,99,3,7,976,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 608","Ottawa",0,51,4,177,0,0,121,1,28,0,1,383,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 609","Ottawa",0,76,12,430,2,0,166,5,96,3,4,794,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 610","Ottawa",0,68,7,291,0,0,150,3,64,0,4,587,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 611","Ottawa",0,80,10,366,4,1,176,2,70,1,7,717,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 612","Ottawa",7,128,8,367,0,2,138,2,90,0,5,747,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 613","Ottawa",1,98,18,307,0,0,116,1,45,0,7,593,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 614","Ottawa",3,138,25,341,1,2,111,3,45,2,3,674,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 615","Ottawa",4,168,18,411,1,2,161,2,36,1,6,810,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 616","Ottawa",2,132,11,421,1,0,80,1,50,0,3,701,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 617","Ottawa",1,255,13,467,0,3,172,3,53,0,8,975,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 618","Ottawa",5,212,12,477,0,3,112,3,47,3,8,882,
35078,"Ottawa--Vanier/Ottawa--Vanier"," 619","Ottawa",0,185,6,419,0,2,135,2,30,0,6,785,
35078,"Ottawa--Vanier/Ottawa--Vanier",,Group 1/Groupe 1, 2,101,14,534,0,0,124,2,119,7,32,935,1010
35078,"Ottawa--Vanier/Ottawa--Vanier",,Group 2/Groupe 2, 3,279,28,1264,0,2,524,8,294,6,63,2471,
