Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tracy Calogheros,Todd Doherty,Mackenzie Kerr,Michael Orr,Heather Sapergia,Jing Lan Yang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 1","Dog Creek",14,166,8,0,5,3,1,197,352
59004,"Cariboo--Prince George/Cariboo--Prince George"," 2","Dog Creek",27,154,17,1,11,6,0,216,441
59004,"Cariboo--Prince George/Cariboo--Prince George"," 3","Vanderhoof",22,183,22,1,27,8,0,263,455
59004,"Cariboo--Prince George/Cariboo--Prince George"," 4","Vanderhoof",18,107,7,1,12,3,1,149,342
59004,"Cariboo--Prince George/Cariboo--Prince George"," 5","Vanderhoof",31,73,10,0,17,6,0,137,291
59004,"Cariboo--Prince George/Cariboo--Prince George"," 6","Chilco",21,131,7,6,12,4,4,185,392
59004,"Cariboo--Prince George/Cariboo--Prince George"," 7","Vanderhoof",39,155,18,2,31,7,1,253,494
59004,"Cariboo--Prince George/Cariboo--Prince George"," 8","Weneez",23,207,9,0,13,9,2,263,467
59004,"Cariboo--Prince George/Cariboo--Prince George"," 9","Stony Creek 1--Laketown 3",25,18,14,2,49,2,2,112,248
59004,"Cariboo--Prince George/Cariboo--Prince George"," 10","Vanderhoof",9,103,9,0,7,4,0,132,274
59004,"Cariboo--Prince George/Cariboo--Prince George"," 11","Vanderhoof",31,124,16,2,20,3,2,198,418
59004,"Cariboo--Prince George/Cariboo--Prince George"," 12","Nulki",30,147,13,1,18,7,0,216,459
59004,"Cariboo--Prince George/Cariboo--Prince George"," 13","Vanderhoof",22,114,10,1,17,4,1,169,377
59004,"Cariboo--Prince George/Cariboo--Prince George"," 14","Nulki",18,99,13,1,13,3,0,147,314
59004,"Cariboo--Prince George/Cariboo--Prince George"," 15","Finmoore",48,159,18,2,19,3,1,250,465
59004,"Cariboo--Prince George/Cariboo--Prince George"," 16","Mapes",8,118,10,0,4,4,0,144,253
59004,"Cariboo--Prince George/Cariboo--Prince George"," 17","Miworth",34,68,21,1,14,4,0,142,238
59004,"Cariboo--Prince George/Cariboo--Prince George"," 18","Miworth",49,76,15,0,16,3,1,160,291
59004,"Cariboo--Prince George/Cariboo--Prince George"," 19","Prince George",57,131,12,0,31,8,2,241,449
59004,"Cariboo--Prince George/Cariboo--Prince George"," 20","Prince George",52,91,24,0,54,2,0,223,459
59004,"Cariboo--Prince George/Cariboo--Prince George"," 21","Prince George",68,101,22,0,47,4,4,246,425
59004,"Cariboo--Prince George/Cariboo--Prince George"," 22","Prince George",65,82,13,0,49,4,1,214,371
59004,"Cariboo--Prince George/Cariboo--Prince George"," 23","Prince George",53,76,27,0,55,10,1,222,424
59004,"Cariboo--Prince George/Cariboo--Prince George"," 24","Prince George",57,113,38,0,41,3,3,255,440
59004,"Cariboo--Prince George/Cariboo--Prince George"," 25","Prince George",75,94,19,1,54,8,1,252,459
59004,"Cariboo--Prince George/Cariboo--Prince George"," 26","Prince George",48,78,19,1,45,5,1,197,389
59004,"Cariboo--Prince George/Cariboo--Prince George"," 27","Prince George",46,101,20,1,27,1,0,196,433
59004,"Cariboo--Prince George/Cariboo--Prince George"," 28","Prince George",46,92,22,1,35,2,1,199,346
59004,"Cariboo--Prince George/Cariboo--Prince George"," 29","Prince George",54,103,40,2,55,11,0,265,501
59004,"Cariboo--Prince George/Cariboo--Prince George"," 30","Prince George",51,61,30,1,39,4,0,186,417
59004,"Cariboo--Prince George/Cariboo--Prince George"," 31","Prince George",38,80,34,3,67,8,6,236,584
59004,"Cariboo--Prince George/Cariboo--Prince George"," 32","Prince George",53,108,21,1,59,8,1,251,529
59004,"Cariboo--Prince George/Cariboo--Prince George"," 33","Prince George",33,74,19,1,45,8,0,180,523
59004,"Cariboo--Prince George/Cariboo--Prince George"," 34","Prince George",50,70,28,3,79,6,1,237,537
59004,"Cariboo--Prince George/Cariboo--Prince George"," 35","Prince George",70,116,20,0,48,2,1,257,463
59004,"Cariboo--Prince George/Cariboo--Prince George"," 36","Prince George",49,74,18,0,42,4,3,190,401
59004,"Cariboo--Prince George/Cariboo--Prince George"," 37","Prince George",67,94,21,6,52,10,0,250,451
59004,"Cariboo--Prince George/Cariboo--Prince George"," 38","Prince George",50,90,20,0,50,5,1,216,444
59004,"Cariboo--Prince George/Cariboo--Prince George"," 39","Prince George",54,102,9,3,43,7,0,218,447
59004,"Cariboo--Prince George/Cariboo--Prince George"," 40","Prince George",44,76,13,2,54,3,1,193,400
59004,"Cariboo--Prince George/Cariboo--Prince George"," 41","Prince George",56,77,23,1,58,9,0,224,504
59004,"Cariboo--Prince George/Cariboo--Prince George"," 42","Prince George",30,57,27,2,35,5,2,158,429
59004,"Cariboo--Prince George/Cariboo--Prince George"," 43","Prince George",37,95,27,0,39,1,0,199,392
59004,"Cariboo--Prince George/Cariboo--Prince George"," 44","Prince George",21,54,13,2,40,9,1,140,342
59004,"Cariboo--Prince George/Cariboo--Prince George"," 45","Prince George",31,56,21,0,59,8,4,179,431
59004,"Cariboo--Prince George/Cariboo--Prince George"," 46","Prince George",34,51,22,1,35,3,1,147,362
59004,"Cariboo--Prince George/Cariboo--Prince George"," 47","Prince George",54,101,21,2,40,3,0,221,444
59004,"Cariboo--Prince George/Cariboo--Prince George"," 48","Prince George",65,106,22,3,41,0,1,238,449
59004,"Cariboo--Prince George/Cariboo--Prince George"," 49","Prince George",84,118,22,1,59,0,3,287,537
59004,"Cariboo--Prince George/Cariboo--Prince George"," 50","Prince George",67,136,30,0,62,6,1,302,593
59004,"Cariboo--Prince George/Cariboo--Prince George"," 51","Prince George",50,103,23,4,53,6,0,239,472
59004,"Cariboo--Prince George/Cariboo--Prince George"," 52","Prince George",50,86,23,0,50,7,2,218,461
59004,"Cariboo--Prince George/Cariboo--Prince George"," 53","Prince George",23,57,20,2,29,3,0,134,429
59004,"Cariboo--Prince George/Cariboo--Prince George"," 54","Prince George",44,44,30,2,50,3,2,175,511
59004,"Cariboo--Prince George/Cariboo--Prince George"," 55","Prince George",18,32,16,0,50,6,0,122,498
