Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Amos,Mario Belec,Claude Bertrand,Dave Blackburn,Jonathan Carreiro-Benoit,Denise Giroux,Louis Lang,Shawn Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac/Pontiac"," 51","Kazabazua",56,0,3,26,17,12,0,0,0,114,366
24057,"Pontiac/Pontiac"," 52","Kazabazua",48,1,15,59,9,14,1,0,1,148,394
24057,"Pontiac/Pontiac"," 53","Otter Lake",81,9,6,65,13,21,0,2,5,202,406
24057,"Pontiac/Pontiac"," 54","Otter Lake",88,3,4,61,5,15,1,0,0,177,358
24057,"Pontiac/Pontiac"," 55","Sheen-Esher-Aberdeen-et-Malakoff",97,3,8,42,1,20,0,1,0,172,339
24057,"Pontiac/Pontiac"," 56","L'Isle-aux-Allumettes",62,0,3,56,1,11,1,0,0,134,299
24057,"Pontiac/Pontiac"," 57","L'Isle-aux-Allumettes",92,1,12,69,6,9,0,0,4,193,357
24057,"Pontiac/Pontiac"," 58","L'Isle-aux-Allumettes",53,3,7,79,1,16,0,0,1,160,334
24057,"Pontiac/Pontiac"," 59","Mansfield-et-Pontefract",45,0,5,56,14,6,0,0,1,127,347
24057,"Pontiac/Pontiac"," 60","Mansfield-et-Pontefract",55,3,5,49,10,8,0,1,0,131,362
24057,"Pontiac/Pontiac"," 61","Mansfield-et-Pontefract",Merged with No./Fusionné avec le n°62,,,,,,,,,,232
24057,"Pontiac/Pontiac"," 62","Mansfield-et-Pontefract",84,5,3,56,12,8,0,4,1,173,244
24057,"Pontiac/Pontiac"," 63","Mansfield-et-Pontefract",53,3,4,39,8,8,0,9,1,125,338
24057,"Pontiac/Pontiac"," 64","Mansfield-et-Pontefract",37,4,4,31,4,3,0,3,3,89,319
24057,"Pontiac/Pontiac"," 65","Alleyn-et-Cawood",30,1,6,44,8,4,0,0,0,93,162
