Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Amos,Mario Belec,Claude Bertrand,Dave Blackburn,Jonathan Carreiro-Benoit,Denise Giroux,Louis Lang,Shawn Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac/Pontiac"," 249","Gatineau",142,4,17,44,31,40,1,0,2,281,381
24057,"Pontiac/Pontiac"," 250","Gatineau",213,2,15,35,27,45,0,1,3,341,478
24057,"Pontiac/Pontiac"," 251","Gatineau",244,2,22,40,22,40,1,0,4,375,671
24057,"Pontiac/Pontiac"," 252","Gatineau",138,6,15,43,27,32,0,0,3,264,441
24057,"Pontiac/Pontiac"," 500","Mobile poll/Bureau itinérant",12,1,0,1,4,0,0,0,1,19,67
24057,"Pontiac/Pontiac"," 501","Mobile poll/Bureau itinérant",23,2,0,15,0,0,2,0,3,45,50
24057,"Pontiac/Pontiac"," 502A","Mobile poll/Bureau itinérant",0,0,0,0,0,0,0,0,0,0,16
24057,"Pontiac/Pontiac"," 502B","Wakefield",Merged with No./Fusionné avec le n°93,,,,,,,,,,6
24057,"Pontiac/Pontiac"," 503A","Clarendon",Merged with No./Fusionné avec le n°202,,,,,,,,,,7
24057,"Pontiac/Pontiac"," 503B","Mobile poll/Bureau itinérant",5,0,2,7,1,0,0,0,2,17,30
24057,"Pontiac/Pontiac"," 600","Montcerf",115,1,11,68,94,14,0,1,7,311,
24057,"Pontiac/Pontiac"," 601","Rapides-des-Joachims",5,4,4,9,3,4,0,0,1,30,
24057,"Pontiac/Pontiac"," 602","Gracefield",186,2,25,103,104,15,0,3,3,441,
24057,"Pontiac/Pontiac"," 603","Maniwaki",221,0,7,74,163,33,0,0,10,508,
24057,"Pontiac/Pontiac"," 604","Maniwaki",222,6,15,97,171,30,0,0,11,552,
24057,"Pontiac/Pontiac"," 605","Messines",151,7,14,76,144,14,3,0,1,410,
24057,"Pontiac/Pontiac"," 606","Waltham",100,7,15,58,4,22,0,0,4,210,
24057,"Pontiac/Pontiac"," 607","Waltham",312,13,19,147,61,28,1,11,12,604,
24057,"Pontiac/Pontiac"," 608","Mansfield-et-Pontefract",165,12,10,133,17,23,0,7,0,367,
24057,"Pontiac/Pontiac"," 609","Kazabazua",154,6,24,114,31,26,0,0,4,359,
24057,"Pontiac/Pontiac"," 610","Val-des-Monts",275,12,36,89,126,52,1,3,4,598,
24057,"Pontiac/Pontiac"," 611","Wakefield",395,5,84,103,47,115,1,0,2,752,
24057,"Pontiac/Pontiac"," 612","Masham",260,10,32,80,126,45,1,1,12,567,
24057,"Pontiac/Pontiac"," 613","Shawville",192,4,23,313,4,42,0,3,8,589,
24057,"Pontiac/Pontiac"," 614","Quyon",128,18,20,158,19,22,0,3,5,373,
24057,"Pontiac/Pontiac"," 615","Pontiac",268,8,50,157,59,63,1,1,7,614,
24057,"Pontiac/Pontiac"," 616","Chelsea",466,6,117,95,37,106,0,2,2,831,
24057,"Pontiac/Pontiac"," 617","Cantley",426,12,50,107,190,79,0,1,6,871,
24057,"Pontiac/Pontiac"," 618","Cantley",299,9,23,47,155,55,2,0,3,593,
24057,"Pontiac/Pontiac"," 619","Val-des-Monts",238,5,43,75,149,29,0,3,5,547,
24057,"Pontiac/Pontiac"," 620","Cantley",367,8,53,81,166,70,0,0,7,752,
24057,"Pontiac/Pontiac"," 621","Gatineau",679,5,48,112,321,100,1,1,5,1272,
24057,"Pontiac/Pontiac"," 622","Gatineau",436,13,54,55,220,81,1,1,0,861,
24057,"Pontiac/Pontiac"," 623","Chelsea",343,6,65,72,65,44,0,1,1,597,
24057,"Pontiac/Pontiac"," 624","Gatineau",485,7,52,73,103,81,1,0,3,805,
24057,"Pontiac/Pontiac"," 625","Gatineau",482,12,36,63,97,80,3,1,6,780,
24057,"Pontiac/Pontiac"," 626","Gatineau",376,10,31,63,69,79,0,0,2,630,
24057,"Pontiac/Pontiac"," 627","Gatineau",305,1,29,70,58,78,0,0,4,545,
24057,"Pontiac/Pontiac",,Group 1/Groupe 1, 145,5,36,91,6,38,0,4,10,335,226
24057,"Pontiac/Pontiac",,Group 2/Groupe 2, 1084,15,156,275,216,200,0,3,53,2002,
