Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kathy Doyle,Jordyn Ham,Henry Hizon,Kevin Lamoureux,Kyle Mason,Victor Ong,Sai Shanthanand Rajagopal,Andrew Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46012,"Winnipeg North/Winnipeg-Nord"," 105","Winnipeg",0,53,1,77,53,2,10,2,1,199,380
46012,"Winnipeg North/Winnipeg-Nord"," 106","Winnipeg",0,27,2,73,34,2,5,3,3,149,441
46012,"Winnipeg North/Winnipeg-Nord"," 107","Winnipeg",0,27,0,61,48,2,11,0,3,152,339
46012,"Winnipeg North/Winnipeg-Nord"," 108","Winnipeg",2,23,1,44,25,2,6,0,1,104,355
46012,"Winnipeg North/Winnipeg-Nord"," 109","Winnipeg",2,39,2,54,69,2,12,2,0,182,460
46012,"Winnipeg North/Winnipeg-Nord"," 110","Winnipeg",2,37,2,46,84,0,7,1,2,181,470
46012,"Winnipeg North/Winnipeg-Nord"," 111","Winnipeg",2,31,1,49,89,10,5,2,2,191,505
46012,"Winnipeg North/Winnipeg-Nord"," 112","Winnipeg",1,29,2,66,54,6,9,0,0,167,452
46012,"Winnipeg North/Winnipeg-Nord"," 113","Winnipeg",0,27,0,55,58,3,2,1,2,148,471
46012,"Winnipeg North/Winnipeg-Nord"," 114","Winnipeg",2,45,6,72,96,5,7,3,1,237,470
46012,"Winnipeg North/Winnipeg-Nord"," 115","Winnipeg",4,51,0,61,81,1,10,1,1,210,439
46012,"Winnipeg North/Winnipeg-Nord"," 116","Winnipeg",3,59,6,62,94,1,14,0,0,239,454
46012,"Winnipeg North/Winnipeg-Nord"," 117","Winnipeg",0,35,1,49,70,1,11,2,2,171,397
46012,"Winnipeg North/Winnipeg-Nord"," 118","Winnipeg",4,60,0,58,69,1,11,3,0,206,343
46012,"Winnipeg North/Winnipeg-Nord"," 119","Winnipeg",3,33,1,61,48,4,9,0,2,161,391
46012,"Winnipeg North/Winnipeg-Nord"," 120","Winnipeg",2,29,0,53,38,2,6,0,0,130,383
46012,"Winnipeg North/Winnipeg-Nord"," 121","Winnipeg",1,32,2,70,57,1,5,0,1,169,464
46012,"Winnipeg North/Winnipeg-Nord"," 122","Winnipeg",2,40,1,61,38,4,3,2,0,151,422
46012,"Winnipeg North/Winnipeg-Nord"," 123","Winnipeg",1,24,1,50,53,1,4,2,2,138,482
46012,"Winnipeg North/Winnipeg-Nord"," 124","Winnipeg",1,29,0,23,29,2,3,1,0,88,428
46012,"Winnipeg North/Winnipeg-Nord"," 125","Winnipeg",1,23,1,76,43,0,3,2,1,150,476
46012,"Winnipeg North/Winnipeg-Nord"," 126","Winnipeg",0,15,1,65,44,1,8,0,1,135,421
46012,"Winnipeg North/Winnipeg-Nord"," 127","Winnipeg",0,17,1,34,43,1,6,1,0,103,385
46012,"Winnipeg North/Winnipeg-Nord"," 128","Winnipeg",3,40,1,39,71,8,11,1,0,174,391
46012,"Winnipeg North/Winnipeg-Nord"," 129","Winnipeg",2,35,0,56,68,2,6,0,1,170,412
46012,"Winnipeg North/Winnipeg-Nord"," 130","Winnipeg",2,24,0,36,38,1,8,1,0,110,362
46012,"Winnipeg North/Winnipeg-Nord"," 131","Winnipeg",1,20,1,16,38,2,4,0,3,85,402
46012,"Winnipeg North/Winnipeg-Nord"," 132","Winnipeg",3,18,2,37,41,2,5,0,0,108,399
46012,"Winnipeg North/Winnipeg-Nord"," 133","Winnipeg",2,25,0,34,29,2,6,0,1,99,372
46012,"Winnipeg North/Winnipeg-Nord"," 134","Winnipeg",3,17,1,27,21,2,3,0,0,74,394
46012,"Winnipeg North/Winnipeg-Nord"," 135","Winnipeg",1,27,0,26,35,1,5,0,1,96,421
46012,"Winnipeg North/Winnipeg-Nord"," 136","Winnipeg",1,14,3,41,57,1,4,2,0,123,428
46012,"Winnipeg North/Winnipeg-Nord"," 137","Winnipeg",0,17,0,34,38,3,2,1,1,96,417
46012,"Winnipeg North/Winnipeg-Nord"," 138","Winnipeg",3,35,2,69,38,1,6,1,0,155,514
46012,"Winnipeg North/Winnipeg-Nord"," 139","Winnipeg",1,16,2,19,27,0,3,1,1,70,386
46012,"Winnipeg North/Winnipeg-Nord"," 140","Winnipeg",1,21,0,28,48,3,7,1,0,109,444
46012,"Winnipeg North/Winnipeg-Nord"," 141","Winnipeg",0,11,1,18,40,4,3,0,1,78,411
46012,"Winnipeg North/Winnipeg-Nord"," 142","Winnipeg",0,13,0,23,29,0,5,0,5,75,398
46012,"Winnipeg North/Winnipeg-Nord"," 143","Winnipeg",0,12,0,30,55,1,2,0,0,100,375
46012,"Winnipeg North/Winnipeg-Nord"," 144","Winnipeg",1,9,0,28,41,0,5,2,1,87,371
46012,"Winnipeg North/Winnipeg-Nord"," 145","Winnipeg",1,12,2,23,60,1,9,1,0,109,365
46012,"Winnipeg North/Winnipeg-Nord"," 146","Winnipeg",2,22,0,33,53,2,12,1,0,125,330
46012,"Winnipeg North/Winnipeg-Nord"," 147","Winnipeg",0,24,0,36,61,4,19,1,2,147,387
46012,"Winnipeg North/Winnipeg-Nord"," 400","Winnipeg",0,17,1,25,5,2,0,1,0,51,187
