Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Clément Badra,Eric-Abel Baland,Anthony Housefather,Diane Johnston,Xavier Levesque,Zachary Lozoff,David Tordjman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24052,"Mount Royal/Mont-Royal"," 1","Mont-Royal",6,10,72,0,17,1,23,1,130,333
24052,"Mount Royal/Mont-Royal"," 2","Mont-Royal",9,9,89,0,4,3,46,1,161,409
24052,"Mount Royal/Mont-Royal"," 3","Mont-Royal",19,16,109,0,16,0,40,0,200,421
24052,"Mount Royal/Mont-Royal"," 4","Mont-Royal",17,16,80,1,34,1,11,2,162,356
24052,"Mount Royal/Mont-Royal"," 5","Mont-Royal",12,20,118,0,13,2,34,1,200,404
24052,"Mount Royal/Mont-Royal"," 6","Mont-Royal",14,15,66,1,16,0,31,2,145,361
24052,"Mount Royal/Mont-Royal"," 7","Mont-Royal",16,16,86,0,23,2,44,4,191,422
24052,"Mount Royal/Mont-Royal"," 8","Mont-Royal",21,16,82,1,5,0,25,2,152,385
24052,"Mount Royal/Mont-Royal"," 9","Mont-Royal",3,11,88,0,2,1,14,0,119,400
24052,"Mount Royal/Mont-Royal"," 10","Mont-Royal",17,12,74,0,8,4,25,3,143,371
24052,"Mount Royal/Mont-Royal"," 11","Mont-Royal",20,14,72,0,14,2,36,0,158,318
24052,"Mount Royal/Mont-Royal"," 12","Mont-Royal",13,16,78,2,28,1,23,1,162,381
24052,"Mount Royal/Mont-Royal"," 13","Mont-Royal",16,17,92,0,13,0,30,3,171,391
24052,"Mount Royal/Mont-Royal"," 14","Mont-Royal",24,14,90,0,45,1,23,1,198,381
24052,"Mount Royal/Mont-Royal"," 15","Mont-Royal",36,21,142,1,24,0,34,2,260,676
24052,"Mount Royal/Mont-Royal"," 16","Mont-Royal",23,11,91,0,20,3,19,4,171,340
24052,"Mount Royal/Mont-Royal"," 17","Mont-Royal",13,17,85,0,22,1,18,1,157,362
