Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sean Carson,Brian Chang,Bronwyn Cragg,Philip Fernandez,Ryan Lester,Rob Lewin,Bill Morneau,Annamie Paul,Jason Tavares,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35108,"Toronto Centre/Toronto-Centre"," 1A","Toronto",0,49,0,0,19,1,79,10,0,3,161,318
35108,"Toronto Centre/Toronto-Centre"," 1B","Toronto",1,33,1,0,10,0,73,15,1,2,136,306
35108,"Toronto Centre/Toronto-Centre"," 2","Toronto",0,56,0,0,32,1,93,20,1,0,203,323
35108,"Toronto Centre/Toronto-Centre"," 3","Toronto",0,79,0,0,25,2,74,19,1,1,201,337
35108,"Toronto Centre/Toronto-Centre"," 4","Toronto",0,61,0,0,18,1,88,14,0,2,184,411
35108,"Toronto Centre/Toronto-Centre"," 5","Toronto",2,39,0,0,14,1,122,14,1,1,194,513
35108,"Toronto Centre/Toronto-Centre"," 6","Toronto",0,75,0,0,19,0,89,11,1,0,195,534
35108,"Toronto Centre/Toronto-Centre"," 7","Toronto",0,40,0,0,32,3,137,34,0,0,246,477
35108,"Toronto Centre/Toronto-Centre"," 8","Toronto",0,39,0,0,28,0,116,33,0,1,217,440
35108,"Toronto Centre/Toronto-Centre"," 9","Toronto",0,41,0,0,20,0,120,25,1,1,208,390
35108,"Toronto Centre/Toronto-Centre"," 10","Toronto",1,23,1,0,23,1,94,23,2,1,169,387
35108,"Toronto Centre/Toronto-Centre"," 11","Toronto",1,36,0,0,20,0,91,38,1,0,187,375
35108,"Toronto Centre/Toronto-Centre"," 12","Toronto",0,43,2,0,15,0,72,33,0,0,165,371
35108,"Toronto Centre/Toronto-Centre"," 13","Toronto",3,71,0,0,27,1,147,52,0,2,303,553
35108,"Toronto Centre/Toronto-Centre"," 14","Toronto",1,49,0,0,8,0,94,24,1,1,178,437
35108,"Toronto Centre/Toronto-Centre"," 15","Toronto",0,51,0,1,22,0,83,17,0,0,174,338
35108,"Toronto Centre/Toronto-Centre"," 16","Toronto",Merged with No./Fusionné avec le n°18,,,,,,,,,,,145
35108,"Toronto Centre/Toronto-Centre"," 17","Toronto",0,52,0,0,24,0,99,10,0,0,185,415
35108,"Toronto Centre/Toronto-Centre"," 18","Toronto",1,53,1,1,13,0,95,11,1,3,179,303
35108,"Toronto Centre/Toronto-Centre"," 19","Toronto",0,47,0,0,11,5,58,3,0,1,125,381
35108,"Toronto Centre/Toronto-Centre"," 20","Toronto",1,48,0,0,11,0,45,11,1,9,126,356
35108,"Toronto Centre/Toronto-Centre"," 21","Toronto",Merged with No./Fusionné avec le n°25,,,,,,,,,,,71
35108,"Toronto Centre/Toronto-Centre"," 22A","Toronto",0,40,1,0,9,0,53,7,0,0,110,264
35108,"Toronto Centre/Toronto-Centre"," 22B","Toronto",0,45,0,0,10,0,56,8,0,0,119,297
35108,"Toronto Centre/Toronto-Centre"," 23","Toronto",0,69,0,0,11,1,67,12,2,1,163,353
35108,"Toronto Centre/Toronto-Centre"," 24","Toronto",1,87,0,0,16,0,140,13,0,1,258,551
35108,"Toronto Centre/Toronto-Centre"," 25","Toronto",0,54,0,0,17,0,85,6,1,1,164,319
35108,"Toronto Centre/Toronto-Centre"," 26A","Toronto",0,34,0,0,17,0,53,6,0,1,111,229
35108,"Toronto Centre/Toronto-Centre"," 26B","Toronto",0,28,0,0,14,0,67,8,0,1,118,273
35108,"Toronto Centre/Toronto-Centre"," 27","Toronto",0,62,1,0,7,1,80,9,0,0,160,300
35108,"Toronto Centre/Toronto-Centre"," 28","Toronto",0,40,2,0,12,0,119,20,0,1,194,405
35108,"Toronto Centre/Toronto-Centre"," 29","Toronto",0,86,1,0,12,1,129,18,3,0,250,527
35108,"Toronto Centre/Toronto-Centre"," 30","Toronto",0,43,1,0,22,0,98,30,0,0,194,393
35108,"Toronto Centre/Toronto-Centre"," 31","Toronto",3,23,1,1,19,1,71,6,2,0,127,329
35108,"Toronto Centre/Toronto-Centre"," 32","Toronto",1,40,0,0,20,0,79,16,0,0,156,329
35108,"Toronto Centre/Toronto-Centre"," 33","Toronto",1,52,0,1,22,1,87,15,0,3,182,369
35108,"Toronto Centre/Toronto-Centre"," 34","Toronto",0,5,1,0,2,1,116,1,0,1,127,297
35108,"Toronto Centre/Toronto-Centre"," 35","Toronto",0,12,0,0,3,3,113,1,0,1,133,350
35108,"Toronto Centre/Toronto-Centre"," 36A","Toronto",1,48,0,0,11,0,69,12,0,1,142,271
35108,"Toronto Centre/Toronto-Centre"," 36B","Toronto",0,36,2,0,11,0,54,6,0,0,109,240
35108,"Toronto Centre/Toronto-Centre"," 37","Toronto",0,68,0,0,15,0,112,15,1,1,212,495
35108,"Toronto Centre/Toronto-Centre"," 38","Toronto",0,65,0,0,18,0,114,12,1,0,210,155
35108,"Toronto Centre/Toronto-Centre"," 39","Toronto",0,28,0,0,8,0,91,12,0,0,139,247
35108,"Toronto Centre/Toronto-Centre"," 40","Toronto",0,34,0,0,23,1,93,6,0,0,157,410
35108,"Toronto Centre/Toronto-Centre"," 41","Toronto",1,36,3,0,25,0,81,12,0,0,158,373
35108,"Toronto Centre/Toronto-Centre"," 42","Toronto",0,34,0,0,29,0,83,7,1,0,154,152
35108,"Toronto Centre/Toronto-Centre"," 43A","Toronto",0,29,0,0,19,0,74,3,2,0,127,254
35108,"Toronto Centre/Toronto-Centre"," 43B","Toronto",0,27,1,0,24,0,76,5,0,0,133,277
35108,"Toronto Centre/Toronto-Centre"," 44","Toronto",0,37,1,0,4,0,56,13,1,0,112,272
35108,"Toronto Centre/Toronto-Centre"," 45A","Toronto",0,26,0,0,13,0,51,14,0,0,104,265
35108,"Toronto Centre/Toronto-Centre"," 45B","Toronto",0,29,0,0,14,1,62,5,0,0,111,278
35108,"Toronto Centre/Toronto-Centre"," 46A","Toronto",0,43,0,0,11,0,78,7,0,1,140,283
35108,"Toronto Centre/Toronto-Centre"," 46B","Toronto",0,34,1,1,12,0,66,3,0,0,117,311
35108,"Toronto Centre/Toronto-Centre"," 47","Toronto",0,55,1,0,25,0,73,6,0,2,162,347
35108,"Toronto Centre/Toronto-Centre"," 48A","Toronto",1,31,0,0,13,0,69,9,0,2,125,286
35108,"Toronto Centre/Toronto-Centre"," 48B","Toronto",0,31,0,0,15,0,64,10,0,0,120,241
35108,"Toronto Centre/Toronto-Centre"," 49","Toronto",0,49,0,1,13,0,48,12,0,2,125,313
35108,"Toronto Centre/Toronto-Centre"," 50","Toronto",1,15,1,1,7,1,74,1,0,0,101,178
35108,"Toronto Centre/Toronto-Centre"," 51","Toronto",Merged with No./Fusionné avec le n°50,,,,,,,,,,,159
35108,"Toronto Centre/Toronto-Centre"," 52A","Toronto",0,31,1,0,8,1,64,11,0,0,116,286
35108,"Toronto Centre/Toronto-Centre"," 52B","Toronto",0,38,2,0,5,1,74,5,1,0,126,320
35108,"Toronto Centre/Toronto-Centre"," 53","Toronto",2,26,0,0,7,2,117,2,0,3,159,397
35108,"Toronto Centre/Toronto-Centre"," 54","Toronto",1,43,1,0,21,1,80,12,0,0,159,367
35108,"Toronto Centre/Toronto-Centre"," 55","Toronto",3,53,2,0,20,0,84,11,0,0,173,397
35108,"Toronto Centre/Toronto-Centre"," 56A","Toronto",0,31,0,0,17,0,43,10,0,1,102,259
35108,"Toronto Centre/Toronto-Centre"," 56B","Toronto",1,33,0,0,11,0,63,6,2,1,117,293
35108,"Toronto Centre/Toronto-Centre"," 57","Toronto",3,61,1,0,27,0,151,23,1,0,267,600
35108,"Toronto Centre/Toronto-Centre"," 58A","Toronto",1,41,1,0,11,0,185,11,0,3,253,500
35108,"Toronto Centre/Toronto-Centre"," 58B","Toronto",0,31,0,0,21,0,135,4,0,0,191,454
35108,"Toronto Centre/Toronto-Centre"," 59","Toronto",0,51,0,0,28,0,230,9,0,4,322,701
35108,"Toronto Centre/Toronto-Centre"," 60","Toronto",0,45,1,0,29,0,104,18,0,0,197,476
35108,"Toronto Centre/Toronto-Centre"," 61","Toronto",0,61,1,0,11,1,144,7,0,0,225,667
35108,"Toronto Centre/Toronto-Centre"," 62A","Toronto",1,21,0,0,34,0,96,12,0,0,164,285
35108,"Toronto Centre/Toronto-Centre"," 62B","Toronto",1,26,1,0,30,1,96,4,3,1,163,263
35108,"Toronto Centre/Toronto-Centre"," 63","Toronto",1,38,0,0,30,0,113,9,0,0,191,321
35108,"Toronto Centre/Toronto-Centre"," 64","Toronto",1,37,0,0,16,0,87,19,0,0,160,395
35108,"Toronto Centre/Toronto-Centre"," 65","Toronto",1,21,0,2,15,2,103,10,0,4,158,491
35108,"Toronto Centre/Toronto-Centre"," 66","Toronto",0,52,0,0,16,3,89,12,1,3,176,524
35108,"Toronto Centre/Toronto-Centre"," 67A","Toronto",0,23,1,0,9,1,43,7,0,0,84,320
35108,"Toronto Centre/Toronto-Centre"," 67B","Toronto",1,35,0,1,17,2,51,9,1,1,118,334
35108,"Toronto Centre/Toronto-Centre"," 68","Toronto",0,42,2,0,18,0,60,20,1,0,143,360
35108,"Toronto Centre/Toronto-Centre"," 69A","Toronto",0,73,0,0,23,0,101,12,0,1,210,415
35108,"Toronto Centre/Toronto-Centre"," 69B","Toronto",1,52,2,0,23,2,88,11,0,2,181,434
35108,"Toronto Centre/Toronto-Centre"," 70A","Toronto",1,50,1,0,32,0,109,17,0,2,212,338
35108,"Toronto Centre/Toronto-Centre"," 70B","Toronto",1,54,1,0,39,0,128,17,1,1,242,366
35108,"Toronto Centre/Toronto-Centre"," 71","Toronto",0,25,0,0,7,0,55,14,0,1,102,282
35108,"Toronto Centre/Toronto-Centre"," 72A","Toronto",1,33,1,0,16,0,80,10,2,2,145,313
35108,"Toronto Centre/Toronto-Centre"," 72B","Toronto",0,25,1,0,7,1,69,2,1,2,108,285
35108,"Toronto Centre/Toronto-Centre"," 73","Toronto",0,33,0,0,21,0,101,9,0,0,164,436
35108,"Toronto Centre/Toronto-Centre"," 74","Toronto",0,51,0,0,18,1,73,8,0,2,153,348
35108,"Toronto Centre/Toronto-Centre"," 75","Toronto",0,33,1,0,14,1,65,3,0,2,119,291
35108,"Toronto Centre/Toronto-Centre"," 76A","Toronto",0,64,0,0,22,0,86,14,0,1,187,481
35108,"Toronto Centre/Toronto-Centre"," 76B","Toronto",1,70,0,0,19,1,88,8,0,1,188,493
35108,"Toronto Centre/Toronto-Centre"," 77","Toronto",0,28,0,0,4,0,78,8,0,3,121,293
35108,"Toronto Centre/Toronto-Centre"," 78A","Toronto",1,58,1,0,26,2,117,23,0,0,228,380
