Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peggy Askin,Jocelyn Grossé,Patrick King,Kelly Lorencz,Michelle Rempel,Josephine Tsang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48009,"Calgary Nose Hill/Calgary Nose Hill"," 145","Calgary",0,2,24,2,142,24,0,194,454
48009,"Calgary Nose Hill/Calgary Nose Hill"," 146","Calgary",0,4,21,6,151,34,1,217,530
48009,"Calgary Nose Hill/Calgary Nose Hill"," 147","Calgary",0,8,30,9,143,27,4,221,555
48009,"Calgary Nose Hill/Calgary Nose Hill"," 148","Calgary",0,15,35,12,159,39,1,261,544
48009,"Calgary Nose Hill/Calgary Nose Hill"," 149","Calgary",1,5,26,6,151,32,2,223,452
48009,"Calgary Nose Hill/Calgary Nose Hill"," 150","Calgary",0,5,26,3,129,33,3,199,526
48009,"Calgary Nose Hill/Calgary Nose Hill"," 151","Calgary",0,3,23,8,126,19,0,179,398
48009,"Calgary Nose Hill/Calgary Nose Hill"," 152","Calgary",0,7,26,7,134,24,0,198,461
48009,"Calgary Nose Hill/Calgary Nose Hill"," 153","Calgary",0,9,13,7,97,15,2,143,324
48009,"Calgary Nose Hill/Calgary Nose Hill"," 154","Calgary",0,0,18,6,103,24,2,153,364
48009,"Calgary Nose Hill/Calgary Nose Hill"," 155","Calgary",0,10,19,10,109,35,0,183,524
48009,"Calgary Nose Hill/Calgary Nose Hill"," 156","Calgary",0,5,21,4,111,23,1,165,415
48009,"Calgary Nose Hill/Calgary Nose Hill"," 157","Calgary",0,6,33,6,138,35,3,221,526
48009,"Calgary Nose Hill/Calgary Nose Hill"," 158","Calgary",0,8,28,3,79,42,1,161,453
48009,"Calgary Nose Hill/Calgary Nose Hill"," 159","Calgary",0,6,19,9,103,29,1,167,469
48009,"Calgary Nose Hill/Calgary Nose Hill"," 160","Calgary",1,7,19,3,122,22,1,175,372
48009,"Calgary Nose Hill/Calgary Nose Hill"," 161","Calgary",0,5,27,5,118,27,3,185,404
48009,"Calgary Nose Hill/Calgary Nose Hill"," 162","Calgary",0,7,30,10,98,64,0,209,433
48009,"Calgary Nose Hill/Calgary Nose Hill"," 163","Calgary",1,7,29,3,97,22,0,159,379
48009,"Calgary Nose Hill/Calgary Nose Hill"," 164","Calgary",0,9,27,4,79,22,0,141,349
48009,"Calgary Nose Hill/Calgary Nose Hill"," 165","Calgary",0,3,16,5,76,18,1,119,372
48009,"Calgary Nose Hill/Calgary Nose Hill"," 166","Calgary",0,4,21,2,142,27,1,197,459
48009,"Calgary Nose Hill/Calgary Nose Hill"," 167","Calgary",1,14,23,7,87,29,0,161,403
48009,"Calgary Nose Hill/Calgary Nose Hill"," 168","Calgary",1,11,25,4,93,29,0,163,381
48009,"Calgary Nose Hill/Calgary Nose Hill"," 169","Calgary",0,5,30,3,121,21,0,180,425
48009,"Calgary Nose Hill/Calgary Nose Hill"," 170","Calgary",0,7,27,9,155,32,0,230,461
48009,"Calgary Nose Hill/Calgary Nose Hill"," 171","Calgary",0,13,41,4,135,35,0,228,422
48009,"Calgary Nose Hill/Calgary Nose Hill"," 172","Calgary",1,9,32,5,164,30,1,242,481
48009,"Calgary Nose Hill/Calgary Nose Hill"," 173","Calgary",0,23,35,8,122,43,0,231,467
48009,"Calgary Nose Hill/Calgary Nose Hill"," 174","Calgary",0,9,20,6,110,24,1,170,471
48009,"Calgary Nose Hill/Calgary Nose Hill"," 175","Calgary",1,15,24,8,143,28,0,219,500
48009,"Calgary Nose Hill/Calgary Nose Hill"," 176","Calgary",1,12,29,2,142,26,1,213,447
48009,"Calgary Nose Hill/Calgary Nose Hill"," 177","Calgary",3,8,20,4,140,30,1,206,529
48009,"Calgary Nose Hill/Calgary Nose Hill"," 178","Calgary",0,5,23,3,58,54,1,144,421
48009,"Calgary Nose Hill/Calgary Nose Hill"," 179","Calgary",0,12,15,5,89,26,0,147,449
48009,"Calgary Nose Hill/Calgary Nose Hill"," 180","Calgary",0,5,24,4,85,20,0,138,426
48009,"Calgary Nose Hill/Calgary Nose Hill"," 181","Calgary",0,11,22,7,101,25,1,167,559
48009,"Calgary Nose Hill/Calgary Nose Hill"," 182","Calgary",0,9,35,11,155,37,3,250,612
48009,"Calgary Nose Hill/Calgary Nose Hill"," 183","Calgary",0,17,58,17,120,40,1,253,591
48009,"Calgary Nose Hill/Calgary Nose Hill"," 500","Mobile poll/Bureau itinérant",1,1,10,2,67,12,3,96,100
48009,"Calgary Nose Hill/Calgary Nose Hill"," 501","Mobile poll/Bureau itinérant",0,5,9,2,148,20,3,187,264
48009,"Calgary Nose Hill/Calgary Nose Hill"," 600","Calgary",0,6,86,14,685,170,3,964,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 601","Calgary",1,16,66,16,827,183,4,1113,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 602","Calgary",0,11,82,15,880,156,6,1150,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 603","Calgary",1,17,63,17,833,177,1,1109,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 604","Calgary",1,19,59,15,848,134,1,1077,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 605","Calgary",2,17,38,28,1195,146,1,1427,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 606","Calgary",1,25,49,17,1029,150,5,1276,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 607","Calgary",0,21,62,18,1077,164,7,1349,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 608","Calgary",1,36,78,18,968,203,7,1311,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 609","Calgary",0,27,104,22,992,141,8,1294,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 610","Calgary",1,27,110,21,1048,192,3,1402,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 611","Calgary",1,18,61,16,576,95,4,771,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 612","Calgary",0,38,90,15,652,125,3,923,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 613","Calgary",0,30,77,29,715,110,10,971,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 614","Calgary",1,30,81,26,584,70,2,794,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 615","Calgary",3,23,95,18,639,108,2,888,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 616","Calgary",4,60,119,24,896,139,1,1243,
48009,"Calgary Nose Hill/Calgary Nose Hill"," 617","Calgary",3,43,92,31,628,121,2,920,
48009,"Calgary Nose Hill/Calgary Nose Hill",,Group 1/Groupe 1, 2,18,16,4,71,50,9,170,256
48009,"Calgary Nose Hill/Calgary Nose Hill",,Group 2/Groupe 2, 4,81,206,20,1041,271,36,1659,
