Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Cooper,Kelsey Reichel,Churence Rogers,Sharon Vokey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 1","Deadman's Bay",3,3,29,13,4,52,110
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 2","Lumsden",12,2,151,41,1,207,411
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 3","Cape Freels",8,0,41,8,4,61,96
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 4A","Musgrave Harbour",8,1,26,40,2,77,93
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 4B","Musgrave Harbour",Merged with No./Fusionné avec le n°5B,,,,,,111
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 4C","Musgrave Harbour",Merged with No./Fusionné avec le n°6C,,,,,,171
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 5A","Musgrave Harbour",Merged with No./Fusionné avec le n°4A,,,,,,98
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 5B","Musgrave Harbour",8,4,33,34,2,81,69
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 5C","Musgrave Harbour",Merged with No./Fusionné avec le n°6C,,,,,,152
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 6A","Musgrave Harbour",Merged with No./Fusionné avec le n°4A,,,,,,56
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 6B","Musgrave Harbour",Merged with No./Fusionné avec le n°5B,,,,,,40
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 6C","Musgrave Harbour",10,2,33,56,3,104,39
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 7","Newtown--Templeman",10,3,97,19,10,139,244
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 8","Pound Cove",4,1,40,5,1,51,121
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 9","Wesleyville",5,1,45,21,5,77,231
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 10A","Brookfield",8,1,76,22,4,111,277
