Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Chamberlin,James Chumsa,Jennifer Clarke,Michelle Corfield,John Hirst,Paul Manly,Brian Marlatt,Geoff Stoneman,Echo White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 1","Lantzville",115,0,2,49,58,49,2,1,0,0,276,535
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 2","Lantzville",26,0,3,26,62,75,2,2,1,0,197,362
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 3","Lantzville",40,1,1,24,55,39,0,0,0,0,160,296
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 4","Lantzville",29,0,3,34,50,80,1,0,0,0,197,336
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 5","Lantzville",41,0,2,21,61,98,3,1,0,0,227,391
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 6","Lantzville",37,0,3,31,69,64,0,0,0,1,205,368
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 7","Lantzville",43,0,5,36,57,60,0,3,0,0,204,389
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 8","Lantzville",26,0,3,23,86,82,0,1,0,2,223,432
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 9","Lantzville",31,0,2,20,57,44,1,2,0,0,157,356
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 10","Nanaimo",20,0,6,22,56,39,1,0,2,0,146,434
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 11","Nanaimo",25,0,1,25,53,30,0,1,0,0,135,426
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 12","Nanaimo",31,0,0,16,60,36,2,2,0,0,147,368
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 13","Nanaimo",37,0,1,31,36,47,2,1,0,0,155,424
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 14","Nanaimo",12,0,0,23,30,36,1,0,0,0,102,344
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 15","Nanaimo",35,0,6,22,35,27,1,2,0,0,128,334
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 16","Nanaimo",20,0,1,23,50,33,0,0,0,1,128,375
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 17","Nanaimo",39,0,5,17,38,36,1,0,0,0,136,389
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 18","Nanaimo",23,0,2,40,41,52,0,1,0,1,160,501
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 19","Nanaimo",24,0,1,35,39,48,0,0,0,0,147,398
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 20","Nanaimo",30,0,2,26,43,34,0,0,0,0,135,414
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 21","Nanaimo",30,0,3,25,54,46,1,2,0,1,162,395
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 22","Nanaimo",34,1,5,20,29,53,0,2,0,0,144,408
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 23","Nanaimo",31,0,2,32,55,33,0,0,0,0,153,462
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 24","Nanaimo",46,0,4,36,59,64,0,0,0,0,209,462
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 25","Nanaimo",27,0,2,19,53,51,0,1,0,0,153,408
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 26","Nanaimo",18,0,0,12,14,15,0,1,1,0,61,194
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 27","Nanaimo",35,0,1,37,55,79,2,0,0,0,209,473
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 28","Nanaimo",29,0,0,21,32,33,1,1,0,0,117,330
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 29","Nanaimo",30,0,5,35,36,56,0,0,0,0,162,428
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 30","Nanaimo",20,0,2,33,47,70,0,0,0,0,172,448
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 31","Nanaimo",62,0,6,37,78,85,1,0,2,0,271,733
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 32","Nanaimo",22,0,1,28,28,31,0,0,0,0,110,321
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 33","Nanaimo",39,0,0,35,41,57,2,0,0,0,174,446
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 34","Nanaimo",49,0,0,38,42,40,0,0,2,0,171,452
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 35","Nanaimo",73,0,4,48,57,70,1,0,2,3,258,600
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 36","Nanaimo",32,0,2,28,32,33,1,0,0,0,128,382
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 37","Nanaimo",47,0,3,44,78,52,0,1,1,1,227,508
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 38","Nanaimo",53,0,0,20,61,61,0,1,0,0,196,455
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 39","Nanaimo",32,1,2,41,57,46,2,0,0,2,183,495
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 40","Nanaimo",56,2,4,52,41,57,0,0,0,0,212,498
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 41","Nanaimo",73,0,1,31,91,56,0,1,0,1,254,542
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 42","Nanaimo",46,1,3,36,59,58,0,0,0,1,204,456
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 43","Nanaimo",29,0,2,41,77,47,0,1,1,0,198,439
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 44","Nanaimo",41,0,1,29,43,45,1,0,0,0,160,382
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 45","Nanaimo",11,0,1,30,54,19,0,0,0,0,115,363
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 46","Nanaimo",40,0,3,43,57,44,0,0,0,0,187,449
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 47","Extension",42,1,4,32,66,74,1,2,1,1,224,513
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 48","Extension",52,0,3,21,67,69,0,1,0,0,213,511
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 49","Nanaimo",65,0,4,39,80,60,1,1,0,0,250,567
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 50","Nanaimo",52,1,1,27,64,75,0,0,0,0,220,502
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 51","Nanaimo",56,0,5,18,74,81,1,0,0,1,236,461
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 52","Nanaimo",62,0,7,37,80,69,2,1,1,2,261,569
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 53","South Wellington",59,2,8,24,71,71,0,0,0,0,235,458
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 54","South Wellington",37,1,6,24,65,60,0,3,0,0,196,445
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 55","South Wellington",49,0,5,20,50,51,1,1,0,1,178,440
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 56","Nanaimo",37,0,3,16,40,37,0,1,0,0,134,347
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 57","Nanaimo",51,0,2,27,42,66,0,1,0,0,189,432
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 58","Nanaimo",94,0,2,66,104,95,2,0,1,1,365,837
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 59","Nanaimo",55,0,10,29,57,75,0,0,0,2,228,448
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 60","Nanaimo",58,0,8,49,46,70,2,0,0,0,233,537
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 61","Nanaimo",38,0,4,27,58,79,0,0,0,1,207,434
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 62","Nanaimo",50,0,8,18,38,56,2,0,0,0,172,446
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 63","Nanaimo",89,1,6,35,61,72,0,1,1,0,266,536
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 64","Nanaimo",61,1,1,37,42,65,0,0,0,0,207,497
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 65","Nanaimo",38,1,2,41,51,76,0,0,0,1,210,494
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 66","Nanaimo",22,0,4,51,65,34,0,0,0,0,176,470
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 67","Nanaimo",53,0,1,37,56,81,1,0,0,0,229,526
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 68","Nanaimo",44,0,2,24,37,48,0,0,1,0,156,430
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 69","Nanaimo",32,0,5,27,55,53,0,1,0,2,175,489
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 70","Nanaimo",47,0,4,23,56,54,0,1,0,1,186,526
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 71","Nanaimo",26,1,0,29,54,67,2,1,0,1,181,454
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 72","Nanaimo",27,0,2,46,94,66,0,0,0,0,235,572
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 73","Nanaimo",26,0,2,33,50,60,0,0,0,0,171,519
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 74","Nanaimo",32,0,1,24,53,77,0,0,0,1,188,494
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 75","Nanaimo",60,0,3,31,65,55,1,1,0,1,217,514
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 76","Nanaimo",29,0,4,21,28,44,0,0,0,0,126,319
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 77","Nanaimo",43,1,4,17,50,47,1,0,1,0,164,403
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 78","Nanaimo",46,0,2,11,24,38,0,0,1,1,123,388
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 79","Nanaimo",38,0,5,20,32,37,0,1,0,4,137,329
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 80","Nanaimo",67,1,4,30,92,65,0,0,0,0,259,586
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 81","Nanaimo",35,0,3,17,48,42,0,0,0,1,146,389
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 82","Nanaimo",67,0,0,22,66,56,1,1,0,0,213,490
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 83","Nanaimo",52,0,5,34,61,68,2,1,0,0,223,497
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 84","Nanaimo",67,0,4,27,56,62,0,0,0,0,216,468
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 85","Nanaimo",46,1,1,39,53,70,1,1,1,0,213,481
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 86","Nanaimo",36,0,2,17,55,57,1,3,0,0,171,464
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 87","Nanaimo",43,0,1,28,39,51,0,0,1,1,164,397
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 88","Nanaimo",44,3,0,43,72,99,0,1,0,3,265,545
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 89","Nanaimo",44,0,5,20,25,65,0,0,1,0,160,399
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 90","Nanaimo",41,1,1,30,62,43,3,0,1,0,182,455
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 91","Nanaimo",39,0,2,16,41,52,0,1,0,0,151,389
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 92","Nanaimo",59,1,1,26,41,61,2,0,0,1,192,467
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 93","Nanaimo",35,0,3,20,38,57,0,0,0,0,153,364
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 94","Nanaimo",59,1,0,35,55,77,1,1,0,1,230,498
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 95","Nanaimo",66,0,2,24,47,49,0,0,1,2,191,427
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 96","Nanaimo",77,0,5,18,50,64,1,2,0,0,217,466
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 97","Nanaimo",42,1,2,36,77,103,3,0,1,0,265,617
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 98","Nanaimo",66,1,5,37,38,64,0,1,0,0,212,476
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 99","Nanaimo",41,0,2,32,44,66,0,0,0,0,185,462
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 100","Nanaimo",30,0,0,29,51,52,0,0,0,0,162,446
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 101","Nanaimo",42,1,0,17,45,87,1,1,0,0,194,416
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 102","Nanaimo",25,0,2,28,40,63,0,2,0,0,160,371
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 103","Nanaimo",29,0,8,47,60,62,1,0,0,1,208,474
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 104","Nanaimo",69,1,1,28,72,59,1,1,0,1,233,533
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 105","Nanaimo",80,1,2,22,59,65,0,3,0,0,232,441
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 106","Nanaimo",81,1,10,29,42,84,1,1,0,1,250,564
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 107","Nanaimo",74,1,5,29,56,59,0,1,0,0,225,516
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 108","Nanaimo",66,1,1,25,50,61,0,1,0,0,205,463
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 109","Nanaimo",43,1,5,21,31,54,1,0,0,2,158,439
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 110","East Wellington",34,1,3,15,73,54,2,0,0,2,184,469
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 111","East Wellington",41,0,2,25,66,57,0,0,0,0,191,509
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 112","Nanaimo",65,0,6,29,44,83,0,0,0,0,227,559
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 113","Nanaimo",53,0,2,16,72,86,1,0,1,0,231,503
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 114","Nanaimo",66,0,7,33,84,78,0,3,0,1,272,625
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 115","Nanaimo",40,0,0,32,68,59,2,1,0,4,206,552
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 116","Nanaimo",61,0,1,22,86,58,1,3,2,1,235,515
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 117","East Wellington",36,0,3,14,82,61,0,1,0,0,197,485
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 118","Nanaimo",39,0,4,25,56,53,0,0,0,0,177,450
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 119","Nanaimo",59,0,2,26,45,87,1,0,0,0,220,500
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 120","Nanaimo",59,1,3,26,39,57,0,2,0,2,189,493
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 121","Nanaimo",59,0,3,19,32,61,0,1,0,0,175,456
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 122","Nanaimo",56,1,4,31,45,92,1,0,0,1,231,455
