Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Douglas Bebb,Terry Grimwood,Gordon Jeffrey,Gabrielle Loren,Dana Taylor,Patrick Weiler,Judith Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 1","Pemberton Meadows",5,0,2,55,87,69,44,0,262,485
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 2","Pemberton",4,0,0,29,78,58,24,0,193,379
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 3","Pemberton Meadows",3,0,0,34,71,50,39,1,198,436
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 4","Pemberton",4,0,0,23,64,86,37,1,215,414
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 5","Pemberton",4,0,2,21,68,72,24,0,191,382
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 6","Pemberton",4,1,0,30,86,55,30,0,206,390
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 7","Pemberton",4,1,1,40,68,87,24,0,225,421
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 8","Pemberton Meadows",1,1,0,22,69,64,28,1,186,402
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 9","D'Arcy",8,3,1,36,89,57,48,0,242,459
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 10","Egmont",7,1,1,20,38,24,24,0,115,238
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 11","Mount Currie 6",0,1,0,2,46,6,45,1,101,234
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 12","Mount Currie 6",0,1,0,1,39,4,56,1,102,278
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 13","Mount Currie 6",2,1,0,5,60,11,53,2,134,446
