Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nadia Bourque,Liana Canton Cusmano,Michael Forian,Tommy Gaudet,Jean Langlais,Marc Miller,Louise B. O'Sullivan,Marc Patenaude,Linda Sullivan,Sophie Thiébaut,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 1A","Montréal",22,8,15,0,3,98,0,0,0,17,0,163,383
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 1B","Montréal",32,13,32,0,0,104,0,0,0,14,0,195,466
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 2","Montréal",29,7,16,0,0,54,1,0,1,27,1,136,389
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 3","Montréal",41,5,10,1,3,128,1,0,0,32,0,221,518
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 4","Montréal",45,12,19,0,1,118,1,0,0,21,0,217,570
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 5A","Montréal",5,0,2,0,2,4,0,0,0,2,0,15,85
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 5B","Montréal",21,3,8,0,3,65,0,2,1,20,1,124,344
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 6","Montréal",34,25,16,2,0,100,0,0,0,36,10,223,523
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 7","Montréal",19,15,7,0,3,44,0,0,0,30,2,120,480
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 8","Montréal",12,8,10,0,0,37,0,0,0,27,2,96,377
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 9","Montréal",6,11,15,0,1,43,0,0,0,34,1,111,358
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 10","Montréal",7,11,7,0,0,49,0,0,0,27,0,101,366
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 11","Montréal",3,12,17,1,1,63,0,0,0,30,1,128,410
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 12","Montréal",20,12,3,2,0,55,1,0,0,28,0,121,423
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 13","Montréal",6,14,7,0,2,74,1,0,0,42,0,146,359
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 14","Montréal",11,9,11,1,3,70,0,0,0,79,1,185,425
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 15","Montréal",3,8,7,0,1,34,0,0,0,26,0,79,255
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 16","Montréal",3,12,18,1,3,78,0,0,0,28,0,143,445
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 17","Montréal",4,10,28,1,3,92,0,0,1,47,2,188,624
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 18","Montréal",13,7,17,1,2,90,1,0,0,15,0,146,423
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 19","Montréal",15,17,21,0,5,101,1,0,0,32,2,194,550
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs"," 20","Montréal",24,20,41,0,7,192,0,1,0,40,2,327,707
