Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stepan Balatsko,Chinook Blais-Leduc,Christine Dandenault,JP Fortin,Simon Marchand,Christine Marcoux,Soraya Martinez Ferrada,Robert D. Morais,Catheryn Roy-Goyette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24028,"Hochelaga/Hochelaga"," 1","Montréal",2,0,0,0,62,15,81,4,25,1,190,391
24028,"Hochelaga/Hochelaga"," 2","Montréal",3,1,0,0,46,6,53,8,42,2,161,370
24028,"Hochelaga/Hochelaga"," 3","Montréal",0,1,0,0,61,18,107,10,25,5,227,390
24028,"Hochelaga/Hochelaga"," 4","Montréal",0,2,0,0,60,4,78,4,39,3,190,373
24028,"Hochelaga/Hochelaga"," 5","Montréal",2,0,1,0,58,14,148,7,30,2,262,438
24028,"Hochelaga/Hochelaga"," 6","Montréal",2,0,0,1,60,13,81,11,19,1,188,380
24028,"Hochelaga/Hochelaga"," 7","Montréal",1,0,1,2,45,27,151,5,20,8,260,460
24028,"Hochelaga/Hochelaga"," 8","Montréal",2,0,0,0,70,9,88,12,18,0,199,339
24028,"Hochelaga/Hochelaga"," 9","Montréal",1,0,0,0,88,7,105,10,34,7,252,406
24028,"Hochelaga/Hochelaga"," 10","Montréal",4,1,0,2,70,16,94,9,24,4,224,368
24028,"Hochelaga/Hochelaga"," 11","Montréal",3,6,0,0,82,11,93,9,26,3,233,453
24028,"Hochelaga/Hochelaga"," 12","Montréal",2,1,0,1,81,13,79,15,33,4,229,409
24028,"Hochelaga/Hochelaga"," 13","Montréal",0,1,0,1,67,12,74,3,28,1,187,437
24028,"Hochelaga/Hochelaga"," 14","Montréal",3,0,1,0,23,17,120,2,24,3,193,420
24028,"Hochelaga/Hochelaga"," 15","Montréal",1,2,1,0,45,18,149,6,23,4,249,548
24028,"Hochelaga/Hochelaga"," 16","Montréal",5,2,0,0,76,22,134,6,25,1,271,457
24028,"Hochelaga/Hochelaga"," 17","Montréal",5,0,0,1,56,17,104,8,24,5,220,438
24028,"Hochelaga/Hochelaga"," 18","Montréal",0,2,0,0,41,16,107,4,17,5,192,396
24028,"Hochelaga/Hochelaga"," 19","Montréal",2,0,0,0,36,13,104,4,19,2,180,366
24028,"Hochelaga/Hochelaga"," 20","Montréal",1,0,0,0,38,15,102,5,12,5,178,488
24028,"Hochelaga/Hochelaga"," 21","Montréal",1,0,0,0,44,12,59,6,9,2,133,455
24028,"Hochelaga/Hochelaga"," 22","Montréal",1,0,2,0,31,12,91,10,29,2,178,405
24028,"Hochelaga/Hochelaga"," 23","Montréal",0,0,0,1,38,12,91,5,20,0,167,447
24028,"Hochelaga/Hochelaga"," 24","Montréal",3,0,0,0,54,9,97,6,19,3,191,401
24028,"Hochelaga/Hochelaga"," 25","Montréal",2,2,0,0,80,14,64,8,31,9,210,436
24028,"Hochelaga/Hochelaga"," 26","Montréal",1,0,2,1,70,5,64,9,25,5,182,433
24028,"Hochelaga/Hochelaga"," 27","Montréal",0,0,2,0,52,8,64,3,31,2,162,350
24028,"Hochelaga/Hochelaga"," 28","Montréal",1,2,1,0,51,16,69,9,24,4,177,348
24028,"Hochelaga/Hochelaga"," 29","Montréal",1,1,0,0,25,12,113,4,22,0,178,438
24028,"Hochelaga/Hochelaga"," 30","Montréal",0,1,0,0,37,9,65,3,25,5,145,344
24028,"Hochelaga/Hochelaga"," 31","Montréal",1,0,0,0,48,11,73,6,24,5,168,458
24028,"Hochelaga/Hochelaga"," 32","Montréal",1,3,2,1,57,14,77,3,28,5,191,451
