Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rhonda Chen,Alana DeLong,Blair Herbert,Lydia Hwitsum,Alistair MacGregor,Robin Morton Stanbridge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 1","Cowichan Lake ",4,33,34,58,81,0,1,211,375
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 2","Cowichan Lake ",1,46,32,22,43,1,0,145,270
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 3","Caycuse",0,3,4,4,30,0,0,41,58
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 4","Thetis Island",4,108,22,72,72,2,0,280,364
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 5","Honeymoon Bay",2,60,15,33,49,1,0,160,315
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 6","Honeymoon Bay",6,42,24,21,58,1,2,154,275
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 7","Chemainus",5,98,50,61,99,0,2,315,504
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 8","Saltair",5,82,52,73,84,0,3,299,524
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 9","Chemainus",4,54,33,43,88,0,4,226,361
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 10","Chemainus",6,46,53,66,95,2,0,268,471
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 11","Chemainus",2,67,42,75,96,0,0,282,468
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 12","Chemainus",13,65,34,63,69,1,3,248,435
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 13","Tent Island 8",0,3,0,20,104,1,1,129,262
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 14","Osborn Bay",1,32,19,33,82,0,0,167,369
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 15","Chemainus",3,89,47,57,76,1,0,273,464
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 16","Chemainus",5,87,51,75,136,3,1,358,642
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 17","Chemainus",4,93,40,48,86,1,0,272,486
