Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Monica Ciriello,Gary Duyzer,Edward Graydon,Matthew Green,Jasper Kujavsky,Tony Lemma,Jason Lopez,Melina Mamone,Nathalie Xian Yi Yan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35035,"Hamilton Centre/Hamilton-Centre"," 1","Hamilton",26,2,1,101,32,2,11,5,1,1,182,493
35035,"Hamilton Centre/Hamilton-Centre"," 2","Hamilton",34,1,0,88,28,1,12,6,0,1,171,485
35035,"Hamilton Centre/Hamilton-Centre"," 3","Hamilton",24,0,0,61,40,1,8,4,0,3,141,383
35035,"Hamilton Centre/Hamilton-Centre"," 4","Hamilton",14,2,3,63,32,0,10,2,1,0,127,354
35035,"Hamilton Centre/Hamilton-Centre"," 5","Hamilton",42,1,0,92,46,2,15,3,0,5,206,441
35035,"Hamilton Centre/Hamilton-Centre"," 6","Hamilton",34,4,1,125,91,2,27,3,0,1,288,516
35035,"Hamilton Centre/Hamilton-Centre"," 7","Hamilton",33,2,0,119,85,0,25,3,0,8,275,505
35035,"Hamilton Centre/Hamilton-Centre"," 8","Hamilton",50,3,1,119,75,0,14,6,2,4,274,636
35035,"Hamilton Centre/Hamilton-Centre"," 9","Hamilton",52,1,0,146,53,0,17,8,1,4,282,625
35035,"Hamilton Centre/Hamilton-Centre"," 10","Hamilton",31,4,0,79,36,0,7,2,1,0,160,461
35035,"Hamilton Centre/Hamilton-Centre"," 11","Hamilton",31,1,1,139,65,1,27,13,0,3,281,527
35035,"Hamilton Centre/Hamilton-Centre"," 12","Hamilton",20,2,0,84,61,2,14,8,0,1,192,419
35035,"Hamilton Centre/Hamilton-Centre"," 13","Hamilton",43,1,0,134,86,1,19,2,0,1,287,600
35035,"Hamilton Centre/Hamilton-Centre"," 14","Hamilton",40,3,0,110,84,0,27,3,0,3,270,467
35035,"Hamilton Centre/Hamilton-Centre"," 15","Hamilton",28,0,3,108,87,0,21,6,0,0,253,420
35035,"Hamilton Centre/Hamilton-Centre"," 16","Hamilton",30,1,0,105,79,2,22,5,0,4,248,396
35035,"Hamilton Centre/Hamilton-Centre"," 17","Hamilton",32,1,0,115,68,0,16,4,0,2,238,491
35035,"Hamilton Centre/Hamilton-Centre"," 18","Hamilton",23,2,0,86,57,1,9,2,0,1,181,376
35035,"Hamilton Centre/Hamilton-Centre"," 19","Hamilton",53,5,0,167,87,0,32,4,1,1,350,534
35035,"Hamilton Centre/Hamilton-Centre"," 20","Hamilton",40,1,3,73,77,1,19,2,0,3,219,442
