Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aaron Archer,Candice Bergen,Jerome Dondo,Beverley Eert,Cindy Friesen,Ken Werbiski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Portage--Lisgar/Portage--Lisgar"," 1","Lake Francis",4,17,0,5,14,27,1,68,110
46007,"Portage--Lisgar/Portage--Lisgar"," 2","High Bluff",3,135,0,5,8,14,0,165,300
46007,"Portage--Lisgar/Portage--Lisgar"," 3","Macdonald",2,118,1,4,7,6,1,139,254
46007,"Portage--Lisgar/Portage--Lisgar"," 4","Oakland",1,118,2,8,9,22,2,162,304
46007,"Portage--Lisgar/Portage--Lisgar"," 5","Oakland",4,66,2,5,11,21,0,109,348
46007,"Portage--Lisgar/Portage--Lisgar"," 6","Portage la Prairie",3,85,4,16,24,21,1,154,407
46007,"Portage--Lisgar/Portage--Lisgar"," 7","Portage la Prairie",8,83,2,21,41,25,1,181,514
46007,"Portage--Lisgar/Portage--Lisgar"," 8","Portage la Prairie",3,77,0,9,19,29,0,137,430
46007,"Portage--Lisgar/Portage--Lisgar"," 9","Portage la Prairie",7,87,2,12,26,33,1,168,479
46007,"Portage--Lisgar/Portage--Lisgar"," 10","Portage la Prairie",6,104,4,6,27,31,2,180,424
46007,"Portage--Lisgar/Portage--Lisgar"," 11","Poplar Point",6,96,0,19,15,9,0,145,204
46007,"Portage--Lisgar/Portage--Lisgar"," 12","Portage la Prairie",7,130,4,10,38,46,3,238,432
46007,"Portage--Lisgar/Portage--Lisgar"," 13","Portage la Prairie",3,108,3,9,27,38,3,191,381
46007,"Portage--Lisgar/Portage--Lisgar"," 14","Portage la Prairie",0,92,5,12,51,51,2,213,438
46007,"Portage--Lisgar/Portage--Lisgar"," 15","Portage la Prairie",10,98,0,8,30,44,0,190,442
46007,"Portage--Lisgar/Portage--Lisgar"," 16","High Bluff",4,116,1,9,18,18,0,166,310
46007,"Portage--Lisgar/Portage--Lisgar"," 17","Portage la Prairie",8,159,2,17,18,37,1,242,401
46007,"Portage--Lisgar/Portage--Lisgar"," 18","Portage la Prairie",10,102,3,12,41,32,2,202,462
46007,"Portage--Lisgar/Portage--Lisgar"," 19","Portage la Prairie",9,76,1,3,50,38,1,178,451
46007,"Portage--Lisgar/Portage--Lisgar"," 20","Portage la Prairie",10,103,4,6,33,24,2,182,400
46007,"Portage--Lisgar/Portage--Lisgar"," 21","St. Eustache",2,177,4,12,22,21,0,238,341
46007,"Portage--Lisgar/Portage--Lisgar"," 22","St. Eustache",4,108,2,7,31,39,2,193,310
46007,"Portage--Lisgar/Portage--Lisgar"," 23","Oakland",0,2,0,1,6,16,0,25,39
