Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rodrigo André Bolaños,Ahmed Bouragba,Morgan Gay,Sarmad Laith,David McGuinty,Les Schram,Eli Tannis,Larry Wasslen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35077,"Ottawa South/Ottawa-Sud"," 1","Gloucester",4,1,28,0,73,7,50,0,3,166,383
35077,"Ottawa South/Ottawa-Sud"," 2","Ottawa",3,0,44,0,94,20,52,0,0,213,441
35077,"Ottawa South/Ottawa-Sud"," 3","Ottawa",3,4,33,1,142,8,31,1,4,227,643
35077,"Ottawa South/Ottawa-Sud"," 4","Ottawa",4,0,54,0,96,11,42,0,3,210,454
35077,"Ottawa South/Ottawa-Sud"," 5","Ottawa",9,0,38,0,121,13,54,0,1,236,509
35077,"Ottawa South/Ottawa-Sud"," 6","Ottawa",5,0,46,0,99,11,39,1,2,203,388
35077,"Ottawa South/Ottawa-Sud"," 7","Ottawa",0,0,71,0,105,16,49,0,1,242,433
35077,"Ottawa South/Ottawa-Sud"," 8","Ottawa",0,0,44,0,92,27,43,0,0,206,386
35077,"Ottawa South/Ottawa-Sud"," 9","Ottawa",3,0,59,0,116,7,60,1,3,249,516
35077,"Ottawa South/Ottawa-Sud"," 10","Ottawa",3,1,26,0,60,5,12,0,2,109,346
35077,"Ottawa South/Ottawa-Sud"," 11","Ottawa",1,0,43,1,84,4,21,0,3,157,491
35077,"Ottawa South/Ottawa-Sud"," 12A","Ottawa",5,1,33,1,99,5,44,0,4,192,383
35077,"Ottawa South/Ottawa-Sud"," 12B","Ottawa",5,0,36,0,93,7,49,0,5,195,361
35077,"Ottawa South/Ottawa-Sud"," 13","Ottawa",2,0,35,1,142,3,33,0,1,217,519
35077,"Ottawa South/Ottawa-Sud"," 14","Ottawa",2,0,36,0,96,8,15,1,0,158,415
35077,"Ottawa South/Ottawa-Sud"," 15","Ottawa",4,0,85,0,109,11,20,0,1,230,534
35077,"Ottawa South/Ottawa-Sud"," 16","Ottawa",3,0,39,0,108,17,33,0,4,204,386
35077,"Ottawa South/Ottawa-Sud"," 17","Ottawa",1,0,28,1,93,15,42,0,15,195,441
35077,"Ottawa South/Ottawa-Sud"," 18","Ottawa",3,0,71,0,109,13,36,0,2,234,352
35077,"Ottawa South/Ottawa-Sud"," 19","Ottawa",1,1,60,0,117,11,62,0,1,253,427
35077,"Ottawa South/Ottawa-Sud"," 20","Ottawa",2,0,46,1,97,13,44,0,1,204,464
35077,"Ottawa South/Ottawa-Sud"," 21","Ottawa",2,1,36,0,145,22,62,0,0,268,433
35077,"Ottawa South/Ottawa-Sud"," 22","Ottawa",2,0,38,0,106,7,51,1,1,206,410
35077,"Ottawa South/Ottawa-Sud"," 23","Ottawa",0,0,26,1,73,7,45,0,1,153,258
35077,"Ottawa South/Ottawa-Sud"," 24","Ottawa",3,2,42,1,144,18,63,0,2,275,447
35077,"Ottawa South/Ottawa-Sud"," 25","Ottawa",5,0,67,0,140,24,74,2,2,314,466
35077,"Ottawa South/Ottawa-Sud"," 26","Ottawa",2,0,45,0,125,20,46,1,0,239,420
35077,"Ottawa South/Ottawa-Sud"," 27","Ottawa",0,0,48,0,123,9,49,0,0,229,457
35077,"Ottawa South/Ottawa-Sud"," 28","Ottawa",1,0,28,0,110,6,72,2,4,223,450
35077,"Ottawa South/Ottawa-Sud"," 29","Ottawa",4,0,16,1,88,4,45,0,0,158,334
35077,"Ottawa South/Ottawa-Sud"," 30","Ottawa",2,0,49,1,105,15,58,0,0,230,473
35077,"Ottawa South/Ottawa-Sud"," 31","Ottawa",6,1,48,0,121,21,58,0,2,257,398
35077,"Ottawa South/Ottawa-Sud"," 32","Ottawa",4,1,59,0,113,1,38,0,6,222,461
35077,"Ottawa South/Ottawa-Sud"," 33","Ottawa",3,1,41,0,119,14,71,0,2,251,503
35077,"Ottawa South/Ottawa-Sud"," 34","Ottawa",3,1,46,0,124,5,57,0,3,239,545
35077,"Ottawa South/Ottawa-Sud"," 35","Ottawa",1,0,62,0,78,9,27,1,1,179,263
35077,"Ottawa South/Ottawa-Sud"," 36","Ottawa",0,0,23,0,98,19,60,0,3,203,424
35077,"Ottawa South/Ottawa-Sud"," 37","Ottawa",0,0,10,0,99,8,59,0,1,177,399
35077,"Ottawa South/Ottawa-Sud"," 38","Ottawa",0,1,22,0,108,13,54,0,0,198,428
35077,"Ottawa South/Ottawa-Sud"," 39","Ottawa",1,0,21,0,97,14,67,0,0,200,495
35077,"Ottawa South/Ottawa-Sud"," 40","Ottawa",5,0,37,0,109,13,51,2,1,218,417
35077,"Ottawa South/Ottawa-Sud"," 41","Ottawa",4,0,34,0,113,13,54,0,1,219,435
35077,"Ottawa South/Ottawa-Sud"," 42","Ottawa",2,0,25,1,102,8,51,0,0,189,463
35077,"Ottawa South/Ottawa-Sud"," 43","Ottawa",3,0,42,1,114,5,52,0,2,219,522
35077,"Ottawa South/Ottawa-Sud"," 44","Ottawa",3,0,34,0,93,23,54,0,0,207,393
35077,"Ottawa South/Ottawa-Sud"," 45","Ottawa",1,1,22,1,82,11,50,3,4,175,358
35077,"Ottawa South/Ottawa-Sud"," 46","Ottawa",1,0,17,0,81,4,51,0,1,155,380
35077,"Ottawa South/Ottawa-Sud"," 47","Ottawa",0,1,24,0,128,9,77,0,1,240,501
35077,"Ottawa South/Ottawa-Sud"," 48","Ottawa",2,1,21,0,134,3,62,0,4,227,473
35077,"Ottawa South/Ottawa-Sud"," 49","Ottawa",1,2,37,1,190,9,45,1,2,288,609
35077,"Ottawa South/Ottawa-Sud"," 50","Ottawa",0,1,31,1,166,3,39,0,1,242,502
35077,"Ottawa South/Ottawa-Sud"," 51","Ottawa",3,0,36,0,184,8,47,0,3,281,565
