Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elaine Baetz,Matthew Correia,Alan Keeso,Wasai Rahimi,Marwan Tabbara,Joseph Todd,David Weber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 1","Cambridge",0,0,75,44,117,4,11,4,255,544
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 2","Cambridge",0,0,100,32,105,0,18,0,255,533
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 3","Cambridge",0,0,102,37,93,2,31,0,265,527
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 4","Cambridge",0,2,61,21,64,7,30,1,186,336
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 5","Cambridge",0,0,101,51,112,7,40,2,313,584
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 6","Cambridge",1,0,55,26,73,5,28,0,188,378
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 7","Cambridge",0,0,91,33,107,5,16,1,253,496
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 8","Cambridge",0,0,84,38,94,6,30,0,252,492
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 9","Cambridge",0,1,55,25,64,8,17,0,170,340
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 10","Cambridge",0,0,69,21,71,6,34,0,201,373
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 11","Cambridge",0,1,68,36,78,10,30,0,223,444
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 12","Cambridge",0,0,65,48,65,5,34,2,219,394
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 13","Cambridge",0,0,73,49,73,3,28,2,228,396
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 14","Cambridge",0,0,102,33,79,2,29,1,246,461
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 15","Cambridge",0,0,83,24,87,4,17,2,217,449
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 16","Cambridge",0,1,71,34,75,5,32,0,218,508
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 17","Cambridge",1,0,82,30,85,3,14,2,217,454
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 18","Cambridge",0,0,55,40,82,3,20,1,201,395
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 19","Cambridge",0,1,96,53,83,7,16,2,258,521
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 20","Cambridge",0,1,89,47,70,2,20,0,229,480
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 21","Cambridge",1,1,74,33,87,2,20,0,218,491
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 22","Cambridge",1,0,52,28,60,6,20,0,167,363
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 23","Cambridge",0,0,76,21,82,5,11,1,196,417
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 24","Cambridge",0,0,72,42,81,5,34,1,235,489
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 25","Cambridge",0,0,79,28,94,2,15,2,220,445
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 26","Cambridge",0,1,141,23,91,3,44,0,303,547
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 27","Cambridge",1,0,62,33,41,4,25,1,167,369
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 28","Cambridge",0,1,82,35,97,11,29,0,255,518
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 29A","Cambridge",0,0,77,28,100,2,13,1,221,387
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 29B","Cambridge",0,0,60,10,66,1,10,0,147,341
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 29C","Cambridge",0,0,82,31,58,6,15,1,193,438
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 30","Cambridge",0,0,51,30,55,6,25,0,167,380
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 31","Cambridge",0,0,58,34,81,8,30,1,212,386
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 32A","Cambridge",1,0,58,24,48,4,18,0,153,295
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 32B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,131
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 33","Cambridge",0,0,75,27,68,2,25,0,197,382
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 34","Kitchener",0,0,80,27,110,2,27,0,246,467
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 35","Kitchener",0,0,83,13,82,3,28,1,210,430
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 36","Kitchener",0,0,52,7,47,0,7,1,114,255
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 37","Kitchener",0,0,78,11,69,0,16,3,177,374
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 38","Kitchener",0,1,78,21,99,2,18,2,221,480
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 39","Kitchener",1,0,63,29,92,1,31,3,220,483
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 40","Cambridge",0,0,81,32,61,6,19,1,200,425
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 41","Cambridge",0,0,48,27,81,5,23,1,185,363
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 42","Cambridge",0,0,84,8,79,0,16,0,187,378
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 43","Cambridge",0,0,95,32,89,7,36,1,260,475
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 44","Cambridge",0,0,60,30,98,8,18,1,215,417
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 45","Cambridge",0,0,75,29,78,2,29,3,216,461
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 46","Cambridge",0,0,55,32,87,5,17,3,199,421
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 47","Cambridge",1,2,73,29,83,3,13,1,205,483
