Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Marie Anonsen,Alexandra Hayward,David Jones,Terry Martin,Seamus O'Regan,Benjamin Ruckpaul,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 1","St. John's",93,2,1,21,76,1,9,203,460
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 2","St. John's",42,3,1,11,45,0,0,102,255
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 3","St. John's",72,3,1,8,68,3,3,158,314
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 4","St. John's",76,5,3,6,65,1,5,161,330
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 5","St. John's",58,5,2,16,73,3,1,158,362
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 6","St. John's",90,8,0,15,67,1,2,183,469
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 7","St. John's",79,8,0,15,75,0,2,179,398
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 8","St. John's",68,5,3,24,91,3,0,194,503
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 9","St. John's",71,6,1,5,47,3,4,137,365
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 10","St. John's",46,3,1,14,56,1,0,121,295
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 11","St. John's",83,0,0,29,112,1,5,230,435
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 12","St. John's",55,6,0,24,71,1,7,164,362
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 13","St. John's",86,3,1,22,77,3,3,195,372
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 14","St. John's",101,5,0,15,89,3,1,214,390
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 15","St. John's",85,1,0,16,100,1,6,209,442
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 16","St. John's",63,0,0,19,69,0,3,154,397
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 17","St. John's",47,2,2,14,58,1,1,125,346
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 18","St. John's",67,1,1,28,96,0,2,195,477
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 19","St. John's",46,1,0,40,69,1,6,163,415
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 20","St. John's",55,4,0,15,103,2,7,186,459
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 21","St. John's",70,9,0,32,115,3,6,235,428
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 22","St. John's",59,11,0,26,135,0,0,231,443
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 23","St. John's",67,9,1,29,114,3,2,225,413
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 24","St. John's",37,4,0,20,73,3,4,141,421
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 25","St. John's",61,6,1,23,128,2,4,225,398
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 26","St. John's",57,2,0,16,77,2,2,156,382
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 27","St. John's",50,2,0,23,65,0,8,148,408
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 28","St. John's",63,5,0,21,54,0,0,143,374
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 29","St. John's",69,4,0,17,75,0,0,165,398
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 30","St. John's",70,3,0,22,59,2,3,159,471
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 31","St. John's",48,1,0,23,78,3,1,154,366
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 32","St. John's",57,2,0,12,52,2,3,128,437
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 33","St. John's",57,4,1,29,57,2,4,154,418
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 34","St. John's",28,2,1,14,54,1,2,102,268
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 35","St. John's",47,4,1,34,97,4,1,188,441
10007,"St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl"," 36","St. John's",67,6,0,41,128,4,1,247,529
