Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lynn Beaulieu,Guy Bernatchez,Jay Cowboy,Dennis Drainville,Eric Hébert,Diane Lebouthillier,Jean-Pierre Pigeon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 604","Grande-Vallée",1,175,0,2,1,112,28,12,331,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 605","Gaspé",17,368,8,10,2,211,69,14,699,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 606","Gaspé",13,112,8,21,1,104,20,1,280,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 607","Gaspé",34,327,8,25,2,323,35,12,766,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 608","Gaspé",24,183,12,20,5,221,37,7,509,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 609","Percé",18,225,5,14,5,249,39,1,556,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 610","Saint-François-de-Pabos",19,385,4,4,2,475,78,21,988,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 611","Chandler",14,302,6,5,5,455,52,15,854,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 612","Chandler",11,171,4,6,2,349,34,13,590,
24026,"Gaspésie--Les Îles-de-la-Madeleine/Gaspésie--Les Îles-de-la-Madeleine"," 613","Cascapédia--Saint-Jules",10,117,1,6,2,92,22,11,261,
