Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Blanchette-Joncas,Nancy Brassard-Fortin,Guy Caron,Pierre Lacombe,Lysane Picker-Paquin,Chantal Pilon,Jocelyn Rioux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 601","Sainte-Blandine",228,53,164,2,2,79,12,4,544,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 602","Rimouski",502,100,403,8,4,349,24,16,1406,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 603","Rimouski",321,59,285,3,3,237,17,11,936,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 604","Rimouski",299,58,229,2,2,234,16,14,854,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 605","Rimouski",312,49,278,2,1,230,13,7,892,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 606","Rimouski",352,47,282,2,5,162,9,15,874,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 607","Rimouski",397,60,288,2,3,214,11,9,984,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 608","Rimouski",219,36,226,3,0,158,5,12,659,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 609","Le Bic--Saint-Fabien",264,66,235,4,5,107,7,6,694,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 610","Trois-Pistoles",368,126,249,6,4,212,20,14,999,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 611","Saint-Jean-de-Dieu",125,63,53,1,2,50,2,4,300,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 612","Saint-Michel-du-Squatec",116,54,73,0,0,90,5,9,347,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 613","Dégelis",172,93,146,3,0,131,5,10,560,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 614","Cabano--Notre-Dame-du-Lac",152,80,106,2,0,81,2,2,425,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 615","Cabano--Notre-Dame-du-Lac",215,64,102,2,2,148,10,8,551,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 616","Pohénégamook--Rivière-Bleue",174,96,155,3,1,97,14,6,546,
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques",,Group 1/Groupe 1, 12,3,9,1,1,18,2,8,54,55
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques",,Group 2/Groupe 2, 365,93,465,11,13,298,75,26,1346,
