Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Blanchette-Joncas,Nancy Brassard-Fortin,Guy Caron,Pierre Lacombe,Lysane Picker-Paquin,Chantal Pilon,Jocelyn Rioux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 87","Rimouski",88,12,47,1,1,22,6,4,181,444
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 88","Rimouski",92,8,67,0,2,41,0,2,212,471
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 89","Rimouski",90,13,54,1,2,41,4,5,210,450
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 90","Rimouski",103,26,56,1,1,19,7,2,215,485
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 91","Rimouski",98,67,66,0,1,43,4,0,279,399
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 92","Rimouski",82,9,53,1,0,48,0,0,193,392
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 93","Rimouski",115,15,94,0,0,81,3,1,309,525
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 94","Rimouski",75,12,69,0,0,56,7,0,219,421
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 95","Rimouski",79,19,52,0,0,23,5,1,179,422
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 96","Rimouski",62,5,41,0,0,35,4,3,150,385
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 97","Rimouski",95,9,59,1,0,34,3,3,204,404
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 98","Le Bic",96,11,75,0,2,36,6,5,231,514
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 99","Le Bic",110,14,85,2,0,42,4,2,259,493
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 100","Le Bic",93,10,109,0,0,43,7,4,266,506
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 101","Le Bic",54,5,87,0,0,20,7,3,176,363
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 102","Le Bic",86,13,83,0,2,29,4,1,218,452
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 103","Saint-Valérien",63,15,67,3,2,27,2,0,179,357
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 104","Saint-Valérien",62,11,66,1,1,21,6,0,168,352
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 105","Saint-Fabien",73,25,66,0,1,45,6,5,221,380
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 106","Saint-Fabien",85,15,41,0,1,45,4,3,194,303
24018,"Rimouski-Neigette--Témiscouata--Les Basques/Rimouski-Neigette--Témiscouata--Les Basques"," 107","Saint-Fabien",78,22,60,0,2,35,1,5,203,375
