Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shelby Bertrand,Carol Clemenhagen,Coreen Corcoran,Chris G Jones,Angela Keller-Herzog,Marie-Chantal Leriche,Catherine McKenna,Stuart Ryan,Merylee Sevilla,Emilie Taman,Giang Ha Thu Vo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 169","Ottawa",1,50,0,0,14,0,128,0,3,80,0,1,277,595
35075,"Ottawa Centre/Ottawa-Centre"," 170A","Ottawa",0,40,0,0,18,0,151,0,1,90,0,3,303,567
35075,"Ottawa Centre/Ottawa-Centre"," 170B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,,,,,23
35075,"Ottawa Centre/Ottawa-Centre"," 171","Ottawa",1,83,3,1,23,1,127,1,4,70,0,1,315,512
35075,"Ottawa Centre/Ottawa-Centre"," 172","Ottawa",2,53,2,2,24,1,96,0,5,84,0,0,269,435
35075,"Ottawa Centre/Ottawa-Centre"," 173","Ottawa",2,36,2,0,16,1,102,1,9,53,2,0,224,470
35075,"Ottawa Centre/Ottawa-Centre"," 174","Ottawa",0,25,2,0,15,2,153,0,3,67,0,5,272,632
35075,"Ottawa Centre/Ottawa-Centre"," 175","Ottawa",0,47,2,0,15,0,98,0,3,65,0,1,231,504
35075,"Ottawa Centre/Ottawa-Centre"," 176","Ottawa",0,38,0,0,20,0,100,0,4,66,0,1,229,383
35075,"Ottawa Centre/Ottawa-Centre"," 177","Ottawa",1,40,0,1,21,3,107,2,4,100,0,1,280,505
35075,"Ottawa Centre/Ottawa-Centre"," 178","Ottawa",1,40,3,0,20,0,106,0,2,75,1,1,249,472
35075,"Ottawa Centre/Ottawa-Centre"," 179","Ottawa",1,33,2,0,20,0,88,0,3,75,0,2,224,459
35075,"Ottawa Centre/Ottawa-Centre"," 180","Ottawa",1,44,0,1,20,0,173,0,1,86,0,1,327,561
35075,"Ottawa Centre/Ottawa-Centre"," 181","Ottawa",0,39,0,0,19,2,127,0,2,84,0,0,273,570
35075,"Ottawa Centre/Ottawa-Centre"," 182","Ottawa",1,19,3,0,19,1,113,0,2,48,1,1,208,406
35075,"Ottawa Centre/Ottawa-Centre"," 183","Ottawa",0,58,0,1,23,0,173,0,5,53,0,0,313,686
35075,"Ottawa Centre/Ottawa-Centre"," 184","Ottawa",1,31,0,5,16,0,135,0,3,73,1,0,265,575
35075,"Ottawa Centre/Ottawa-Centre"," 185","Ottawa",0,42,3,1,13,0,120,0,2,38,0,2,221,451
35075,"Ottawa Centre/Ottawa-Centre"," 186","Ottawa",1,43,1,0,16,0,139,0,0,60,0,2,262,558
35075,"Ottawa Centre/Ottawa-Centre"," 187","Ottawa",0,31,0,0,23,1,128,0,1,44,0,0,228,482
35075,"Ottawa Centre/Ottawa-Centre"," 188","Ottawa",0,47,1,3,26,0,121,0,0,52,0,2,252,508
35075,"Ottawa Centre/Ottawa-Centre"," 189","Ottawa",0,36,1,0,14,0,81,0,0,36,0,0,168,263
35075,"Ottawa Centre/Ottawa-Centre"," 190","Ottawa",0,26,4,1,10,3,99,0,1,93,0,0,237,437
35075,"Ottawa Centre/Ottawa-Centre"," 191","Ottawa",3,21,2,1,8,0,105,1,2,83,0,1,227,509
35075,"Ottawa Centre/Ottawa-Centre"," 192","Ottawa",0,34,3,1,16,2,91,0,2,74,0,3,226,515
35075,"Ottawa Centre/Ottawa-Centre"," 193","Ottawa",0,28,2,0,19,0,99,0,1,75,0,0,224,490
35075,"Ottawa Centre/Ottawa-Centre"," 194","Ottawa",0,44,1,3,18,0,80,0,1,55,0,2,204,447
35075,"Ottawa Centre/Ottawa-Centre"," 195","Ottawa",1,55,2,2,26,2,104,0,0,80,0,1,273,580
35075,"Ottawa Centre/Ottawa-Centre"," 196","Ottawa",0,37,0,0,15,1,137,0,2,87,0,1,280,531
35075,"Ottawa Centre/Ottawa-Centre"," 197","Ottawa",1,68,0,2,17,1,132,1,0,61,0,1,284,551
35075,"Ottawa Centre/Ottawa-Centre"," 198","Ottawa",0,48,1,0,13,0,88,0,4,47,0,4,205,462
35075,"Ottawa Centre/Ottawa-Centre"," 199","Ottawa",0,36,7,0,8,6,85,0,1,63,1,1,208,429
35075,"Ottawa Centre/Ottawa-Centre"," 200","Ottawa",1,62,2,2,7,0,91,0,3,26,1,0,195,379
35075,"Ottawa Centre/Ottawa-Centre"," 201","Ottawa",1,70,0,1,5,1,98,0,2,41,0,0,219,519
35075,"Ottawa Centre/Ottawa-Centre"," 202","Ottawa",0,92,2,1,11,0,103,0,6,51,1,1,268,549
35075,"Ottawa Centre/Ottawa-Centre"," 203","Ottawa",0,43,1,0,6,4,82,0,0,36,2,2,176,361
35075,"Ottawa Centre/Ottawa-Centre"," 400","Ottawa",1,27,2,0,16,2,96,0,3,74,0,1,222,329
35075,"Ottawa Centre/Ottawa-Centre"," 401","Ottawa",1,26,2,0,19,0,91,0,3,66,0,2,210,301
35075,"Ottawa Centre/Ottawa-Centre"," 402","Ottawa",1,6,0,0,7,0,37,0,0,24,0,1,76,120
35075,"Ottawa Centre/Ottawa-Centre"," 403","Ottawa",0,11,0,0,13,0,50,0,0,48,0,1,123,162
35075,"Ottawa Centre/Ottawa-Centre"," 404","Ottawa",0,10,0,0,7,0,53,0,1,38,1,0,110,303
35075,"Ottawa Centre/Ottawa-Centre"," 405","Ottawa",1,32,5,2,7,3,59,1,0,16,2,10,138,209
35075,"Ottawa Centre/Ottawa-Centre"," 406","Ottawa",1,25,1,1,15,1,65,0,2,53,0,3,167,241
35075,"Ottawa Centre/Ottawa-Centre"," 407","Ottawa",1,10,1,1,14,0,50,1,1,41,1,2,123,226
35075,"Ottawa Centre/Ottawa-Centre"," 408","Ottawa",0,24,2,0,0,0,73,0,0,23,0,0,122,181
35075,"Ottawa Centre/Ottawa-Centre"," 409","Ottawa",1,19,0,0,8,0,86,2,3,25,0,0,144,230
35075,"Ottawa Centre/Ottawa-Centre"," 410","Ottawa",Merged with No./Fusionné avec le n°39,,,,,,,,,,,,,86
35075,"Ottawa Centre/Ottawa-Centre"," 411","Ottawa",1,10,0,2,1,0,21,0,1,6,0,4,46,118
