Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre-André Émond,Carole Lennard,Louis Plamondon,Nathalie Rochefort,Richard Synnott,David Turcotte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 1","Deschaillons-sur-Saint-Laurent",63,12,115,36,4,6,6,242,395
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 2","Deschaillons-sur-Saint-Laurent",38,13,85,36,5,11,2,190,339
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 3","Parisville",45,8,128,46,1,4,4,236,402
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 4","Fortierville",32,3,88,24,2,3,9,161,260
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 5","Fortierville",34,7,66,22,2,5,1,137,239
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 6","Sainte-Françoise",46,5,116,38,4,5,8,222,391
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 7","Saint-Pierre-les-Becquets",22,5,75,12,4,5,1,124,284
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 8","Saint-Pierre-les-Becquets",45,9,74,31,2,4,2,167,334
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 9","Saint-Pierre-les-Becquets",24,6,64,10,4,6,3,117,267
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 10","Sainte-Cécile-de-Lévrard",51,14,90,17,1,8,3,184,323
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 11","Sainte-Sophie-de-Lévrard",40,3,77,35,3,6,0,164,295
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 12","Sainte-Sophie-de-Lévrard",23,2,55,25,3,0,1,109,267
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 13","Manseau",31,4,97,25,3,6,1,167,287
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 14","Saint-Joseph-de-Blandford",58,11,95,27,7,10,4,212,375
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 15","Bécancour",42,12,98,35,1,5,1,194,390
