Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin M. Klerks,Ben Lobb,Tony McQuail,Allan Thompson,Nicholas Wendler,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Huron--Bruce/Huron--Bruce"," 1","Saugeen Shores",1,111,41,107,13,4,277,447
35040,"Huron--Bruce/Huron--Bruce"," 2","Saugeen Shores",1,69,21,112,15,0,218,396
35040,"Huron--Bruce/Huron--Bruce"," 3","Saugeen Shores",2,75,50,93,12,0,232,402
35040,"Huron--Bruce/Huron--Bruce"," 4","Saugeen Shores",6,69,30,125,16,1,247,449
35040,"Huron--Bruce/Huron--Bruce"," 5A","Saugeen Shores",5,74,22,82,17,2,202,389
35040,"Huron--Bruce/Huron--Bruce"," 5B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,91
35040,"Huron--Bruce/Huron--Bruce"," 6","Saugeen Shores",6,93,16,128,6,3,252,558
35040,"Huron--Bruce/Huron--Bruce"," 7","Saugeen Shores",3,70,27,124,13,0,237,463
35040,"Huron--Bruce/Huron--Bruce"," 8","Saugeen Shores",4,93,29,94,14,0,234,506
35040,"Huron--Bruce/Huron--Bruce"," 9","Saugeen Shores",7,95,24,120,15,1,262,510
35040,"Huron--Bruce/Huron--Bruce"," 10A","Saugeen Shores",4,63,15,96,4,3,185,353
35040,"Huron--Bruce/Huron--Bruce"," 10B","Saugeen Shores",4,65,21,98,7,0,195,352
35040,"Huron--Bruce/Huron--Bruce"," 11","Saugeen Shores",3,66,31,126,12,0,238,472
35040,"Huron--Bruce/Huron--Bruce"," 12","Saugeen Shores",1,85,19,106,11,0,222,432
35040,"Huron--Bruce/Huron--Bruce"," 13","Saugeen Shores",9,77,32,80,8,1,207,479
35040,"Huron--Bruce/Huron--Bruce"," 14","Saugeen Shores",3,66,36,130,8,0,243,449
35040,"Huron--Bruce/Huron--Bruce"," 15","Saugeen Shores",10,106,23,81,20,0,240,543
35040,"Huron--Bruce/Huron--Bruce"," 16","Saugeen Shores",7,78,38,82,12,0,217,446
35040,"Huron--Bruce/Huron--Bruce"," 17","Saugeen Shores",7,110,43,124,15,3,302,527
35040,"Huron--Bruce/Huron--Bruce"," 18","Saugeen Shores",3,88,31,82,13,5,222,427
35040,"Huron--Bruce/Huron--Bruce"," 19","Saugeen Shores",5,90,25,95,10,2,227,432
35040,"Huron--Bruce/Huron--Bruce"," 20","Saugeen Shores",2,59,18,111,10,1,201,426
35040,"Huron--Bruce/Huron--Bruce"," 21","Saugeen Shores",3,64,33,65,6,0,171,413
35040,"Huron--Bruce/Huron--Bruce"," 22","Saugeen Shores",2,70,14,92,4,1,183,415
35040,"Huron--Bruce/Huron--Bruce"," 23","Saugeen Shores",3,81,32,89,7,0,212,384
35040,"Huron--Bruce/Huron--Bruce"," 24","Saugeen Shores",2,51,27,77,3,1,161,369
