Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Cole,Darren Fisher,Michelle Lindsay,Lil MacPherson,Emma Norton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 15","Halifax",32,79,3,27,58,2,201,347
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 16","Halifax",23,65,0,8,51,1,148,320
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 17","Halifax",47,62,6,12,55,2,184,362
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 18","Halifax",22,56,2,19,48,3,150,362
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 19","Halifax",46,41,4,17,56,3,167,346
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 20","Halifax",35,59,3,13,47,1,158,403
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 21","Halifax",27,121,6,16,39,2,211,448
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 22","Halifax",63,135,0,9,48,0,255,447
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 23","Halifax",23,89,2,20,51,2,187,368
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 24","Halifax",24,92,1,16,55,1,189,415
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 25","Halifax",29,98,3,9,45,1,185,391
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 26","Halifax",20,47,6,14,51,1,139,480
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 27","Halifax",25,63,0,14,26,1,129,330
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 28","Halifax",33,114,6,35,51,1,240,457
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 29","Halifax",32,104,4,22,42,0,204,389
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 30","Halifax",29,106,4,33,51,0,223,481
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 31","Halifax",21,62,3,15,42,3,146,411
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 32","Halifax",20,62,4,20,49,0,155,424
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 33","Halifax",15,33,3,9,43,3,106,425
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 34","Halifax",31,79,1,17,50,1,179,400
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 35","Halifax",25,72,3,27,27,0,154,397
12004,"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 36","Halifax",24,75,7,23,104,2,235,538
