Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Baljit Bawa,Jordan Boswell,David Gershuny,Pawanjit Gosal,Ramesh Sangha,Pauline Thornham,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35008,"Brampton Centre/Brampton-Centre"," 39","Brampton",2,35,0,36,80,7,0,160,316
35008,"Brampton Centre/Brampton-Centre"," 40","Brampton",2,22,0,38,111,7,6,186,507
35008,"Brampton Centre/Brampton-Centre"," 41","Brampton",1,31,1,35,99,7,5,179,522
35008,"Brampton Centre/Brampton-Centre"," 42","Brampton",2,35,2,33,104,6,8,190,532
35008,"Brampton Centre/Brampton-Centre"," 43A","Brampton",2,37,0,18,101,2,1,161,392
35008,"Brampton Centre/Brampton-Centre"," 43B","Brampton",Merged with No./Fusionné avec le n°408,,,,,,,,95
35008,"Brampton Centre/Brampton-Centre"," 43C","Brampton",3,12,1,20,34,3,0,73,96
35008,"Brampton Centre/Brampton-Centre"," 44","Brampton",2,54,0,50,86,12,0,204,408
35008,"Brampton Centre/Brampton-Centre"," 45","Brampton",2,25,0,32,65,8,0,132,298
35008,"Brampton Centre/Brampton-Centre"," 46","Brampton",2,53,1,87,96,22,2,263,505
35008,"Brampton Centre/Brampton-Centre"," 47","Brampton",2,46,0,36,90,5,0,179,363
35008,"Brampton Centre/Brampton-Centre"," 48","Brampton",3,52,1,37,106,8,0,207,463
35008,"Brampton Centre/Brampton-Centre"," 49","Brampton",8,34,1,39,69,7,0,158,375
35008,"Brampton Centre/Brampton-Centre"," 50","Brampton",3,32,0,61,73,4,1,174,355
35008,"Brampton Centre/Brampton-Centre"," 51","Brampton",2,36,0,44,80,6,1,169,331
35008,"Brampton Centre/Brampton-Centre"," 52","Brampton",13,35,0,67,56,8,0,179,384
35008,"Brampton Centre/Brampton-Centre"," 53","Brampton",12,27,0,48,60,9,0,156,329
35008,"Brampton Centre/Brampton-Centre"," 54","Brampton",4,28,0,46,72,13,2,165,351
35008,"Brampton Centre/Brampton-Centre"," 55","Brampton",0,24,0,45,72,8,1,150,351
35008,"Brampton Centre/Brampton-Centre"," 56","Brampton",3,44,2,81,150,10,5,295,575
35008,"Brampton Centre/Brampton-Centre"," 57","Brampton",3,46,0,47,114,11,3,224,403
35008,"Brampton Centre/Brampton-Centre"," 58","Brampton",3,31,1,67,95,5,3,205,377
35008,"Brampton Centre/Brampton-Centre"," 59","Brampton",4,51,0,53,136,11,1,256,498
35008,"Brampton Centre/Brampton-Centre"," 60","Brampton",1,54,1,56,104,8,4,228,464
35008,"Brampton Centre/Brampton-Centre"," 61","Brampton",1,21,1,29,82,8,1,143,419
35008,"Brampton Centre/Brampton-Centre"," 62","Brampton",1,44,0,52,82,0,1,180,457
35008,"Brampton Centre/Brampton-Centre"," 63","Brampton",1,51,0,36,78,6,2,174,419
35008,"Brampton Centre/Brampton-Centre"," 64","Brampton",1,39,0,50,95,2,3,190,508
35008,"Brampton Centre/Brampton-Centre"," 65","Brampton",5,55,1,39,92,3,1,196,452
35008,"Brampton Centre/Brampton-Centre"," 66","Brampton",3,52,0,52,80,5,3,195,461
35008,"Brampton Centre/Brampton-Centre"," 67","Brampton",0,52,0,48,97,9,2,208,459
35008,"Brampton Centre/Brampton-Centre"," 68","Brampton",5,54,0,39,101,3,1,203,448
35008,"Brampton Centre/Brampton-Centre"," 69","Brampton",9,49,0,66,102,10,2,238,468
35008,"Brampton Centre/Brampton-Centre"," 70","Brampton",4,41,0,48,53,3,0,149,325
35008,"Brampton Centre/Brampton-Centre"," 71","Brampton",3,46,1,79,108,25,3,265,514
35008,"Brampton Centre/Brampton-Centre"," 72","Brampton",0,48,0,71,90,10,4,223,425
35008,"Brampton Centre/Brampton-Centre"," 73","Brampton",4,38,0,53,96,8,0,199,476
35008,"Brampton Centre/Brampton-Centre"," 74","Brampton",6,44,0,83,116,14,2,265,587
35008,"Brampton Centre/Brampton-Centre"," 75","Brampton",5,42,0,57,94,19,0,217,414
35008,"Brampton Centre/Brampton-Centre"," 76","Brampton",3,61,1,70,86,9,0,230,480
35008,"Brampton Centre/Brampton-Centre"," 77","Brampton",4,36,1,58,81,19,3,202,391
35008,"Brampton Centre/Brampton-Centre"," 78","Brampton",2,50,0,44,96,5,0,197,402
35008,"Brampton Centre/Brampton-Centre"," 79","Brampton",5,53,3,73,97,9,0,240,423
35008,"Brampton Centre/Brampton-Centre"," 80","Brampton",3,40,1,47,96,16,6,209,470
35008,"Brampton Centre/Brampton-Centre"," 81","Brampton",10,34,2,65,75,12,1,199,428
35008,"Brampton Centre/Brampton-Centre"," 82","Brampton",0,24,0,49,86,1,4,164,376
35008,"Brampton Centre/Brampton-Centre"," 83","Brampton",3,29,1,59,80,6,1,179,407
35008,"Brampton Centre/Brampton-Centre"," 84","Brampton",0,43,0,49,96,5,3,196,448
35008,"Brampton Centre/Brampton-Centre"," 85","Brampton",0,32,0,41,77,8,1,159,329
35008,"Brampton Centre/Brampton-Centre"," 86","Brampton",2,43,0,46,93,7,1,192,382
35008,"Brampton Centre/Brampton-Centre"," 87","Brampton",3,49,0,48,89,5,1,195,393
35008,"Brampton Centre/Brampton-Centre"," 88","Brampton",1,30,2,20,79,5,0,137,412
35008,"Brampton Centre/Brampton-Centre"," 89","Brampton",4,45,4,68,51,8,1,181,406
35008,"Brampton Centre/Brampton-Centre"," 90","Brampton",0,34,0,67,50,2,1,154,313
35008,"Brampton Centre/Brampton-Centre"," 91","Brampton",4,29,0,49,55,6,2,145,312
35008,"Brampton Centre/Brampton-Centre"," 92","Brampton",3,35,0,40,81,4,4,167,508
35008,"Brampton Centre/Brampton-Centre"," 93","Brampton",5,35,1,43,62,7,0,153,415
35008,"Brampton Centre/Brampton-Centre"," 94","Brampton",6,31,0,12,47,7,2,105,307
35008,"Brampton Centre/Brampton-Centre"," 95","Brampton",6,21,0,32,71,5,0,135,367
35008,"Brampton Centre/Brampton-Centre"," 96","Brampton",4,38,0,46,68,5,2,163,349
35008,"Brampton Centre/Brampton-Centre"," 97","Brampton",2,19,2,39,72,7,1,142,362
