Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Boulet,Jordy Carr,Alex Gomm,Mark King,Anthony Rota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 1","Dymond ",53,78,8,13,124,2,278,593
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 2","Dymond ",40,66,4,3,89,0,202,398
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 3","New Liskeard",38,53,7,10,79,1,188,414
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 4","New Liskeard",36,52,13,3,93,2,199,410
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 5","New Liskeard",46,62,5,7,76,1,197,476
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 6","New Liskeard",62,51,8,8,76,0,205,547
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 7","New Liskeard",74,51,12,7,99,2,245,546
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 8","New Liskeard",36,38,11,5,49,3,142,345
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 9","New Liskeard",39,32,4,7,54,3,139,300
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 10","New Liskeard",55,46,9,8,91,2,211,429
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 11","Coleman",30,29,11,7,30,0,107,295
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 12","Coleman",48,34,8,1,55,2,148,384
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 13","Coleman",82,81,10,5,80,1,259,542
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 14","Hillview",Void/Supprimé,,,,,,,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 15","Haileybury",58,46,16,4,77,1,202,440
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 16","Haileybury",58,81,24,22,105,0,290,594
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 17","Haileybury",68,48,16,12,66,0,210,474
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 18","Haileybury",60,57,8,5,65,0,195,483
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 19","Haileybury",37,57,13,2,69,0,178,375
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 20","North Cobalt",44,63,13,14,71,1,206,510
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 21","North Cobalt",68,70,17,8,99,4,266,614
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 22","Latchford",48,108,20,11,96,3,286,560
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 23A","Temagami",20,51,5,10,50,0,136,327
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 23B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,2
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 24","Temagami",35,1,9,1,62,1,109,176
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 25A","Temagami",32,61,8,12,66,0,179,519
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 25B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,8
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 26","Thorne",51,66,4,5,65,3,194,334
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 27","North Bay",13,55,19,5,22,2,116,219
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 28","Balsam Creek",36,46,7,6,38,2,135,331
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 29","Feronia-Songis",55,64,12,17,67,7,222,538
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 30","North Bay",41,62,15,16,115,3,252,655
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 31","Mattawa",17,56,8,6,57,3,147,381
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 32","Papineau",24,30,10,8,33,4,109,314
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 33","Papineau",22,59,10,0,61,5,157,402
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 34","Mattawa",18,33,8,5,44,2,110,322
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 35","Mattawa",23,58,5,0,60,4,150,372
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 36","Papineau",44,53,7,5,50,3,162,413
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 37","Papineau-Cameron",19,95,14,2,47,2,179,505
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 38","North Bay",81,131,36,22,111,1,382,881
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 39","North Bay",51,60,11,19,82,0,223,446
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 40","North Bay",55,49,11,11,76,0,202,376
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 41","North Bay",71,78,26,19,86,1,281,583
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 42","North Bay",60,38,17,6,107,4,232,486
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 43","North Bay",22,92,17,14,88,3,236,520
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 44","North Bay",32,78,19,10,116,4,259,478
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 45","North Bay",40,53,17,9,101,1,221,421
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 46","North Bay",57,38,12,10,53,1,171,330
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 47","North Bay",31,36,11,8,99,0,185,346
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 48","North Bay",58,104,23,19,131,2,337,514
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 49","North Bay",49,93,18,23,99,0,282,506
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 50","North Bay",40,76,14,15,151,1,297,478
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 51","North Bay",39,53,12,16,118,2,240,432
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 52","North Bay",30,63,17,12,148,0,270,473
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 53","North Bay",48,77,3,18,115,4,265,481
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 54","North Bay",38,57,19,14,88,0,216,378
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 55","North Bay",48,34,18,12,57,3,172,413
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 56","North Bay",47,31,19,11,63,2,173,369
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 57","North Bay",39,46,7,8,76,5,181,353
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 58","North Bay",66,23,12,7,47,4,159,351
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 59","North Bay",44,17,7,1,52,4,125,269
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 60","North Bay",70,44,18,14,77,0,223,393
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 61","North Bay",47,55,9,9,77,2,199,425
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 62","North Bay",47,37,14,10,103,3,214,444
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 63","North Bay",44,42,5,6,104,0,201,378
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 64","North Bay",35,64,12,10,91,1,213,361
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 65","North Bay",36,35,9,17,73,1,171,397
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 66","North Bay",38,52,15,13,96,2,216,490
