Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jacques Boudreau,Mary Ann Hodge,Shawna Lewkowitz,Mike Mcmullen,Liz Snelgrove,Kate Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35053,"London West/London-Ouest"," 1","London",0,8,35,3,48,54,0,148,313
35053,"London West/London-Ouest"," 2","London",7,5,33,0,80,95,1,221,485
35053,"London West/London-Ouest"," 3","London",4,1,24,3,77,110,0,219,500
35053,"London West/London-Ouest"," 4","London",5,18,45,6,120,121,3,318,664
35053,"London West/London-Ouest"," 5","London",1,16,93,9,58,111,4,292,555
35053,"London West/London-Ouest"," 6","London",2,20,69,5,72,103,2,273,457
35053,"London West/London-Ouest"," 7","London",0,14,59,5,98,103,0,279,481
35053,"London West/London-Ouest"," 8","London",2,2,23,2,36,53,0,118,277
35053,"London West/London-Ouest"," 9","London",1,12,31,0,62,86,0,192,412
35053,"London West/London-Ouest"," 10","London",2,11,51,1,71,140,3,279,631
35053,"London West/London-Ouest"," 11","London",0,12,79,4,81,125,2,303,557
35053,"London West/London-Ouest"," 12","London",1,7,47,4,86,86,3,234,484
35053,"London West/London-Ouest"," 13","London",2,8,20,4,48,87,1,170,214
35053,"London West/London-Ouest"," 14","London",Merged with No./Fusionné avec le n°13,,,,,,,,158
35053,"London West/London-Ouest"," 15","London",3,23,87,4,87,106,5,315,522
35053,"London West/London-Ouest"," 16","London",5,13,36,2,42,74,0,172,391
35053,"London West/London-Ouest"," 17","London",6,12,42,6,46,107,2,221,501
35053,"London West/London-Ouest"," 18","London",1,10,42,7,56,97,1,214,385
35053,"London West/London-Ouest"," 19","London",0,10,78,8,88,120,5,309,493
35053,"London West/London-Ouest"," 20","London",3,12,94,4,72,122,2,309,590
35053,"London West/London-Ouest"," 21","London",3,16,98,10,62,134,0,323,590
35053,"London West/London-Ouest"," 22","London",3,11,73,3,49,93,0,232,455
35053,"London West/London-Ouest"," 23","London",0,2,33,1,38,69,1,144,263
35053,"London West/London-Ouest"," 24","London",4,4,30,6,62,79,2,187,409
35053,"London West/London-Ouest"," 25","London",1,3,44,5,46,85,0,184,343
35053,"London West/London-Ouest"," 26","London",0,8,40,3,68,80,0,199,406
35053,"London West/London-Ouest"," 27","London",4,8,44,7,55,101,4,223,511
35053,"London West/London-Ouest"," 28","London",3,14,53,1,66,99,4,240,465
35053,"London West/London-Ouest"," 29","London",1,10,57,8,46,92,0,214,454
35053,"London West/London-Ouest"," 30","London",4,17,75,2,64,89,3,254,500
35053,"London West/London-Ouest"," 31","London",2,14,54,4,38,109,0,221,482
35053,"London West/London-Ouest"," 32","London",10,11,56,7,36,99,0,219,485
35053,"London West/London-Ouest"," 33","London",3,14,79,8,62,92,1,259,506
35053,"London West/London-Ouest"," 34","London",2,11,82,3,65,101,2,266,509
35053,"London West/London-Ouest"," 35","London",1,12,62,1,74,126,0,276,529
35053,"London West/London-Ouest"," 36","London",3,11,42,3,67,114,0,240,465
35053,"London West/London-Ouest"," 37","London",0,5,37,4,43,83,2,174,266
35053,"London West/London-Ouest"," 38","London",5,11,88,3,82,209,5,403,750
35053,"London West/London-Ouest"," 39","London",2,11,39,3,74,155,0,284,594
35053,"London West/London-Ouest"," 40","London",3,12,73,4,61,137,5,295,596
35053,"London West/London-Ouest"," 41","London",6,19,49,4,68,102,6,254,533
35053,"London West/London-Ouest"," 42","London",5,10,50,6,82,140,2,295,580
35053,"London West/London-Ouest"," 43","London",4,14,41,2,94,136,5,296,583
35053,"London West/London-Ouest"," 44","London",2,9,65,10,49,110,1,246,520
35053,"London West/London-Ouest"," 45A","London",2,6,26,5,57,107,1,204,392
35053,"London West/London-Ouest"," 45B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,96
35053,"London West/London-Ouest"," 46","London",Merged with No./Fusionné avec le n°48,,,,,,,,208
35053,"London West/London-Ouest"," 47","London",3,8,32,2,70,116,3,234,400
