Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Emilio Bernardo-Ciddio,Ann Raney,Anna Roberts,Deb Schulte,Anton Strgacic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35043,"King--Vaughan/King--Vaughan"," 117","Vaughan",19,9,87,84,3,1,203,417
35043,"King--Vaughan/King--Vaughan"," 118","Vaughan",26,7,74,116,5,3,231,490
35043,"King--Vaughan/King--Vaughan"," 119","Vaughan",18,7,50,92,3,1,171,323
35043,"King--Vaughan/King--Vaughan"," 120","Vaughan",15,9,68,102,2,2,198,389
35043,"King--Vaughan/King--Vaughan"," 121","Vaughan",19,9,68,107,0,2,205,389
35043,"King--Vaughan/King--Vaughan"," 122","Vaughan",10,10,73,66,3,1,163,358
35043,"King--Vaughan/King--Vaughan"," 123","Vaughan",19,6,52,166,5,3,251,490
35043,"King--Vaughan/King--Vaughan"," 124","Vaughan",11,2,34,136,1,3,187,478
35043,"King--Vaughan/King--Vaughan"," 125","Vaughan",29,9,97,169,3,4,311,572
35043,"King--Vaughan/King--Vaughan"," 126","Vaughan",16,6,69,143,3,5,242,508
35043,"King--Vaughan/King--Vaughan"," 127","Vaughan",28,3,82,145,2,1,261,518
35043,"King--Vaughan/King--Vaughan"," 128","Vaughan",11,3,142,75,5,3,239,568
35043,"King--Vaughan/King--Vaughan"," 129","Vaughan",14,4,61,94,1,3,177,449
35043,"King--Vaughan/King--Vaughan"," 130","Vaughan",15,13,59,68,2,0,157,389
35043,"King--Vaughan/King--Vaughan"," 131","Vaughan",9,2,44,78,2,0,135,366
35043,"King--Vaughan/King--Vaughan"," 132","Vaughan",16,6,38,92,3,0,155,398
35043,"King--Vaughan/King--Vaughan"," 133","Vaughan",11,3,48,88,0,0,150,322
35043,"King--Vaughan/King--Vaughan"," 134","Vaughan",7,5,49,81,4,2,148,318
35043,"King--Vaughan/King--Vaughan"," 135","Vaughan",13,1,60,108,5,3,190,387
35043,"King--Vaughan/King--Vaughan"," 136","Vaughan",6,2,36,88,2,2,136,285
35043,"King--Vaughan/King--Vaughan"," 137","Vaughan",24,3,90,142,2,2,263,517
35043,"King--Vaughan/King--Vaughan"," 138","Vaughan",18,9,67,120,5,1,220,441
35043,"King--Vaughan/King--Vaughan"," 139","Vaughan",19,9,92,115,2,2,239,465
