Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josephbai Macwan,Mary Ng,Peter Remedios,Paul Sahbaz,Chris Williams,Alex Yuan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35055,"Markham--Thornhill/Markham--Thornhill"," 1","Markham",0,127,2,7,7,46,5,194,412
35055,"Markham--Thornhill/Markham--Thornhill"," 2","Markham",2,90,1,14,4,54,2,167,362
35055,"Markham--Thornhill/Markham--Thornhill"," 3","Markham",1,139,3,20,2,67,4,236,438
35055,"Markham--Thornhill/Markham--Thornhill"," 4","Markham",2,136,0,15,8,78,0,239,484
35055,"Markham--Thornhill/Markham--Thornhill"," 5","Markham",4,167,1,20,7,99,4,302,592
35055,"Markham--Thornhill/Markham--Thornhill"," 6","Markham",1,165,1,22,6,81,2,278,546
35055,"Markham--Thornhill/Markham--Thornhill"," 7","Markham",1,186,5,20,9,82,3,306,615
35055,"Markham--Thornhill/Markham--Thornhill"," 8","Markham",1,136,3,16,2,48,2,208,473
35055,"Markham--Thornhill/Markham--Thornhill"," 9","Markham",1,157,1,18,1,46,5,229,551
35055,"Markham--Thornhill/Markham--Thornhill"," 10","Markham",0,144,1,11,3,19,2,180,450
35055,"Markham--Thornhill/Markham--Thornhill"," 11","Markham",1,125,2,26,3,46,3,206,503
35055,"Markham--Thornhill/Markham--Thornhill"," 12","Markham",2,135,2,27,1,29,5,201,515
35055,"Markham--Thornhill/Markham--Thornhill"," 13","Markham",2,179,0,15,3,42,1,242,546
35055,"Markham--Thornhill/Markham--Thornhill"," 14","Markham",4,147,0,17,0,34,5,207,494
35055,"Markham--Thornhill/Markham--Thornhill"," 15","Markham",3,178,2,36,4,41,3,267,626
35055,"Markham--Thornhill/Markham--Thornhill"," 16","Markham",0,165,6,17,2,40,3,233,575
35055,"Markham--Thornhill/Markham--Thornhill"," 17A","Markham",1,114,0,16,6,39,0,176,447
35055,"Markham--Thornhill/Markham--Thornhill"," 17B","Markham",0,133,2,31,3,53,2,224,518
35055,"Markham--Thornhill/Markham--Thornhill"," 18","Markham",0,110,2,12,0,23,2,149,394
35055,"Markham--Thornhill/Markham--Thornhill"," 19","Markham",1,191,5,31,1,71,2,302,664
35055,"Markham--Thornhill/Markham--Thornhill"," 20","Markham",0,155,0,40,0,60,13,268,554
35055,"Markham--Thornhill/Markham--Thornhill"," 21","Markham",2,90,1,8,1,29,2,133,314
35055,"Markham--Thornhill/Markham--Thornhill"," 22","Markham",4,167,4,19,4,48,3,249,558
35055,"Markham--Thornhill/Markham--Thornhill"," 23","Markham",0,124,1,5,3,25,3,161,371
35055,"Markham--Thornhill/Markham--Thornhill"," 24","Markham",2,119,0,21,4,41,2,189,465
35055,"Markham--Thornhill/Markham--Thornhill"," 25","Markham",3,107,4,19,4,85,3,225,600
35055,"Markham--Thornhill/Markham--Thornhill"," 26","Markham",1,81,1,13,5,41,3,145,364
35055,"Markham--Thornhill/Markham--Thornhill"," 27","Markham",2,124,3,24,5,100,2,260,592
35055,"Markham--Thornhill/Markham--Thornhill"," 28","Markham",1,59,1,14,1,47,2,125,356
35055,"Markham--Thornhill/Markham--Thornhill"," 29","Markham",0,68,1,23,3,70,7,172,387
35055,"Markham--Thornhill/Markham--Thornhill"," 30","Markham",2,83,3,21,5,77,0,191,470
35055,"Markham--Thornhill/Markham--Thornhill"," 31","Markham",3,122,1,21,4,37,3,191,374
35055,"Markham--Thornhill/Markham--Thornhill"," 32","Markham",0,109,0,11,3,40,0,163,382
35055,"Markham--Thornhill/Markham--Thornhill"," 33","Markham",0,112,1,14,1,40,0,168,421
35055,"Markham--Thornhill/Markham--Thornhill"," 34","Markham",0,141,0,9,7,31,0,188,475
35055,"Markham--Thornhill/Markham--Thornhill"," 35","Markham",0,114,2,11,2,43,0,172,399
35055,"Markham--Thornhill/Markham--Thornhill"," 36","Markham",2,103,3,20,2,50,3,183,451
35055,"Markham--Thornhill/Markham--Thornhill"," 37","Markham",1,123,4,15,3,53,5,204,476
35055,"Markham--Thornhill/Markham--Thornhill"," 38","Markham",1,134,5,15,6,79,4,244,527
35055,"Markham--Thornhill/Markham--Thornhill"," 39","Markham",2,141,4,25,1,105,0,278,580
35055,"Markham--Thornhill/Markham--Thornhill"," 40","Markham",5,138,1,17,6,66,4,237,526
35055,"Markham--Thornhill/Markham--Thornhill"," 41","Markham",2,108,1,11,6,46,1,175,336
35055,"Markham--Thornhill/Markham--Thornhill"," 42","Markham",1,88,0,19,6,97,1,212,516
35055,"Markham--Thornhill/Markham--Thornhill"," 43","Markham",1,78,1,7,0,60,2,149,387
35055,"Markham--Thornhill/Markham--Thornhill"," 44","Markham",1,83,1,18,3,63,1,170,515
35055,"Markham--Thornhill/Markham--Thornhill"," 45","Markham",1,64,1,18,2,44,2,132,371
35055,"Markham--Thornhill/Markham--Thornhill"," 46","Markham",2,91,1,12,2,40,2,150,370
35055,"Markham--Thornhill/Markham--Thornhill"," 47","Markham",2,123,2,27,5,47,2,208,524
35055,"Markham--Thornhill/Markham--Thornhill"," 48","Markham",1,113,2,15,6,60,1,198,453
35055,"Markham--Thornhill/Markham--Thornhill"," 49","Markham",0,74,1,17,0,46,0,138,379
35055,"Markham--Thornhill/Markham--Thornhill"," 50","Markham",38,138,1,28,5,56,1,267,567
35055,"Markham--Thornhill/Markham--Thornhill"," 51","Markham",4,110,1,27,3,74,0,219,522
35055,"Markham--Thornhill/Markham--Thornhill"," 52","Markham",2,103,3,20,6,61,0,195,440
35055,"Markham--Thornhill/Markham--Thornhill"," 53","Markham",0,73,0,10,7,81,1,172,457
35055,"Markham--Thornhill/Markham--Thornhill"," 54","Markham",1,121,1,13,8,59,0,203,479
35055,"Markham--Thornhill/Markham--Thornhill"," 55","Markham",2,122,3,10,5,53,1,196,504
35055,"Markham--Thornhill/Markham--Thornhill"," 56","Markham",1,155,0,29,5,58,5,253,597
35055,"Markham--Thornhill/Markham--Thornhill"," 57","Markham",1,76,0,10,3,62,0,152,326
35055,"Markham--Thornhill/Markham--Thornhill"," 58","Markham",1,135,0,15,2,62,1,216,522
35055,"Markham--Thornhill/Markham--Thornhill"," 59","Markham",4,141,1,22,6,62,5,241,504
35055,"Markham--Thornhill/Markham--Thornhill"," 60","Markham",3,133,2,20,3,57,3,221,546
35055,"Markham--Thornhill/Markham--Thornhill"," 61","Markham",3,130,0,14,3,46,2,198,449
35055,"Markham--Thornhill/Markham--Thornhill"," 62","Markham",4,142,2,10,4,68,7,237,551
35055,"Markham--Thornhill/Markham--Thornhill"," 63","Markham",1,91,0,17,4,33,1,147,375
35055,"Markham--Thornhill/Markham--Thornhill"," 64","Markham",1,110,0,8,3,45,0,167,378
35055,"Markham--Thornhill/Markham--Thornhill"," 65","Markham",1,71,1,17,0,38,1,129,361
35055,"Markham--Thornhill/Markham--Thornhill"," 66","Markham",1,128,0,19,1,40,4,193,495
35055,"Markham--Thornhill/Markham--Thornhill"," 67","Markham",2,97,2,29,4,70,0,204,527
35055,"Markham--Thornhill/Markham--Thornhill"," 68","Markham",2,127,0,18,6,41,2,196,571
35055,"Markham--Thornhill/Markham--Thornhill"," 69","Markham",1,97,1,15,5,56,0,175,403
35055,"Markham--Thornhill/Markham--Thornhill"," 70","Markham",2,56,1,9,1,73,2,144,430
35055,"Markham--Thornhill/Markham--Thornhill"," 71","Markham",0,82,1,5,2,39,1,130,336
35055,"Markham--Thornhill/Markham--Thornhill"," 72","Markham",2,72,0,17,6,77,0,174,503
35055,"Markham--Thornhill/Markham--Thornhill"," 73","Markham",6,77,4,7,2,60,3,159,421
35055,"Markham--Thornhill/Markham--Thornhill"," 74","Markham",2,65,3,10,9,77,0,166,423
35055,"Markham--Thornhill/Markham--Thornhill"," 75","Markham",5,64,2,13,7,73,0,164,402
35055,"Markham--Thornhill/Markham--Thornhill"," 76","Markham",3,85,2,17,1,55,1,164,372
35055,"Markham--Thornhill/Markham--Thornhill"," 77","Markham",2,130,2,25,5,51,2,217,486
35055,"Markham--Thornhill/Markham--Thornhill"," 78","Markham",3,122,2,8,7,52,7,201,428
35055,"Markham--Thornhill/Markham--Thornhill"," 79","Markham",1,84,1,19,2,50,3,160,310
35055,"Markham--Thornhill/Markham--Thornhill"," 80","Markham",0,118,2,18,5,99,4,246,507
35055,"Markham--Thornhill/Markham--Thornhill"," 81","Markham",3,91,1,14,0,51,0,160,407
35055,"Markham--Thornhill/Markham--Thornhill"," 82","Markham",1,96,2,25,8,77,5,214,449
35055,"Markham--Thornhill/Markham--Thornhill"," 83","Markham",1,119,1,18,2,75,3,219,511
35055,"Markham--Thornhill/Markham--Thornhill"," 84","Markham",1,53,0,15,3,63,4,139,315
35055,"Markham--Thornhill/Markham--Thornhill"," 85","Markham",2,93,6,16,11,76,6,210,498
35055,"Markham--Thornhill/Markham--Thornhill"," 86","Markham",1,88,0,10,8,89,2,198,500
35055,"Markham--Thornhill/Markham--Thornhill"," 87","Markham",0,60,0,6,7,45,2,120,337
35055,"Markham--Thornhill/Markham--Thornhill"," 88","Markham",1,60,2,20,5,88,2,178,486
35055,"Markham--Thornhill/Markham--Thornhill"," 89","Markham",0,78,2,9,6,80,2,177,490
