Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guillaume Bourdeau,René-Paul Coly,Alain D'Eer,Samuel Moisan-Domm,Pierre Paul-Hus,Joey Pronovost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 1","Québec",13,22,47,7,58,1,4,152,376
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 2","Québec",15,54,75,2,92,9,7,254,493
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 3","Québec",11,42,56,9,92,8,3,221,498
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 4","Québec",7,24,36,8,99,2,0,176,493
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 5","Québec",13,41,77,10,88,11,7,247,501
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 6","Québec",21,42,53,10,58,8,10,202,412
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 7","Québec",10,31,43,5,55,7,4,155,350
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 8","Québec",14,33,46,11,64,8,5,181,421
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 9","Québec",9,34,48,4,65,2,3,165,341
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 10","Québec",9,37,52,5,76,1,4,184,396
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 11","Québec",14,34,69,6,82,7,0,212,452
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 12","Québec",11,31,34,9,70,6,4,165,367
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 13","Québec",16,32,52,3,61,4,1,169,425
24019,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 14","Québec",13,42,37,8,72,2,2,176,417
