Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Audet,Grégory De Luca,Marie-Claude Diotte,Glenn Hoa,Alexandra Mendès,Sam Nassif,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 1","Saint-Lambert",25,17,66,5,109,0,1,223,414
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 2","Saint-Lambert",21,17,57,9,103,1,1,209,361
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 3","Saint-Lambert",31,21,45,7,89,0,1,194,322
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 4","Saint-Lambert",40,34,60,4,118,0,2,258,445
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 5","Saint-Lambert",30,38,58,7,77,2,0,212,404
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 6","Saint-Lambert",18,14,43,13,89,1,0,178,355
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 7","Saint-Lambert",34,30,56,10,91,0,1,222,378
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 8","Saint-Lambert",22,28,42,6,90,1,2,191,376
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 9","Saint-Lambert",17,17,47,14,70,0,1,166,419
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 10","Saint-Lambert",13,12,44,10,94,0,2,175,385
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 11","Saint-Lambert",22,8,59,12,59,2,1,163,475
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 12","Saint-Lambert",19,4,47,5,63,3,0,141,333
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 13A","Saint-Lambert",21,9,58,9,126,4,1,228,485
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 13B","Saint-Lambert",33,15,48,10,90,1,0,197,491
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 14","Saint-Lambert",26,14,57,7,96,0,0,200,400
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 15","Saint-Lambert",28,24,62,26,128,1,3,272,552
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 16","Saint-Lambert",39,19,50,16,79,2,1,206,417
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 17","Saint-Lambert",33,14,56,8,78,0,0,189,402
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 18","Saint-Lambert",13,14,42,10,86,1,1,167,513
24017,"Brossard--Saint-Lambert/Brossard--Saint-Lambert"," 19","Saint-Lambert",26,14,51,11,96,3,2,203,491
